বাংলা,চট্টগ্রাম
বিয়ে হয় অনেক বছর আগে,বিয়া অয় বহুত বছর আগে
তারা জাপান যাওয়ার আগে,ইতারা জাপান যনঅর আগে
তার মা চলে যায়,ইতারা মা চলি যায়
তখন সে বিদেশে চলে যায়,তহন ইতে বিদেশেত চলি যায়
বিদেশে যাওয়ার পিছনে একটা কারণ ছিল,বিদেশেত যনঅর ফিছে উজ্ঞো হারণ আইসসিল
সেটি তো পরে নেয়া যাবে,ইয়ান তো ফরে লন যাইব্যু
বাহির হয়ে এসে খাবার খেতে গেল,বাইর অই আই হানা হাইতে গিল
ভাই আবার যাবে তোরা,বদ্দা আবার যাইব্যু তুঁরা
না আর যাওয়ার কথা নেই,না আর যনঅর হথা নাই
চিন্তা করছি এখানে কিছু একটা করবো,চিন্তা গইজ্জি ইয়েন কিসু উজ্ঞো গইজ্জুম
সেটি ভাল হবে তোর জন্য,ইয়ান গম অইব্যু তুঁর লাই
তাহলে এখন বাড়িতে আসার সময় হয়ে গেছে,তঁইলে এহন বাড়িত আইসসিল সমত অই গেইয়্যে
সে খাওয়া থেমে বলল,ইতে হাওন থেমে হইলো
মানে ঠিক বুঝলাম না,মানে ঠিক ন বুজিলাম
বয়স হয়েছে কিন্তু মাথায় বুদ্ধি হয় না,বয়স হইয়্যে কিন্তু মাতাত বুদ্ধি ন অয়
আগে শেষ কর পরে সব বলবো,আগে শেষ গর ফরে হক্কল বলব হইয়্যুম
কোন কথা না বলে খাওয়াতে মনযোগ দেয়,হোন হথা ন কইয়্যরে হাবাইত মনযোগ দে
খাওয়া শেষ করে ঠিক তখন তার দিকে গেল,হাওন শেষ গরে ঠিক তহন ইতার মিক্কে গিল
দেখে চোখ গেল,চ্যাঁই চুখ গিল
সুন্দর কোন কিছু হতে পারে,সুন্দর হোন কিসু অইত ফারে
সেটি ছিল তার চিন্তার বাহিরে,ইয়ান আইসসিল ইতার চিন্তার বাইরে
দেখে কেমন যেন লাগছে,চ্যাঁই ক্যান যেন ল্যার
ভাল করে কাজ হয়েছে,গম গরে কাম হইয়্যে
সবার বউ সুন্দর সুন্দর আমার বউ কালো,বেজ্ঞুনের বউ সুন্দর সুন্দর অ্যাঁর বউ হালা
পুকুর বাড়ির সামসু মিয়া আমার থেকে ছোট,পইর বাড়ির সামসু মিয়া আরতুন ছোড
কি সুন্দর বিয়ে করেছে আমার ছোট ভাই,কি সুন্দর বিয়া গইজ্জে অ্যাঁর ছোড বদ্দা
আমার জন্য রউজানপুর থেকে চুকচুকা কালো,অ্যাঁর লাই রউজানপুরত্থুন চুকচুইক্কা হালা
তোমার বাবাকে বললাম আমাকে বিয়ে করাবা না,তোঁয়ার বাপেরে হইলাম অ্যাঁরে বিয়া ন গরাবা
রাঙ্গুন শহর যাবো আমি তোমার জন্য কি আনবো,রাঙ্গুন শহর যাইয়্যুম অ্যাঁই তোঁয়ার লাই কি আইন্নুম
সব সময় মনে থাকবে তোমার কথা,হক্কল সমত মনত থাইব তোঁয়ার হথা
বার্মার মেয়ে কি করবে আমি যদি ঠিক থাকি,বর্মার মাইয়্যা কি গরিবে অ্যাঁই যদি ঠিক থাহি
বার্মার মেয়ে চিঠি দিব চিন্তা করবে না,বর্মার মাইয়্যা মাজে মাজে চিডি দিয়্যুম চিন্তা ন গরিবা
মাথায় হাত দিয়ে বলো আমাকে ধোঁকা দিবে না,মাতাত আঁত দি ক অ্যাঁরে দাগা ন দিতি
কয় দিনের জন্য বিদেশ যাচ্ছি প্রানটা ঘরে রেখে,ক দিনর লাই বিদেশ যাইরগুই পরান্নান ঘরত রাহি
আমাকে বিল্ডিং রঙ করে দিতে পারবি না,অ্যাঁরে বিল্ডিং রঙ করে দিত ন ফারিবি
ঝামেলা কেন করো আমার সাথে,ঝামেলা কিল্লাই গরস অ্যাঁর লগে
আপনি এনাম ভাইয়ের ভক্ত না,অনে এনাম বদ্দার বক্ত ন
কথা বলুন মুরুব্বি মানুষ,হথা হন মুরুব্বি মানুষ
তুমি কোথায় নেই কেন,তুঁই হডে নাই কিল্লাই
তোমার নাম কি সামিদ নাকি,তোঁয়ার নাম কি সামিদ নি
তুই খেলবি নাকি আমার মেয়ের সাথে,তুঁই হেলবি নি অ্যাঁর মাইয়্যার লগে
আমার এখন তোমাকে ভাল লাগে না,অ্যাঁর এহন তোঁয়ারে গম ন লার
সামিদ কার তোমার না আমার,সামিদ কার ফোয়া তোঁয়ার ন অ্যাঁর 
আমার কাছে ভাল লাগছে না,অ্যাঁর হাছে গম ন ল্যার
তোমার কাজ নেই ভাই,তোঁয়ার কাম নাই বদ্দা
কথা ঠিক আছে নাকি,হথা ঠিক আছে নি
মা রে মা যাবো না তাহলে,মারেম্মা ন যাইয়্যুম তঁইলে
তুমি ভাত খেয়েছো,তুঁই ভাত হাইওনা
কলিজার ভিতর গেথে রাখবো না,কলজার ভিতর গাথি ন রাইক্ষুম
সিনার সাথে বেধে রাখবো তোমাকে,সিনার লগে বাঁধি রাইক্ষুম তোঁয়ারে
তোমাকে ছাড়া বিদেশ এ আমার মন টিকে না,তোঁয়ারে ছাড়া বিদেশত অ্যাঁর পরাণ ন টিকে
আর কোনদিন যাবো না আমি তোমাকে ছেড়ে,আর হোনদিন ন যাইয়্যুম অ্যাঁই তোঁয়ারে ছাড়ি
কান টান লাল করে ফেলবো আমি তোর,হান টান লাল গরি ফেলাইয়্যুম অ্যাঁই তুঁর
তুই আমাদের বাড়িতে কেন,তুঁই অ্যাঁরার বাড়িত কিল্লাই
তুই কথা কম বল এখন,তুঁই হথা কম হ এহন
এসব কি খাবার,এগিন কি হানা
আমার কথা বুঝিস না তুই,অ্যাঁর হথা ন বুঝস তুঁই
আমার পিছন পিছন কি,অ্যাঁর ফন্দে ফন্দে কি
খোদার কসম আমার গায়ে জ্বর,হুদার হচম অ্যাঁর গাত জ্বর
তোমাকে আমরা দেখে নেবো ছেলে,তোঁয়ারে অ্যাঁরা চ্যাঁই লইইয়্যুম ফোয়া
যাওয়ার সময় কোথায় গেছিস,যনঅর সমত হডে গেইয়্যুস তুঁই
ওবাবা বিদ্যুৎ চমকাচ্ছে,অবাপ ঝিল্কি মারে
কানে কথা যায় নাকি তোর,হানত হথা যায় নি তুঁর
তুই ডাক্তার না কসাই আমি জানি,তুঁই ডাক্তার না হসাই অ্যাঁই জানি
হঠাৎভয় পেয়েছিলাম আমি,আতিক্কে ডর ফাইয়্যি অ্যাঁই
অন্ধ গরুর আলাদা বাঁধা দরকার নেই,আন্ধা গরুর জুদা বাধান দরহার নাই
আমি তোর বাবাকে চিনি না,অ্যাঁই তুঁর বাপেরে ন চিনি
যেখানে এলাম মরার ভয়ে,যেডে আইলাম মউতের ডড়ে
এখানে মানুষ মরে কি বলবো ,এডে মানুষ মরে কি হইয়্যুম
তুই রঙ মিস্ত্রি শপন না রঙ করিস যে,তুঁই রঙ মিস্তিরি শপন ন রঙ গরিস দে
চট্রগ্রাম রোড সিটি কর্পোরেশন অফিস আছে যে,চিটাং রোড সিটি কপোরেশন অপিশ আছে যে
এখান দিয়ে বিল্ডিং উঠাবো রঙ করতে পারবি নাকি রে,এয়ান দি বিল্ডিং উঠামু রঙ গরিত ফারিবি নি রে
কন্ট্রাক্টে কাজ করতাম কিভাবে,কন্টাকে কাম গইত্তাম কেনে
তুই বল তো আমি কি করব,তুঁই হ তো অ্যাঁই কিত্তাম
আমি কিভাবে বলব,অ্যাঁই কেনে কইতাম
তুমি আমাকে চিনো নাকি আমি কোথায় থাকি,তুঁই অ্যাঁরে চিনোছ নি অ্যাঁই হডে থাহি
এতো রাতে কি কাজ,এদ্দুর রাইতে কি কাম
ভিতরে কালো কাপড় নেই,বিতুরে হালা হর নাই
আমি আগে একটা বলি,অ্যাঁই আগে উজ্ঞো হই
বসে বসে গল্প না করে আমি যাই,বৈ বৈ গফ ন গরে অ্যাঁই যাই
আমি অসুস্থ মানুষ ঘুম ভাঙায়ে,অ্যাঁই অসুস্ত মানুষ ঘুম ভাঙাইয়্যে
রঙ মিস্ত্রি না আমি রং করা ছেড়ে দিয়েছি,রঙ মিস্তিরি ন অ্যাঁই রঙ গরন ছাড়ি দিয়্যি
দেখে রাখার জন্য তোমাকে,চ্যাঁই রাখিবার লাই তোঁয়ারে
আমি তোমাকে বেশি বেশি সরি বলবো,অ্যাঁই তোঁয়ারে বেশি বেশি সরি কইয়্যুম
কথা তো এতক্ষণ বলে পাগল করে দিয়েছে,হথা তো এতক্ষণ কইয়্যরে পল করে দিইয়্যি
জাত বংশ নাই,জাত খান্দান নাই
আপু তোমার ভিডিওর জন্য,আফা তোঁয়ার ভিডিওর লাই
বশির ভাই আজকে বিয়েতে আমার মা সেরা,বশির বদ্দা আজিয়ে বিয়াত অ্যাঁর মা সেরা
দেখবো দেখবো কি একবারে দেখাবি আমার মা,দেইক্ষুম দেইক্ষুম কি এব্বেরে দেহাবি অ্যাঁর মা
আমি ও যাবো বিগ বসে,অ্যাঁই ও যাইয়্যুম বিগ বসত
তোমাকে ভাল লাগে কারণ আমি ও টেইলারিং করি,তোঁয়ারে গম লার হারণ অ্যাঁই ও টেইলারিং গরি
কঠিন হয়েছে,কোদিন হইয়্যে
দাদি জব্দ করেছে তোমাকে,দাদি জব্দ গইজ্জে তোঁয়ারে
ভাল করে জব্দ করা দরকার,গম গরি জব্দ গরা দরহার
মাকে বলে এক কথা দাদিকে বলে আর এক কথা কেন ভাই,মারে হয় এক্কান হথা দাদিরে হয় আরেক্কান হথা কিল্লাই বদ্দা
বুড়ো বয়সে আমাকে গুনার ভাগিদার করিস না,বুড়ো বয়সে অ্যাঁরে গুনার ভাগিদার ন গরিস
এলাকায় কি থাকতে দিবে না বুঝলাম না,এলাহাত কি থাইতে ন দিতি ন বুজিলাম
এলাকায় একটা মেয়ে তাকে শাসন করতে পারে,এলাহাত উজ্ঞো মাইয়্যা ইবেরে শাসন গরিত ফারে
এই রোজা রমজান মাসে এসব ভাল লাগে না,এই রোজা রমজান মাসত এগিন গম ন লার
একটা সুন্দর ছেলে দেখলে ঘুর ঘুর করে আমি দেখি না,একান্না সুন্দর ফোয়া চ্যাঁইলে গুর গুর গরে অ্যাঁই ন দেহি
প্রিন্স মাহবুবেকে কি এখন ভাল লাগে না,প্রিন্স মাহবুবেরে কি এহন গম ন লার
আমি এখন দাদিকে বিচার দিব,অ্যাঁই এহন দাদিরে বিসার দিয়্যুম
তাদের জ্বালায় তো থাকতে না পারি,ইতারার জ্বালাত ত থাইত ন ফারি
ও ছেলে কি বলবো তোদের,ও ফোয়া কি হইয়্যুম ইতারার
ছেলেকে বিয়ে করিয়ে ছেলের জীবন শেষ নাকি,ফোয়ারে বিয়া গরাইয়্যেনে ফুয়ার জীবন শেষ নি
আমার জীবন ও শেষ হয়ে গেছে ও ছেলে,অ্যাঁর জীবন ও শেষ অই গেইয়্যে অ ফোয়া
ছোট থাকতে আমার মা আমাকে ধোলাই দিত,ছোড থাইতে অ্যাঁর মা অ্যাঁরে ধুলাই দিত
চিন্তা করিস না আছি তো নাকি,চিন্তা ন গরিস আছি তো নি
কাপড় সেলাই করার জন্য যোগাযোগ করো না,হর সিলাই গরিবের লাই যোগাযোগ ন গরো
তার জন্য কম রাখবো,ইতার লাই হম রাইক্ষুম
শিল্পী আপু তো চট্টগ্রামের নাকি,শিল্পী আফা তো চিটাংঅর নি
কত করে সেলাই করেন শিল্পী আপু,হতো গরি সেলাই গরন শিল্পী আফা
খুশি মনে যা দিবেন না,খুশি মনত যা ন দিবেন
দুই টাকা দিলে চলবে না শিল্পী আপু,দুই টিঁয়া দিলি চলিবু না শিল্পী আফা
দুঃখের কথা কি বলব আপু বিউটি আপুর কাপড় নিয়ে অনেক ঝামেলায় ছিলাম,দুকের হথা কি হইতাম আফা বিউটি আফার হর লইয়েরে বোত জামিলাত আসসিলাম
তাকে টাকা বাড়িয়ে দিতে হবে,ইতারে টিয়া বাড়াই দন অইব্যু
টাকা তো বেশি বাড়িয়ে দিতে পারবো না,টিঁয়া ত বেশি বাড়াই দন ন পাইজ্জুম
আমার বোনের ব্যাগ থেকে টাকা চুরি করতে যেয়ে ধরা খাই হাতেনাতে,অ্যাঁর বইনের ব্যাগেত তুন টিঁয়া চুরি গরিত য্যাই ধরা হাই আতেনাতে
বিউটি তুই একদম শয়তানের শয়তান,বিউটি তুঁই একদম সতানের সতান
বড় ডিম বড় মাছ,ডঁর দিম ডঁর মাছ
আমি মনে মনে চিন্তা করি খাবো,অ্যাঁই মনত মনত চিন্তা গরি হাইয়্যুম
তাহলে ভাত কম খাবো,তঁইলে ভাত হম হাইয়্যুম
পকেট আমার গরম আছে,পকেট অ্যাঁর গরম আছে
বাবা মাসের খরচ দিয়েছে,বাপ মাইস্যা খরচ দিইয়্যি
মা আলাদা করে টাকা দিয়েছে,মা জুদা গরে টিঁয়া দিইয়্যি
আমি বললাম চাচা আমি খাবো,অ্যাঁই হইলাম চাচা অ্যাঁই হাইয়্যুম
একটু ডিম দরকার,এক্কানা দিম দরহার
লোক বলল খাবার দাও,লোক হইলো হানা দ
তখন বেলা কত হবে,তহন বেলা হতো অইব্যু
আর কোন লোক নেই,আর হোন লোক নাই
আমি বলি চাচা নাম লাবণ্য কেন,অ্যাঁই হই চাচা নাম লাবণ্য কিল্লাই
তোমার চাচির নামে হোটেল,তোঁয়ার চাচির নামে হোটেল
সে মালিক আমি কাজ করি শুধু,ইতে মালিক অ্যাঁই কাম গরি উধে
চাচির নাম কি চাচা বলেন,চাচির নাম কি চাচা কন
সুন্দর নাম কে দিয়েছে নাম,সুন্দর নাম কেডা দিইয়্যি নাম
সে অনেক কাহিনী তুই ছোট মানুষ,ইতে বহুত কাহিনী তুঁই ছোড মানুষ
কিছু বুঝবে না সবাই,কিসু ন বুঝিবো বেজ্ঞুনে
একটু বলেন আমি বুঝতে পারবো,এক্কানা কন অ্যাঁই ঠওর পাইজ্জুম
আমি চাচার সাথে একটু খাতির করার চেষ্টা করি,অ্যাঁই চাচার লগে এক্কানা খাতির গরিবের চেষ্টা গরি
খেতে খেতে বলি আমাকে মাছ দিতে,হাইতে হাইতে হই অ্যাঁরে মাছ দন
তোমার চাচি দৌলতদিয়া থেকে আমার সাথে এসেছে,তোঁয়ার চাচি দৌলতদিয়া তুন অ্যাঁর লগে আইসসে
তার আসল নাম আমি জানি না,ইতার আসল নাম অ্যাঁই ন জানি
তোমার চাচি বলে না,তোঁয়ার চাচি ন কন
সর্দারনী নাম দিয়েছে লাবণ্য,সর্দারনী নাম দিইয়্যি লাবণ্য
পঞ্চাশ টাকা নাগেশ্বরীর একটা লোক দিয়ে দিয়েছে,পঞ্চাশ টিঁয়া নাগেশ্বরীর উজ্ঞো লোক দি দিইয়্যি
তখন সে খুব ছোট ছিল,তহন ইতে বহুত ছোড আইসসিল
তুই বলবি না কিন্তু,তুঁই হবি না কিন্তু
তোমাকে দেখতে খুব ভদ্র মনে হচ্ছে,তোঁয়ারে চ্যাঁইতে বহুত ভদ্র মনত অইলদে
তাই বললাম তোমাকে আজকে,তাই হইলাম তোঁয়ারে আজিয়ে
আপনার খাবার খুব সুন্দর হয়েছে,অনের হানা বহুত সুন্দর হইয়্যে
তা চাচি করে সবকিছু,তা চাচি গরে বেক্কিছু
তোমার চাচি মনে করে সবকিছু,তোঁয়ার চাচি মনত গরে বেক্কিছু
খুব ভাল করে তোমার চাচি,বহুত গম গরে তোঁয়ার চাচি
আমাকে একটা মাছ দেবার জন্য,অ্যাঁরে উজ্ঞো মাছ দিবেল লাই
চাচা খুব খুশি আমাকে দেখে,চাচা বহুত খুশি অ্যাঁরে চ্যাঁই
মানুষকে সকালে রেখে সন্ধ্যায় কিনে নিস,মাইনসেরে বেইন্যে রাহি আজুইন্নে কিনি লস
আল্লাহ তোকে কি দিয়ে বানিয়েছে,আল্লাহ তোঁরে কি দি বানাইয়্যে
আল্লাহ তোকে হায়াত দিক,আল্লাহ তোঁরে অয়াত দিক
ভাই আমি তো তোমার বড়,বদ্দা অ্যাঁই তো তোঁয়ার ডঁর
ও মা আমি সাজেকে যাবো,ও মা অ্যাঁই সাজেকঅত যাইয়্যুম
আমাদেরকে মা যেমন করে পড়াতো,অ্যাঁরারে মা যেল্লে গরে ফরাইতু
মেহমানের সামনে নাস্তা দিয়ে দাও,মেমানর সামনে নাস্তা দি দ
আমার মোবাইলে আসে না,অ্যাঁর কল ন আইয়্যে
ভাই কাপড় কি এটি ভাল,বদ্দা হর কি ইবে গম
কথা বলার জন্য আমি অন্য ঘরে যাই তখন,হথা হইবের লাই অ্যাঁই অন্য রুমত যাই তহন
নিজের মেয়ে দোষ করে না নাকি,নিজের মাইয়্যা দোষ ন গরে নি
সালমার মা ঠিক আছে বেশি গেঞ্জাম করে না,সালমানর মা ঠিক আছে বেশী গেঞ্জাম ন গরে
টুম্পা দজ্জাল মেয়ে না,টুম্পা দজ্জাল মাইয়্যা ন
গোলামের বাচ্চা গোলাম,গোলামোর ছা গোলাম
আমিও মনে মনে চিন্তা করছি এটি,অ্যাঁইও মনত মনত চিন্তা গইজ্জি ইবে
শিল্পী আপুর আলাদা সবকিছু,শিল্পী আফার জুদা উজ্ঞো বেক্কিছু
যারা দেখো নি এখন দেখে আসো,যারা ন দেহো এহন চ্যাঁই আইয়্যু
মাথা গরম হলে নাক ফুলিয়ে ফেলে নাকি,মাতা গরম অইল্যে নাক ফুলই ফেলায় নি
আমি বই নিয়ে আসি,অ্যাঁই বই লই অ্যাই
আষষাঢ় মাসের ঝড়ের,আষাঢ় মাইস্যা ঝড়ে
আমি কি তোর চাচাতো বোন সালমা নাকি,অ্যাঁই কি তুঁর চাচতো বইন সালমা নি
মোরগ অনেক মজা হয়েছে,লাতাকুরো বোত মজা অইয়্যে
সমুদ্রে গেছিস তুই,দইজ্জে গেইয়্যুস তুঁই
স্বাদের জন্য ছাড়তে পারি,স্বাদের লাই ছাড়িত ফারি
কাঁটার জন্য গিলতে পারি না,কাডার লাই গিলিত ন ফারি
পাছায় কাপড় নেই মিঠায় দিয়ে ভাত খাওয়া সে,পুঁদত নাই তেনা মিডে দি ভাত হানা ইতে
পোড়া কপালি ছেলে তোকে,পোড়া হোয়ালি ফোয়া তোঁরে
রাগ হয় না,গুসসা ন অই
মাহবুব লুঙ্গি পরে যেন পিলারে না ওঠে,মাবুব্ব্যা লুঙ্গি ফরি যেন খাম্বাত ন উডে
বাবার গুনগান গাওয়ার জন্য,বাফের গুণগান গাইবার লাই
নিজের জন্য একটু সময় পাই না,নিজর লাই এক্কানা সমত ন ফাই
আমি বড় বাড়িতে যেয়ে ফুর্তি করবো,অ্যাঁই ডঁর বাড়িত য্যাই ফুত্তি গইজ্জুম
সামনে থাকা যেত,সামনে থাওন যাইত্যু
তাকে দেখে দাদিকে বেশি মনে পরে,ইতারে চ্যাঁই দাদিরে বেশি মনত ফরে
আল্লাহ আমার দাদিকে যেন জান্নাত নসিব করে,আল্লাহ অ্যাঁর দাদিরে যেন জান্নাত নসিব গরে
ফলোয়ার বাড়ানোর জন্য তোমার ভিডিও তার পেজে,ফলোয়ার বারাইবের লাই তোঁয়ার ভিডিও ইতার পেইজত
টুম্পামনি ভাল হয়ে যা না হলে মাইর খেতে খেতে মরে যাবি,টুম্পনি গম অই যা ন অইলে মাইর হাইতে হাইতে মরি যাবি
বাতাসে আমার চুল পাকে,বাতাসে অ্যাঁর চুল ফাকে
গাছের নিচে প্রেম করতে ভাল,গাছর তলাত ফিরিত গরিতে গম
গাছ লাগাতে বললে গা জ্বালা করে,গাছ লাগুন হইল্যে গা জ্বালা গরে
তাকে কাজের কথা বললে গায়ে জ্বর ওঠে,ইতারে কামের হথা হইল্যে গাত জ্বর উডে
আষাঢ় মাসের ঝড়ে,আষাঢ় মাইস্যা ঝড়ত
মরে যাচ্ছি ভয়ে,মরি যাইরগুই ডরে
ছেলেমেয়েকে দেই কিল,ফোয়ামাইয়্যাগুন দ্যি কিল
এই ঝড়ে কোথায় পাবো গাড়ি ঘোড়া আমি,এই ঝড়ত হডে পাইয়্যুম গাড়ি ঘোড়া অ্যাঁই
বিলের মধ্যে দেখি তাকে,বিলর মাজে চ্যাঁই ইতারে
বর্ষা কালে যাবো না,বর্ষা কাইল্যা ন যাইয়্যুম
কেমন করে থাকবো,ক্যান গরি থাইক্কুম
বউ ছেলেমেয়েকে এই ঝড়ে কোথায় রাখবো,বউ ফোয়ামাইয়্যাগুন এই ঝরত হডে রাইক্ষুম
পানি ঢোকে আমার ঘরে,পানি ঢুকের অ্যাঁর ঘরত
ঘরে নেই চাল ডাল,ঘরত নাই চইল ডাইল
তোমার আছে পাকা ঘর,তোঁয়ার আছে পাক্কা ঘর
ঝর হলে খাবো খিচুরি,ঝর পইল্যে হাইয়্যুম খেচুরি
মনে লাগে না ভয়,মনত ন লার ডর
আমরা ভাই গরিব মানুষ,অ্যাঁরা বদ্দা গরিব মানুষ
চিন্তা করি কেন বললাম না,চিন্তা গরি কিল্লাই ন হইলাম
তার সাথে করবি না,ইতার লগে ন গরিবি
করলে হাসপাতালে রপ্তানী করে দিব,গরিলে হাসপাতালত রপ্তানী গরে দিয়্যুম
আমার মা মানা করেছে নাকি,অ্যাঁর মা মানা গইজ্জে নি
কি তরকারি দিয়ে ভাত,কি ছালন দি ভাত
আমি মনে করেছি মুখ দিয়ে,অ্যাঁই মনত গইজ্জি মুক দি
তুই বেশি বান্দর হয়ে গেছিস,তুঁই বেশি বান্দর অই গেইয়্যুস
তোমাকে মাইর দেয়া দরকার নেই,তোঁয়ারে মাইর দন দরহার নাই
দাও না আমি কি তোমাকে মানা করেছি নাকি,দ না অ্যাঁই কি তোঁয়ারে মানা গইজ্জি নি
কালকে নাকি তোমার,হালিয়্যে নি তোঁয়ার
বলবেন নাকি আমাকে তুমি,হইয়্যুন নি অ্যাঁরে তুই
ভাল করে পড়েছ নাকি,গম গরে পইজ্জু নি
বাংলা ভাল লাগে,বাংলা গম লার
বেশি নম্বর পাবে না,বেশি লম্বর ন ফাইবে
তুমি অনেক কিছু জানো,তুঁই বোত কিসু জানো
তোমার চোখ টানা টানা,তোঁয়ার চুখ টানা টানা
সারাদিন দেখি তোমাকে,গুডাদিন চ্যাঁই তোঁয়ারে
যাহ্ আমার শরম লাগছে না,যাহ্ অ্যাঁর শরম ন ল্যার
