বাংলা,চট্টগ্রাম
আপোস,আফশ
করবা,গরিবা
ডাকে,ডাহে
ডাকো,ডাহো
বন্ধ,বন্ধ  
প্রজাতি,ফজাতি  
গোলামের,গোলামোর 
থাবা  ,থাবা  
বন্যার,বানঅর
বন্যায়,বানত 
কাছে,হাছে 
যার ,যার
চালায়,চালাই
বন্ধু ,বন্ধু 
জোরে,জোরে
চান  ,চন
জোর,জোর
হাতি ,হাতি 
হাতিকে,হাতিরে 
,যুক্তিতর্ক 
গায়ে,গাত 
হাত,আঁত
থাকার,থাহনের
পায়ে,ঠেংঅত 
চলান্যি,চালানো
হাতেরটা,আঁতরগান
পা ,ঠ্যাং
পায়েরটা   ,ঠ্যাংঅরগান
পায়ের,ঠ্যাংঅর
মিলানো,মিলানি
চালানোর,চলান্যির
মাথায়,মাতাত
হাতে,আঁতত
হাতের,আঁতর
কিছুতেই,হনোব্বগতে   
দিয়ে,দি  
মুড়িয়ে    ,মুড়াই 
বলো,ক    
স্কুলের,স্কুলর
অনুষ্ঠানে,অনুষ্ঠানত
আমাকে,অ্যাঁরে
ধোঁকা  	,দাগা
হওয়া,অন
ময় মুরুব্বির,মই মুরুব্বির
আপনার,অনের 
কয় দিনের ,ক দিনর
লাভ,ফায়দা
অনেরে,আপনাকে
যাচ্ছি,যাইরগুই
প্রানটা,পরান্নান
নোয়াখালির,নোয়াহাল্লে
পয়সা,ফয়সা
কামাবি,হামাবি
আপাতত,আপাতত 
বন্ধুকে,বন্ধুরে 
ঘরে	,ঘরত
রেখে 	,রাহি
কেন,কিল্লাই
দিনের ,দিনর 
বন্দেগীতে,বন্দেগীত
আপন,আফন 
আপনি,অনে
চেহারা,চিয়ারা
ভান,ভান
ভক্ত,বক্ত
বক,বোগা 
না,ন
বলা,হোন
বলুন,হন
উচিত,উচিত 
তুমি,তুই 
কোথায়,হডে
কোন,হোন
তুই,তুঁই
খেলবি,হেলবি
খেলব,খেইল্যুম
পড়,ফর
শুক্রবার,শুক্কুরবার
হেঁটে,আডি
খেলতে,খেলিতে
খুঁজে,তোঁয়াইন
 খুঁজতে,তোঁয়াইতে  
নাকি ,নি
 খুলি,খুলে 
রোদ,রোদ
কবুতর,হবুতর 
পরীক্ষা,পরীক্ষা
মেয়ের,মাইয়্যার
ব্যাপারি,বেয়্যারি 
আছস,আছিস
লুয়োই,লুকিয়ে
যাবি,যাবি
আছি,আছি
লেগেছে,লাইগ্যে
ফেলল,ফেলাইলো
ভাল,গম
লেগে,লাগি
টিয়া,টিয়া
চড়ানো,চরাইন্যা 
রাখাল,রাহাল 
ব্যবহার,ব্যবার
ব্যবহারে,ব্যবারত
মানায়,মানায় 
ভাল লাগে,ভাল্লাগে
ছেলে,ফোয়া
মুগ্ধ,মুগ্ধ
ছেলের,ফোয়ার 
রাখালের,রাহালঅর 
হাটে,হাডত
ব্যর্থতা,ব্যর্থতা
লাগছে,ল্যার
খাচ্ছি,হাইদ্দি
কাজ,কাম
আরেকটা,আরেক্কান
নেই,নাই
সায়ানা,সিয়ানা  
অশ্বত্থ,অটঁ
কে,কেডা
মা রে মা,মারেম্মা
কাটা,কাডা
কাটে,কাডে
উল্টো,উলটো
সহজে,সহজে
তাহলে,তঁইলে
ভালোবাসে,ভালোবাসে
এই,এই
ধাক্কায়,ধাক্কাত
সহ্য,সইজ্জো  
যুবক/ পুরুষ,মরতফোয়া
পাচ্ছি,পাইয়র
খেয়েছো ( প্রশ্ন),হাইওনা
খাওয়াতে,হাবাইত
পাড়লে,পাইল্লে
ফাটিয়ে,ফাডাই  
পারতো,পইত্ত
পাড়ে,পারত
গিরগিট,টোট্টেং 
ফুটবলে,ফুটবলত 
বরই,বরই 
রাজকন্যা,রাজকন্যা
তালে,তালোত
তাল,তাল
বাদ্য,বাইদ্য 
হজম,অজম
আঁজাই,হারিয়ে
খাওয়ার ,হাওনর 
কার,হার
খতম,খতম
খেয়ে,হাই
খাই,হাঁই
হারবার,কারবার
এজন্য,এতেল্লেই
কাদায়,ফ্যাকত 
কলিজার,কলজার
নিজেকে,নিজেরে 
দাঁতে,দাঁতত
নিজে,নিজে 
ধরার,ধরিবার
ধরন,ধরন
গলায়,গলাত
ধরনের,ধরনর
ভেড়াকে,ভেড়ারে
দৌড়াতে,দুরিত
খরচ,খরচ
আমল ,আমল
ওখানে,এডে
এতো,এদ্দুর   
তেলাপোকার,তেইল্ল্যাছোরা 
নিচে,তলে
খাওয়ার,হাওনর
খাওয়া,হাওন
সমাধান,সমাধান
পরিচিত,পরিচিত
হচি,কচি
ছায়া,ছামা
জানের,জানর 
জানে,জানে 
নিজের,নিজর
জানলে,জানিলে
ঝগড়া,হইজ্যে
জাতের,জাতর
খুঁড়ে,খুঁড়ি 
চাকরি,চঅরি
করিস,গরিস
নিল,লইল
লইলে,নিলে
সাম্পানে  , সাম্পানত
প্রসাব করবে   	  ,মুতিব
সামলিয়ে,সামলাই
সামনে,সামনে
ভরে,ভরি
পেলে,পাইলে
গেথে,গাথি
হিংসা,হিংসা
জনকে,জনরে
পড়াশুনায়,পড়াশুনাত
গুরুজনের, গুরুজনর 
অগ্রাজ্য,অগ্রাজ্য 
ছুটে,ছুঁডি 
তল্লাশি,তল্লাশি 
শুয়োরের,শুয়োরর
ঘাম,ঘাম
আলা,শালা
ফেলবে,ফেলাইব্যু
দিইয়্যি,দিইয়্যি
রাখবো,রাইক্ষুম
রাখবে,রাইবো
লাগলেন,লাইজ্ঞুন
ফেটে,ফাডি
গলে,গলে 
আটকে,আটকে 
রাজশাহী ,রাশাই
মেনে,মানি
মানা,মানা
চারিদিকে,চারিমিক্কে
অদরকারে ,বেদরহারে
দিকে,মিক্কে
সাথে,লগে
অর্জন,অর্জন 
বেধে,বাঁধি
বাটপারি,বাটপারি 
টক,হাট্টা 
মন,মন
বেয়াদবি,বেয়াদবি 
ছেড়ে,ছাড়ি
ইফতার,ইস্তের
ইফতারি,ইস্তেরি 
করার,গরিবের
কান,হান
উঁচু,হাড়া
যখন,যেত্তে
 সত্য,আচা 
জবাই,জবাই 
ফেলবো,ফেলাইয়্যুম
খেলে,হাইলে 
বাড়িতে,বাড়িত
শুনলে,হুনিলে
যেন,যেন 
বল,হ
ঘামানোর,ঘামাইবার
এসব,এগিন
ভরা,ভরা 
এসো,আইস্যু
মেঘ,মেঘ
খোপায়,খোপাত
পড়বে,ফরিবু
কদম,কদম
রান্নাকর,রান্দো
রান্না,রান্দা 
পড়া,ফরা
রাখছেন,রাইক্ষুন
পড়িনি,ফরিনি
পড়ি,ফরি
পড়ে,ফড়ি
পড়ার,ফরার
পাদ,ফাদ
কর,গর
দাও,দ
পিছর,পিছনের
ঠিক,ঠিক 
ব্যাংকে,ব্যাংকওত 
পিছনে,ফিছে
বুঝিস,বুঝস
পিছন ,ফন্দে
ছাড়া,ছাড়া 
মতামত,মথামথ
খোদার,হুদার 
সোজা,সিদা
ঢোকে,ঢুকের
শুনালে,হুনাইল
কেড়ে,হারি
কসম,হচম
হচ্ছে,অইলদে
একবারে ,এব্বেরে
লুচ্চা,লুইচ্চা
গায়ে,গাত
পায়খানা,আগি 
বাজালে,বাজাইল
দেখে,চ্যাঁই
হাসবে,হাসিবা
হাসে,হাসে
আরামে,আরামে
অপরাধ,অপরাধ
থাপ্পড়,থাপ্পড়
পারছি,ফারির
কয়টা,কয়ডা
বলেন,কন
সনদের,সনদর 
কথায়,হথায়
ছেঁড়া,ছেঁড়া
খুশিতে,খুশিত
দেখলাম,দেইক্কি
টমেটো,খাট্টাবাইয়্যুন
দেখেছে,দেইক্কে
আনতে,আনোন
আনিবি,আনবি
ফতুর,ফতুর 
আজার,হাজার
ঘোমটা,ঘোমটা
এমনিতেই,এনেই 
চোখে,চুখত
এমনি,এনে 
ঘিরে,ঘিরে
চোরের,চোরের 
গুনে,গুনি
গুপ্তধনের,গুপ্তধনর
ভাগ্য,ভাইজ্ঞ 
তোমাকে,তোঁয়ারে
পোড়া,পোড়া
কপালি,হোয়ালি
নেবো,লইইয়্যুম
মৌমাছি,মধুপুক
স্কুলে,স্কুলুতঁ
যাবার,যায়বের
ফকির,ফইর
দৌড়,দোর
চামড়া,চামড়া
রাখালকে,রাহালরে
ছেড়া,ফাডা  
ওবাবা,অবাপ
পিঠা,পিডা
পিঠে,পিডে 
পিঠ,পিড
অর্ধেক,আদ্ধান
বিদ্যুৎ,ঝিল্কি
আমলকী,  আলতি 
বিদ্যুৎ চমকাচ্ছে,ঝিল্কি মারে
আছো,আছো
নারিকেলের,নাইরকল
শাস ,ফস 
আদেশ,আদেশ
আছে,আছে
নিজেই,নিজেই
আছেন,আছোন
সংসারে,সংসারত 
মেরে,মারি 
নিজেদের,নিজুরার
কামড়,হঅর 
খয়রাত/ভিক্ষা,হরাত
মেরেছে ,মাইজ্জে
আলপিনের, আলপিনর
পছন্দ,ফসন্দো
ভাতে,ভাতোত 
হবে,অইব্যু
চাহিদা,চাহিদা
জন্মে,জন্মত 
বানান,বানান
ভেজালের,ভেজাইল্যা
দুবাইয়ের,ডুবাইয়্যুর
দুবাই,ডুবাই
বেজার,বেজার
ডুব,ডুব 
যাক,যাক
হবো ,অইয়্যুম
পোশাক,লেবাস 
ফেরী,ফেরী 
ন্যাকামো করা,আজল হোয়লদ্দে 
আসলে,আইলে
কানে,হানত
কানের,হানর
যায়,যায়
মরবি,মরিবি 
পরামর্শ,পরামর্শ
কসাইয়ের,হসাইঅর
কসাই,হসাই
খালা,খালা
আসবে , আইবে
হঠাৎ,আতিক্কে
পেয়েছে,পাইয়্যে
ভয়,ডর
ভয়ে,ডরে
খেয়াল,খেয়াল
পেয়েছিলাম,ফাইয়্যি
পেয়েছিস,পাইয়ুস
অন্ধ,আন্ধা
পেয়েছো ,ফাইয়্যু
আলাদা,জুদা
মেঘের,মেঘর
বাঁধা,বাধান
স্বামী,সোয়ামি 
যেখানে,যেডে 
দাওয়াত,দত
এলাম,আইলাম
মরার,মউতের
মিস্ত্রি,মিস্তিরি
করিস,গরিস
বালিশ,বালুশ
পৌঁছাতে,ফঁছিত
যে,যে
এখানে,ইয়েন 
চট্রগ্রাম,চিটাং
চট্টগ্রামের,চিটাংঅর  
গ্রহণ,গ্রহণ 
অফিস,অপিস
গ্রামে,গ্রামত 
অফিসে,অপিসত 
ঈদের ,ঈদুর   
পিটন,ফিডানি
কর্পোরেশন,কপোরেশন
অপমান,অফমান
এখান,এয়ান
উঠি,উডি
উঠিয়ে,উডিয়ে
উঠতে,উডন
উঠ,উড
এতক্ষন,এতক্ষন
দিয়ে,দি
ঘুমাতে,গুমজন
যেন,যেন 
উঠাবো,উঠামু
উঠান,উডোন 
করতে,গরিতে
পাওয়া,পাওন
বেলায়,বেলাত
পারবি,ফারিবি
পাবি,ফাবি
হাজির,হাজির 
মিনিটে,মিনিটত 
মিনিটের, মিনিটর 
কন্ট্রাক্টে,কন্টাকে
বেলা,বেইল 
করতাম,গইত্তাম
বলার,হইবের
ভাবে,ভাবে
জিজ্ঞাসা,পুঁছার
কিভাবে,কেনে
বলতাম,হইতাম
চুলে,চুলত
কৃষ্ণচূড়ার,কৃষ্ণচূড়ার
থেকো,থাইক্যু
চিনো,চিনোছ
ভিতরে,বিতুরে
দাবি,দাবি
টিপার,টিববার 
ধড়ফড়  ,ধরফর
বিশ্বাস,বিশ্বাস 
ভুলে,ভুলে
কাপড়,হর
মাখি,মাইক্কি
ক্ষুধা,ভুগ
কলরবে,কলরবে
গুলোকে/সবাইকে ,অক্কলরে
বলি,হই
বলিস,হইস
শক্তি,বল
শক্ত,শক্ত
শক্তিশালী,শক্তিশালী 
বস,বঅ
আফসোস,আপসোস
সৃষ্টি,ফয়দা 
শকুনেরা,শকুনেরা 
শকুনের,শকুনর 
লিচু,লেচু
বিখ্যাত,বিখ্যাত
বসে,বৈ
এতক্ষণ,এতক্ষণ
খুঁজছিস,খোজরনে
ভাতিজা,ভাইফুত
সে,ইতে
দিলাম,দিলাম
ঘুরে,ঘুরি
চড়,চোঁয়ার
বলুন,হন
দিলে,দিলে
গল্প,গফ
গল্প সল্প,গফ সফ
ঘুরবো,গুইজ্জুম
গল্পের,গফের 
গরমের,গরমর
ছুটি,ছুটি
চোটে,চোটে
গ্রীষ্মকাল,গরমহাল
ঘুরাবে,ঘুরাইবা
কপালি,হোয়ালি
অসুস্থ,অসুস্ত
জ্বর,জ্বর
গায়ে,গাত
জ্বরের,জ্বরর
সুযোগ,সুজুগ 
ভাঙায়ে,ভাঙাইয়্যে
কপাল,হপাল 
কপালে,হপালত 
জোগাড়,জুগার  
গায়ের,গার
করা,গরা
কোথাও,কোনমিক্কে 
দিয়েছি,দিয়্যি
লাগাবো,লাগাইয়্যুম
খারাপ ,হারাপ
রাখার,রাখিবার
আজকাল,আইজকাল 
কোথায় ,হডে
রাখি,রাহি
পাত্রী,ফাঁতরি 
আমেরিকায়,আমেরিকাত
লোভী,লোভী 
আজকের ,আজিয়ের 
আধা,আধা
আজকে,আজিয়েত
বলবো,হইয়্যুম
জানোয়ার, জানোয়ার 
জানালার,জানালার  
বলবেন,হইয়্যুন
জানা,জানা
অনুরোধ,অনুরোধ
পাঠিয়েছিস,পাঠাইওদি
পাঠিয়ে,ফাটাই
গায়েব,গাইব
ধুবে,ধুইবা
গিলবি,গিলিব্যু
বংশ,খান্দান
বংশের ,খান্দানর
ইন্ডিয়ার,হন্ডিয়ার
বলেছিল,হইয়্যিল
বলেছি,হইদি
দাঁড়িয়ে,খারাই
দাঁড়া,খারা
শিল্পপতির,শিলফোপতির 
জঙ্গলে,জঅলত 
আপু,আফা
বিপদে,বিপদত 
আজকে,আজিয়ে
মোড়,মুড়
কূলের,কূলর
দূর্ভাগা,দূর্ভাগা 
দেখাব,দেহাইয়ুম 
কূল,কূল
কম্বলের,হম্বলের   
বলে,কইয়্যরে
প্রতারিত,প্রতারিত
দেখা ,দেহা
দেখাই,দেহাই
দেখাবি,দেহাবি
মতে,মতে
কারণে,হারণে
বলছি,হইদ্দি 
কারণ,হারণ
হয়,অয়
পরিশ্রম,পরিশ্রম
করি,গরি
নড়ার,নরিবার 
রকমারি,রহমারি
যত্নে,যত্নেত
যত্ন,যত্ন
কঠিন,কোদিন
নিতে,লইত
দরকারি,দরাহারি 
ত্রুটি,ত্রুটি
উপহার,উপহার
হয়েছে,হইয়্যে
ফলাফল,ফলাফল
শুনে,শুনি
দিতাম,দিতাম
গাই,গাঁই
পড়,ফড়
দরকার,দরহার
করে,গরে
দেখায়,দেহায়
পড়ার,ফড়ার 
বিস্কুট,বিস্কুট
থাকা,থাওন
ঢিল,ডিঁয়া
এড়িয়ে,এড়াই
হাবলুকে,হাবলুরে 
ঠেলায়,ঠেলাত
হাসতে,আঁইশতে
গাই,গাঁই
বলেছে,হদ্দে
বোকার,বোকার
করবি,গরিবি
বোকামি,বোকামি
কতদূর,হদ্দুর
কিছুদুর,এক্কানাদূর
কোরবানির,কোরবাইন্না
মাংস,গোস্ত
শাশুড়ী,অঅরি
শ্বশুর,অঅর
গোপন,গোফন 
দূরে,দূরে 
নিচু,নিচ 
কোভিডে,কোভিডত 
ধৌঁয়ার,ধৌঁয়ার
বাংলায়,বাংলাত 
এলাকায়,এলাহাত
প্রশ্নের,ফশ্নর
দিঘী,দিঘী
প্রশ্ন,ফশ্ন
পড়তে,ফরতে
দিবে,দিতি
বিয়োগ,বিয়োগ
যোগ,যোগ
চাপা,চাপা
নদীতে,নদীতে 
বুঝলাম,বুজিলাম
হাসছো,হাসো
দেবে,দিব্যু
কামরাঙ্গার, হউরোর 
দোকানদারকে,দোকানদারইবারে
লাগে,লার
দেখব,দেইক্ষুম
সুইমিংপুল,সুইমিংপুল
দেখলে,চ্যাঁইলে
দেখল,চ্যাঁইল   
একদম,একদম
দেখতে,চ্যাঁইতে
দেখতাম,চ্যাঁইতাম
দেখবে,চ্যাঁইবে
চিবিয়ে,চাবাইয়্যে
এখন,এহন
দেখিস,চ্যাঁইস
টুকরো,টুরো
একাই,একলাই
একা,একলা
চাঁদ,চাঁন
বিস্ময়,বিস্ময়
চাঁদের,চাঁনের 
অন্ধকার,অন্ধকার
দেখি,চ্যাঁই
বিচার,বিসার
কেউ,কেউ 
রাজ্যের,রাজ্যর
পরেনা,ফরেনা
থাকতে,থাইতে
চিরুনি,চুয়াদি 
ভেঙ্গে,ভাঙি
করাতে,গরাইতে
তোর,তুঁর
খেজুর,খাজুর 
তোরা,তুঁরা
বেইজ্জত,বেজ্জ্যুত  
নষ্ট,নষ্ট
তোকে,তোঁরে
করিয়ে,গরাইয়্যরে
জীবনে ,জীবনত 
মরণে,মরণত 
চিন্তিত,ফেরেশান 
বনে,বনত 
গেছে,গেইয়্যে
করলে,গইল্লি
করলাম,গইল্লাম
দিত,দিত
মেঘ,মেঘ 
পাকবে,পাকিব্যু
কিনারে,কিনারে 
আশায়,আশাত 
দেখিও,চ্যাঁইও
আসুক,আইয়্যুক 
কানাডা,হানাডা 
ধোলাই,ধুলাই
চিন্তায়,চিন্তাত
চিন্তা,চিন্তা 
বাতি,বাতি
কবিতার,কবিতার 
সুর,সুর
মনোযোগ,মনোযোগ 
বোনের,বইনের
নামোতা,নামাতা
বোন,বইন
বোনকে,বইনরে 
আসুন,আইয়্যুন 
করো,গরো
আসো,আইয়্যু
সুবিধা,সুবিদা
হোটেলে,হোটেলত
কত,হতো
কতক্ষণ,হতোক্ষন
কতক্ষণর,হতোক্ষনর  
চলবে,চলিবু
শ্বাস,শ্বাস 
অনেক /খুব,বহুত  
আসতে,আইত  
আসবো,আইসুম
আসবি,আবি
ঢাকা,ঢাহা
লেখাপড়া,লেয়াপড়া
আসছি,আইর
লেকের,লেকোর
পড়ালেখা,পড়ালেহা
কোঁকড়া,খোডা
কয়জনের, হজনের
ঝামেলায়,জামিলাত
চলে,চলি
চলতে,চল্যিত 
ঝাপ,ঝাপ
নজরুলের,নজরুলর
ঝাপিয়ে,ঝাফাই 
ছিলাম,আসসিলাম
বাড়াবো,বাড়াইয়্যুম
তো,তো
ছাদে,সাদোত 
বাড়িয়ে,বাড়াই
সকালে ,বেইন্যে
মিথ্যা,মিছা 
দিতে,দন
শেষ,শেষ
অসুখ,অসুখ 
ঘুমাচ্ছিস,ঘুমযর 
পারিস,ফাড়োস
পারি,পারি
যানজট,যানজট
জাম,জাংগুলা 
পারবো,পাইজ্জুম
তবে,তয় 
শহরে,শহোরত
যাই,যাই
যেয়ে,য্যাই
কেনার,কিনিবার 
সন্ধ্যায়,আজুইন্নে
কিনতে,কিনিতি
যায়,যায় 
কিনে,কিনি
নিস,লস
বানাস,বানছ
নাস্তা,নাস্তা
বানিয়েছে,বানাইয়্যে
বানিয়ে,বানাই
মজার,মজার
মজা,মজা
হায়াত,অয়াত
অত্যাচারীর,জালিমের
অত্যাচারী, জালিম
গেছি,গেয়্যি
অত্যাচার,জুলুম
কবুল,হবুল  
ফেনা,ফেনা
সাজেকে,সাজেকঅত
মহামানব,মহামানব
সাজার,সাজিবার
সেজে,সাজি
গাড়ি,গাড়ি
দেরি,দেরি
বয়সের,বয়সের
আমাদের ,অ্যাঁরার
সেটি,ইয়ান
আমাদেরকে,অ্যাঁরারে
আমরা,অ্যাঁরা
অবস্থা,অবস্থা   
শুদ্ধ,শুদ্ধ
মরা,মরা 
অবস্থায়,অবস্থাত
বান্ধবি,বান্ধবি 
আক্রান্ত,আক্রান্ত
ফেল,ফেলো
ফেলি,ফেল্যাই
নগরী,নগরী 
যেমন,যেল্লে
চেপে,চিবি
বুকের,বুহর
প্রতিষ্ঠান,প্রতিষ্টান
প্রতিষ্ঠিত,প্রতিষ্টিত
কক্সবাজার ,হক্সোবাযার
টানতে,টাইনতে 
বেশি,বেশি
বায়না,বায়না
স্রোতের,স্রোতর
পড়াতো,ফরাইতু
ঐটি,ঐয়ান
বাড়ানোর,বারাইবের
উনি/সে,ইতে
হয়ে,অই
তারপর,তারপর
তখন,তহন 
শুটকি,উঁনি
পরিবেশ,পরিবেশ
অল্প,অল্প 
টিকটকে, টিকটকওত 
তার,ইতার
প্রিয়,প্রিয় 
পাট,নাড়ি
অন্যজন,অন্যজন
জাহির,জাঁইর
পাখি,ফাখি 
পাখির,ফাখির
তারা,ইতারা
রাতের,রাইতের 
মরে,মরি
কৈ,হই
পাকা,পাক্কা
ঝর হলে,ঝর পইল্যে
ফাকে,পাকে
খিচুরি,খেচুরি
তলায়,তলায়
নিচে,তলাত
ফিরেও,ফিরিও 
ফিরে,ফিরি
রাবণের,রাবণর
নামে,নামে 
তৈলাক্ত,তেলতেইল্লে
প্রেম,ফিরিত
ব্যাঙের,ব্যাঙর 
সিদ্ধান্ত,সিদ্ধান্ত
প্রেমে,ফিরিতওত
প্রেমের,ফিরিতওর 
এমন,এন
পারতাম,ফ্যাইত্তাম
লাগাতে,লাগুন
ঘুরতে,ঘুরতে 
ফালতু,ফালতু 
পাহাড়,মুরা
বললে,হইল্যে
লাগালে,লাগাইলে 
হরিণ,অরিণ
খাবো,হাইয়্যুম 
ওঠে,উডে
যাচ্ছে,যার
মাসের,মাইস্যা
পরিচর্যা,পরিচর্যা
মেয়েদের,মাইয়্যাঅলর
দেই,দ্যি
ধোয়াসা,ধুয়োইস্যে
থাকে,থাহে
তাকে,ইতারে
ভরে,ভরি
ভাল্লুকের,ভালুকের 
শিখিয়েছে,শিকাইয়্যে 
বদমাইশি,বদমাইশি 
ভালবাসি,ভালবাসি
ভালবাসা,ভালবাসা 
থাক,থাহ
দূষণ,দূষণ
খপ্পর,হপ্পর
খপ্পরে,হপ্পরত 
সান্তনা,সান্তনা
ঝড়,ঝড়
ফুটানি,ফুডনি 
ঝড়ে,ঝড়ত
পাবো,পাইয়্যুম
ক্ষতি,ক্ষতি 
ভিজে,ভিজে 
ভিজলে,ভিজিলে 
খেতে,হাইতে
হাল চাষ,হাল চাষ
হলে,অইলে
শীতে,শীতত 
হল,অইল 
দিঘীতে,দিঘীত
ডাল,ডাইল
বন্ধুত্ব,বন্ধুত্ব
সোনার,সোনার
বিদেশি,বিদেশি
বিদেশে,বিদেশেত 
ছেলেকে,ফোয়ারে 
ঘটিয়ে,ঘটাই
কুমড়োর,অরির 
কুমড়ো,অরি
দেশে,দেশত  
ঝরে,ঝরত
শুধু,উধে
ক্ষমতা,ক্ষমতা
কেমন,ক্যান 
মাইর,মাইর
ডালে,ডাইলঅত
ডাল,ডাইল
থাকবো,থাইক্কুম
কান্নার,হান্দনের
কান্না,হান্দন
সরিষার,সইষ্যের
ছেলেমেয়েকে,ফোয়ামাইয়্যাগুন
মেয়েকে,মাইয়্যারে 
গত,গত 
পাস,ফাশ 
মধ্যে,মাজে
কানায়,হানায়
আলো,আলো
দুনিয়াতে,দুনিয়েত
দুনিয়া,দুনিয়ে
বর্ষা কালে,বর্ষা কাইল্যা
ধুয়ে,ধুই
অন্য,অন্য
অন্যের,অন্যর   
নাও,ল
পুরস্কার,পুরস্কার
করেছ,গইজ্জো
যদি,যদি
অন্যদিকে,অন্যমিক্কে 
তরকারি,ছালন
ছাড়িস,ছারস
টেকা,টিগন
মুশকিল,মুশকিল
করেছি,গইজ্জি
বমি,বমি 
সুন্দরি,সুন্দরি
করেছিস,গইজ্জু
জুতা,জুতা
জলদি,হারা
মার্জিত,মার্জিত
মুখ,মুক
রুচি,রুচি
জিনিসটি,জিনিসইবে 
মুখে,মুকে
মুখের,মুকের
ডাক্তারের,ডাক্তরর 
পূরণ,পূরণ 
গেছিস,গেইয়্যুস
প্রতিদিন,ফত্তিন
প্রতিদিনের,ফত্তিনর 
কুঠারর,কুঠারের 
দাও,দ
মন্দিরে,মন্দিরত  
পরিস,পরিস
পরিচয়,পরিচয়
পরিক্ষা,পরিক্কে
কালকে,হালিয়্যে
প্রথম,ফতম
পড়িয়ে,পড়াই
পত্র,ফত্র
বোরখা,বোরহা
পড়েছ,পইজ্জু
বাঁকা,বেহা 
ফুটিয়ে,ফুডায়
পুরো,ফুরো
পুরাতন,পুরাইন্না
নম্বর,লম্বর
জুড়িয়ে,জুড়াই
পেঁপে,কৈইয়া  
পাবে,ফাইবে
ঠাট্টায়,ঠাট্টাত
কিছু,কিসু
বুঝা,বুজা
সময়,সমত
চোখ,চুখ
সমাজে,সমাজত 
পরিবারে,পরিবারত
বুঝার,বুজিবের 
থাকলে,থায়লি    
বুঝতে,ঠওর 
থাকল,থাকিল
নামিয়ে,নামাই  
দুটো/দুইটি,দুয়ো
দুইটা,দুইয়্যান
বুঝি,বুজি
কারখানা,কারখানা
মানে,মানে 
বুঝবো,বুইজ্জুম
