Standard_Bangla,dialect_speech,English_translation
অতিন্দ্র দাদার কাজ ভালো লাগলে ভিডিওটিতে লাইক দিয়ে দেখতে থাকুন ভালো কাজ করলো কে আর লাইক চায় কে,অতীীন্দ্র দাদার হাম এগিন ভালা লাইলে ভিডিয়োউয়োত লাইক দিয়েনে সাইতে থাহন হাম ভালা হনে গরের আর হনে লাইক হুযের।,
আপনাকে দেখছি,অন রে দেহি,
আপনার সাথে কথা বলতে আমার অনেক ভালো লাগে,অনড় লই হোথা খৈত বেশি গম লাগে,
আপনাকে একটি দোকানে যেতে হবে,অনত তুন এক্কান দোয়ান ওত যা ফরিবো,
আপনার হড়হড় করে বমি করা রোগটা কি এখনো আছে??? নাকি ভালো হইছে �??,অনত্তে বরত বরত গরি বমি গরিবের রোগ ইবে এজু আছে না ? নাকি গম অইয়্যি?,
আপনার হাশির কাছে সব কিছু হার মেনে যায়,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই,
আপনার এই পোস্টটি খুব উপকারী,অনর এই ফোস্ট ইয়ান কুব উফকারি,
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,
আপনার কি বই পড়ার অভ্যাস আছে,অনর কি বই ফরার অব্বাস আচে নে,
আপনার কি বিয়ে হয়ে গেছে,অনর কি বিয়া ওই গেইয়ু নি?,
আপনার কি মন খারাপ,অনর কি মন হারাফ নে,
আপনার কোনো প্রশ্ন আছে,অনর কি হনো ফ্রশ্ন আচে নে,
"আপনার গরুর রচনা পড়ে তো আর দাবি আদায় হবে না, একটা এডভাইস দেই, গাড়ি নিয়ে বের হওয়ার সময় লাইসেন্স নিয়ে বের হইয়েন।","অনর গরুর রচনা ফরি তো আর দাবী আদায় নো,অইবু এক্কান ডিভাইস দির গাড়ী লই বাইর অইবের সময় লই লাইসেন্স লই বাইর অইয়্যুন।",
আপনার ছবি দেখে খুব ভালো লেগছে,অনর চবি দেকি কুব গম লাইজ্ঞে,
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর,
আপনার ছবিটি দেখে মন ভরে গেলো,অনর চবিয়ান দেহি মন বরি গেইয়্যুই,
আপনার চোখ অনেক সুন্দর,অনর চোক বউত সুন্দর,
আপনার জন্মদিন কবে,অনর জন্মদিন হত্তে?,
আপনার মত পরজীবীদের কাজই হচ্ছে বাংলার জনগনের মধ্যে বিবেদ সৃষ্টি করে নিজের পকেট ভারী করা।,অনর ডোইল্লে ফরজীবীর হাম অইয়্যিদে বাংলার জনগণর মইদ্ধে বিপদ সৃষ্টী গরন।,
আপানার নামবার দেন,অনর নাম্বার গ দন।,
আপনার পড়ালেখা করা উচিত,অনর ফরালেহা গরা উচিত,
আপনার সাথে দেখা হয়ে আসলেই খুব ভালো লাগলো,অনর ফোয়ারে দেহা অই আসলেই কুব গম লাইজ্ঞে,
আপনার সংগে আছি,অনর ফয়ারে আছি,
আপনার বোনের কি বিয়ে হয়ে গেছে,অনর বইনের কি বিয়া ওই গেইয়ু নি?,
আপনার বড় বোনের কি বিয়ে হয়ে গেছে,অনর বর বইনর কি বিয়া অই গেইয়্যুয় নে?,
আপনার বাচ্চা যদি পরীক্ষা দিতো তবে আপনি ও ভাবতেন যা কিভাবে তাকে সাজেশন করাযাই আর 10 বছর বয়সে যে হারে PSC পরীক্ষা পড়ার চাপ থাকে তাতে বাচ্চা সরনা পুণ হওয়া খুব দর কার না এ নিয়ে মাথা ব্যাথা দরকার নেই এটা নতুন কিছু না যে আজ হচ্ছে,অনর বাইচ্চে যদি ফরিক্ষা দিতু তইলি অনেও ভাইবতেন যে কেনে এক্কানা সাজেশন গরা যায়। আর দশ বছর বয়সত যে হারে ফরিক্ষার ফরার চাপ থাগে। তাতে বাইচ্চে অক্কল সরণপন্য অইবের দরহার নাই। ইয়েন লই মাথা ব্যাথা গরিবের দরহার নাই ইবে নোয়া নয়।,
আপনার বাড়ি কি নিউক্যালি ভাউ �,অনর বারি কি নিউক্যালি নাকি ?,
আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি,অনর ব্লগকান ফরি বউত কিচু শিকিত ফাইরগি,
আপনার বড় বোনের কি বিয়ে হয়ে গেছে,অনর বড় বইনের কি বিয়া ওই গেইয়ু নি?,
"Naheed Parveen Mimi@আপনার মন্তব্য এবং স্যারের লেখা বুঝা readers আমাদের সমাজে খুব সিমিত। তাদের মনমত লেখা না হলে যে সব ভাসা ব্যাবহার করে that's are very painful, maximum are comments on radical approach.",অনর মন্তব্য এবং স্যারের লেহা বুঝা  আরার সমাজত খুব সিমিত।  ইতারার মনমত লেহা ন অইলে যে বেয়াক ভাষা বেবার গরে।,
আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে,অনর মযার মযার হতা ফুনিলে আরাদিন মন বালা তাকে,
আপনার জন্য কত সাইজ,অনর লা হত সাইজ।,
আপনার জন্য,অনর লাই,
আপনার জন্য অনেক দোয়া আর ভালবাসা স্যার <3,অনর লাই অনেক দুয়া আর ভালোব্বাসা স্যার।,
আপনার সাথে পরিচিত হয়ে ভালো লাগলো,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে,
আপনার সাথে পরিচিত হয়ে ভালো লাগলো,অনর লাই ফরিচয় ওই বহুত বালা লাইগগে,
আপনার জন্য রোডিজ স্যলুট।।।।।।।।।।।�����������������‍☠��,অনর লাই রোডিজ স্যালুট ।,
আপনার জন্য শুভকামনা রইল,অনর লাই শুভকামনা,
আপনার লেখাগুলো বড় করে পড়লে কেমন জানি আম্বা আম্বা এর মত শোনাই,অনর লােহাইগিন ডর ডর গরি ফরিলি আত্তে আম্বা আম্বা লাগে।,
আপনার লেখা অসাধারণ,অনর লেহা অসাদারন,
আপনার লেখার ধরণ খুব সুন্দর,অনর লেহার দরন কুব সুন্দর,
আপনার সাইজ কত,অনর সাইজ হত।,
আপনার কত সাইজ,অনর সাইজ হত।,
আপনার সাইজ কত,অনর সাইজ হত।,
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,অনর সুন্দর সুন্দর চবিগিন দেকি আনন্দ পাইয়্যি,
আপনার কথা গুলো বালো,অনর হতা ইগিন ভালা,
আপনার কথা গুলো ভাল লাগছে,অনর হতা ইগিন ভালা লাইজ্ঞি।,
আপনার কাজই কি চোদা দেওয়া,অনর হাম কি চোদা দন।,
আপনার কি পরীক্ষা দিতে ভালো লাগে,অনরতুন কি ফরিক্কা দিতে গম লাগে নে,
আপনা আমাকে এখনো চিনেন না,অনরা  আরে এইযো ন চিনন,
আপনা এখনো চিনেন না,অনরা  এইযো ন চিনন,
আপনারা আগে যান,অনরা আগে জো,
আপনারা কেউ যদি বাংলাদেশ এর ফাস্ট বোলার দের সেরা দেখতে চান তাহলে নিচের লিঙ্ক এ ক্লিক করুন আর লাইক ও কমেন্ট করতে ভুবেন না কিন্তু!,"অনরা কেই যদি বাংলাদেশর ফাস্ট বোলার অক্কলর সেরাউয়্যো চাইতু চন তইলে নিচের লিঙ্কোত কিলিক গরন , আর কিন্তু লাইক এদ্দের কমেন্ট গরিবেল্লাই ন ফইজ্জুন।",
আপনারা যান,অনরা জো,
আপনা চিনেন না,অনরা ন চিনন,
আপনারা বালের বিচারক হইছেন আমি যদি ওইখানে থাকতাম তোদেরকে জুতাপিটা করতাম আর ওই যে ওরে চুদে দিতাম,অনরা বালর বিচারক এন্ডে আই থাগিলি জুতা দি মাইত্তাম আর উইতারারে চুদি দিতাম।,
আপনারা কি সবাই একটা বিষয় লক্ষ্য করেছেন মিথিলা সবসময় তার বাবার বয়সিদের সাথে লাগায়,অনরা বেগগুনে কি এক্কান বিষয় খেয়াল গইটজ্জন নে মিথিলা সবসময়  তার বাপওর বয়সওর মানুইষ ওরে লাগাইতো দে।,
আপনারা যারা আমাকে এখনো চিনেন না,অনরা যারা আঁরে এইযো ন চিনন,
আপনা যারা আমাকে এখনো চিনেন না,অনরা যারা আরে এইযো ন চিনন,
আপনাদের কাছে আমার অনুরোধ ছেলেটাকে পুলিশে দিয়ে দিন এই জানোয়ার রুপি মানুষ সমাজের জন্য অভিশাপ,অনরার কাচে আর অনুরোধ পোয়া ইবারে পুলিশওরে দি দন এনডিক্কা জানোয়ারওর নান মানুষ সমাজ ওর অভিশাপ।,
আপনাদের কি শুক্রবার সকালে সময় হবে,অনরার কি শুক্কুরবার বেইন্না সময় অইবো নে?,
আপনাকে টেকনোক্র‍্যাট মন্ত্রী হিসেবে দেখতে চাই।,অনরে টেকনোক্র‍্যাট মন্ত্রী হিসেবে দেইখতেম চাই।,
আপনার কে ধন্যবাদ।,অনরে ধইন্যবাদ।,
আপনাকে পাঠিয়েছে,অনরে ফাদইয়ে,
অসংখ্য ধন্যবাদ আপনাকে ভাই আমার অনেক প্রিয় আজহারী হুজুর,"অনরে বেশি বেশি ধইন্নবাদ ও ভাই,আজাহারি ওজুর আর এন ন প্রিয়।",
আপনে কেনো নামাজ নিয়ে কেনো গালি দিলেন কেনো কুত্তার বাচ্চা,অনরে হন নামাজ লয় গাইল দিয়ে দে হন কুইরওর বাচ্চা।,
আপনাকে কে পাঠিয়েছে,অনরে হন ফাদইয়ে,
আপনি আপনার পরিবার সহ আমাদের বাসায় আসবেন,অনে অনর ফরিবারসহ আঁরার বাসাত আইবান,
আপনি আমাকে ছেড়ে চলে যাবেন,অনে অ্যাঁরে ছাড়ি চলি যাইবেন,
আপনি আমাকে ছেড়ে চলে যাবেন,অনে অ্যাঁরে ছাড়ি চলি যাইবেন,
আপনি আমার সাথে যাবেন,অনে আঁর ওঁয়ারে যাইবেন না?,
আপনি আমার সাথে এভাবে কথা বলতে পারেন না,অনে আঁর লই এন গরি হতা হইত ন ফারঅন,
আপনি আছেন,অনে আছন নি?,
আপনি আমার সাথে এভাবে কথা বলতে পারেন না,অনে আর লাই এন গরি হতা হতে ন ফারেন,
আপ্নি একজন 'ভার্সিটির অধ্যাপক' তাই নিজের ওয়েট বজায় রাখুন।এসব ছাগলামী করলে শুধু শুধু সম্মান হারাবেন! নাকি 'কমেডি' লেখছেন...?,অনে একজন ভার্সিটির অধ্যাফক এতাল্লাই নিজুর ওয়েইট বজায় রাহন ইন গরল মান সম্মান আরাইবেন।,
আপনি একজন রাজাকার!!!!!! কারন রাজাকার ছাড়া এই মুক্তিযুদ্ধের সরকারের সমালোচনা কেও করতে পারে না।...... হয় মুক্তিযুদ্ধের চেতনার সাথে থাকবেন... না হয়..... রাজাকারদের সাথে..... মাঝখানে কোন রাস্তা খালি নাই!!!!!!!,অনে একজপ্ন রাজাহার ।এহন রাজাহার ছার মুক্তিযুদ্ধের সমালোচনা কেই গরিত ন ফারিবু।,
আপনি একটা সাহায্য পাচ্ছেন পুলিশের কাছ থেকে,অনে এক্কান সাহাইয্য ফাইতে লাইজ্ঞন গুলুশর হাসত্তুন,
আপনি এভাবে কথা বলতে পারেন না,অনে এন গরি হতা হতে ন ফারেন,
আপনি কোথায় থেকে এসেছেন,অনে কত্তুন আইশ্যুন যে?,
আপনি কলকাতার কোন চ্যানেল এর সংবাদ পাঠিকা খবরের সাথে মুখের বলার কোনো মিল নেই আর এসব খবর কোথায় পান আপনারা ভারত নিয়ে দেখছি বাংলাদেশের খুব মাথা ব্যাথা,অনে কলকাতাত হোন চ্যানেলোর হবর ফাটিকা হবরোর ওয়ারে মুখুর হোনো মিল নাই আর এই হবর এগিন হডেত্তুন তুয়াই বাইর গরন দে অনোরা ভারত লইয়েনে সাইদ্দি বাংলাদেশোর বেশি মাথাব্যাথা।,
আপনি কি আপনার হাত ধুতে জানেন,অনে কি অনর আত দুইতো জানন নে?,
আপনি কী অন্যান্য বই পড়েছেন,অনে কি অন্যান্য বই ফরন নে,
আপনি কি আমাদের বাড়িতে এসেছেন,অনে কি আরার বাড়ি আইসসিলেন্না,
আপনি কি কথা বলতে পারেন ইংরেজিতে,অনে কি ইংরেজিত হতা হইত ফারোন নে?,
আপনি কি এই বইটি পড়তে পারেন,অনে কি এই বইওয়া ফরিত ফার অন?,
আপনি কি এখানে থাকতে পারেন,অনে কি এডে তাকিত ফারিবান নে?,
আপনি কি পাবনার,অনে কি ফাবনার না?,
আপনি কি এই প্রশ্নের জবাব দিতে পারবেন,অনে কি ফ্রশ্ন ইবার জবাব দিত ফারিবান নে?,
আপনি কি বাংলা সিনেমা দেখতে ভালোবাসেন,অনে কি বাংলা চিনেমা চাইতো বালবাসন নে?,
আপনি কি বাংলা নাটক দেখতে পারেন,অনে কি বাংলা নাটক দেইত ফার অন?,
আপনি কি বুঝাতে চেয়েছেন কার পক্ষে লিখেছেন তা প্রথম আর শেষের লাইন পড়েই বুঝে গেছি পুরোটা পড়ার দরকার হয়নি।আগামীতে যদি রাজনীতিতে আসেন তাহলে জাতি অবাক হবেনা।,অনে কি বুঝাইতু চাইতে লাইজ্ঞুন হার ফক্কে লিক্ষুন? ইয়েন ফতম আর শেষ লাইন ফরি বুঝি গেই ।গোডা ফরা ন ফরে ।সামনে রাজনীতিত আইলি মানুষ অবাক ন অইবু।,
আপনি কি রাতে খেয়েছেন,অনে কি লাতিয়া হাইয়োন না?,
আপনি কি কোনো গানে নাচতে পারেন,অনে কি হনো গান অত নাচিত ফার অন?,
আপনি কি কোনো কবিতা লিখতে পারেন,অনে কি হনো বাংলা কবিতা লেকিত ফার অন?,
আপনি কি খামারের পশু পছন্দ করেন,অনে কি হামারর ফশু ফচন্দ গরন নে?,
আপনি খুব সুন্দরভাবে সমস্যাটি সমাধান করেছেন,অনে কুব সুন্দর গরি সমস্যাগান সমাদান গইরগন,
আপনি কেমন আছেন,অনে কেন আচন,
আপনি কেমন আছেন,অনে কেন আচন,
তুমি কেমন আছ,অনে কেন আছন ?,
আপনি কেমন আছেন,অনে কেন আছন?,
আপনি খুবছেকছি,অনে খুব সেক্সি।,
"আপনি জাস্ট বালের একটা দালাল, আর কিছুনা।","অনে জাস্ট বালর দালাল ,আর কি ছু ন।",
আপনি থিকিই বলছেন মেমআপনার সাথে আমি একমতআমি সাকিব খানকে খুব তাড়াতাড়ি অপু দিদি সাথে কথা বলে দেখতে চাই,অনে ঠিক হইয়ুন ম্যাডাম সাব অনোর লগে আঁইও একমত। আঁই শাকিব হানোরে জলদি অফু দিদির লগে হতা হক ইয়েন সাইতু সাইর।,
অাপিন ঠিক বলেছেন,অনে ঠিক হইয়ুন।,
আপনি দেশের গনতন্ত্রকে ফিরিয়ে দিতে এই বয়সে জেলে সত্যি মা তোমার তুলনা হয়না আমরা এদেশের জন্য কি করলাম।,"অনে দেশর গণতন্ত্র আইন্তু যাইয়েরে আজিয়ে জেইলুত , সত্যি মা তোয়ার তুলনা নাই , আরা দেশর লাই কি গইল্লাম ।",
আপনি নাজেনে হাফিজুরকে বন্ড বলেছেন তাই আপনার চেনেলে সাসক্রাব আছালাম উটিয়ে ফেলে ছি,অনে ন জানি হাফিজুর ওরে গুন্ডা হইওন ওতুল্লাই অনর চ্যানেলওরতো সাবসক্রাইব আসসিলাম দে তুলি ফেলাইয়ি।,
আপনি নিজের পরিবার নিয়ে বসুন,অনে নিজর ফরিবার লই বয়্যুন,
আপনি নিজে কিছু একটা করেন,অনে নিজে কিছু এক্কা গরন,
আপনি নিজে কিছু করার চেষ্টা করেন যেন পরিবারের সাহায্য হয়,অনে নিজে কিছু গরিবার চেস্টা গরিবান যেন ফরিবারর সাহাইয্য  অয়,
আপনি নিজের পরিবার নিয়ে বসুন,অনে নিযর ফরিবার লই বয়্যুন,
আপনি পরিবার নিয়ে বসুন,অনে ফরিবার লই বয়্যুন,
আপনি পারেন দাদু,অনে ফারন দাদু।,
আপনি অনেক ভালো মানুষ,অনে বউত বালা মানুষ,
আপনি নাকি রাজনীতি বোঝেন না! ���,অনে বলে রাজনীতি ন বুঝোন!,
আপনি অনেক ভালো মানুষ,অনে বহুত ভালা মানুষ,
আপনি বেঁচে আছেন,অনে বাঁচি আছন নি?,
আপনি বেঁচে আছেন,অনে বাচি আচন নে?,
আপনি খুব সুন্দরী,অনে বেশি সুন্দইজ্জে।,
আপনি ভালো মানুষ,অনে ভালা মানুষ,
আপনি যদি আমার সাথে বন্দুত্ব করতেন আমি খুব খুশি হইতাম৷,অনে যদি আঁর লগে বন্ধুত্ব গইত্তেন আঁই বেশি খুশি অইতাম।,
আপনি যদি পুলিশকে সবটা খুলে বলেন তাহলেই দেখবেন সমস্যার সমাধান হয়ে গেছে,অনে যদি ফুলুশেরে বেয়াক্কুন খোওয়াইয়েরে হন তাইলে দেখিবান সমইস্যা সমধান অই গিয়ি,
আপনি যে একটা 'চুদির বাই' জানেন সেটা? �,অনে যে উজ্ঞো চুদির ভাই ইয়েন জানোন না ?,
আপনি যেই ছেলেকে ভালবাসেন সেই ছেলেটি কি আপনাকে ভালবাসে,অনে যে ফোয়ারে বালবাসোন ফোয়াইবা কি অনোরে বালবাসেনে?,
আপনি জানেন না আপনি আরও ভালো করে জেনে তবেই ভিডিও করুন,অনে যেত্তে নো জানোন এতাল্লাই আরো ভালা গরি জানিয়েনে ইয়ার ফরে ভিডিও গরন।,
আপনি নিয়ে বসুন,অনে লই বয়্যুন,
আপনি কয় রাত কার সাথে,অনে হ রাইত হার ল?,
আপনি কথা বলতে পারেন না,অনে হতা হতে ন ফারেন,
আপনি বলুন,অনে হন,
আপনি কোন লেভেলের গাঁজা খেয়েছেন ৷,অনে হন লেভেলওর গাঁজা হাইওন।,
আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন,অনে হনিজার জিবন অত সুক আনি দিবান বাবি ফ্রেম গরন,
আপনি কখনই পারবেন না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে কিংবা জোর করে অন্যের ভালো লাগার মানুষ হতে,অনে হনোঅত্তে ন ফারিবান অন্য হনিকার বালবাসারে চিনায় লইত কিনবা জোর গরি অন্যর বাল লাগার মানুষ অইত,
অনেক খারাপ লাখছে���,অনেক হারাও লাগের,
অনেকেই শখের বশে কবুতর পালন করেন,অনেকেই শকরলাই হইতর ফালে,
আপনার দুই দিকেই জ্বালা হইছে,অনের দুই মিক্কেই জালা আসেদে,
আপনার মা এবং স্বামী দুজনেই সতর্ক হবে আপনার প্রতি,অনের মা আর জামাই সতর্ক অইবো অনর ফ্রতি,
আপনারা বলেন এখন আমি আসলে করব কি,অনেরা হন আই আসলে কিত্তাম?,
আপনারাও আপনাদের জীবনসঙ্গীকে ভালোবাসুন,অনেরাও অনেরার জীবনসঙ্গীরে ভালোভাসন,
আপনাকে যদি জিভে পানি এনে দেবে এমন একটি ফলের নাম বলতে বলা হয় তাহলে আপনার মনে তেঁতুলের নাম আসবেই,অনেরে জদি হয় জিব্বাত ফানি আই যাইবদে এইল্লে এক্কান ফোলর নাম হন তাইলে অনেরার মনত তেতুলর হতা আইবো,
আপনাকে পড়ালেখা করতে হবে,অনোত্তুন ফরালেহা গরা ফরিবো,
আপনার ভয়েজ ত খুবি ভ্লা,অনোর আবাজ ত বউত ভালা,
আপনার এখন সময় আছে ঠিক হয়ে যান,অনোর এহনো সম আসে ঠিক অই যন।,
আপনার চ্যানেল এবং আপনার নাম সম্পূর্ণ ফেক,অনোর চ্যানেল আর অনোর নাম গোডাওয়ান মিসে।,
আপনার জামাই আগেরটা কি নাই,অনোর যামাই আগোরগো কি নাই?,
আপনার সাথে কথা বলতে পড়ি,অনোর লগে হতা হইত ফাইজ্জুমনে?,
আপনার কথাগুলা যুক্তি সম্মত আপু,অনোর হতাগিন যুক্তিমতন আফা।,
আপনাদের মাজে বুল বুযা বুযি থাকতে পারে সেটা জেনো জায় কে না কাদায় তাই আপনাদের আবারো এক হইতে হবে,অনোরার মাজোদি ভুল বুযাবুযি থাহিত্তারে ইবে য্যান জয়ুরে ন হান্দায় এতাল্লায় অনোরাত্তুন আবার এক অন ফরিবু।,
অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না,অন্যসাইডদ্দি অনের জামাই ও ভালা নো,
অন্যান্য বই পড়েছেন,অন্যান্য বই ফরন নে?,
অপরাধ করে আবার বিচার চাস নিরপরাধরা কি বললে স্যারের কোন দোষ নাই তোমার সাথে স্যার সেক্স করছেতো তাই কারন উনি তোকে মজার রস দিয়েছে,"অপরাধ গরি আবার বিচার চর, নিরপরাধ কি কইবু? স্যারের কুহনো দোষ নাই। তুয়ার লগে স্যার সেক্স গরজিতো, এতেল্লাই কারণ ইবে তুয়ারে মজার রস দিয়ি।",
অপরাধ করার আগে স্মরণ থাকে না �এবার ফাঁসির কাষ্ঠে ঝুলতে হবে।,অপরাধ গরিবের সমত খেয়াল ন থা এলা ফাসিত ঝুলা ফরিবু।,
অপু আপু জয়কে নিয়ে এগিয়ে যাও,অপু আফা জয়ুরে লইয়েনে আগায় য।,
অপু আপুও নেক ভাল,অপু আফা বউত ভালা।,
অপু আপু জা করেছ সব কিট করেছে শাকিব ত শুধু আছে বাজে বুবলি কে নিয়ে,"অপু আফা যা গইজ্জু বেয়াজ্ঞিন ঠিক গইজ্জু, শাকিব ত আসে উদো বুবলিরে লইয়েনে।",
অপু আবার ও সাকিব বাইয়ার সাথে থাকে ভালো হবে,অপু আবার শাকিব ভাইয়ুল্লো থাইলি ভালা অইবু।,
অপু আর সাবনু দুজনেই বেশ্যামাগি,অপু আর সাবনু দুনিজনে বেইশ্শা মাগি।,
আপু ভাল মেয়ে তাই শাকিব আর বুবলির কনো খতি করে না,অপু উজ্ঞো ভালা মাইয়্যে এতাল্লাই শাকিব আর বুবলির হোনো হতি ন গরে।,
অপু একটা খারাপ মেয়ে,অপু উজ্ঞো হারাপ মাইফুয়া।,
অপু একটি মাগি,অপু ওগ্গা মাগি।,
অপু ঠিক বলছেন,অপু ঠিক হইয়্যি।,
অপু বড় মাগি আমরা বুবলি চাই,অপু ডর মাগি আরা বুবলি চাই।,
অপু পাগল,অপু পল।,
আপু বিশ্বাস,অপু বিশ্বাস,
অপু বিশ্বাস তো ও বলতে পারেন না,অপু বিশ্বাস ত ‘ও’ হইন্নফারে।,
অপু বিশ্বাস যা বলসে একদম ঠিক,অপু বিশ্বাস যা হইয়্যি এব্বেরে ঠিক হতা।,
অপু বিশ্বাস সাকিব খানকে আবার চাই,অপু বিশ্বাস শাকিব হানোরে আবার সাই।,
অপু খুব ভাল মেযে,অপু বেশি ভালা মাইফুয়া।,
অপু খুবালো,অপু বেশি ভালা।,
অপু নষটা মাগী ডাইনী শয়তানীর সামীর অভাব নাই এই অপু নষটা সংসার ছাইনা পরুষ ছাই,অপু হরাপ মাগী ডাইনী শতানীর নেকওর অবাব নাি এই অপু হরাপ সংসার ন চাই বেডা মানুষ চা।,
অপুতো একটা মাল তার গুধে একটা চুমু চাই,অপুতো ওগ্গা মাল ইবার দুধওত ওগ্গা চুমা দিতো চাই।,
অপুর চামচা তুই,অপুর চামচা তুই।,
অপুর দূধ বড বড,অপুর দুধ ডর ডর।,
অপু কে অবশ্যই চাই,অপুরে আলবত সাই।,
অপু কে ঝারু পিটা করা উচিত মিথ্যা কথা বলার জন্য সে একজন পতিতা ওবায়দুল এর বেড পার্টনার,অপুরে জাড়ারচুয়া দিড়ন উচিত।মিচা হতা হইবল্লা একজন বেইশ্শা ওবাইদুল ওর পুয়াতি নেড়ে।,
অপুকে পতিতার মতো লাগে খানকি মাগি,"অপুরে বেইশ্শার মতো লাগে, হানকি মাগি!",
আপুকে চাই না শাকিবে সাথে অপু একটা বাজে মেয়ে,অপুরে শাকিবুর লগে নো সাই অপু উজ্ঞো ফালতু মাইয়্যে।,
অপেক্ষার পর পাইলাম ভাইয়া আপ্নার ভিডিও অস্থির হইছে ভাই ���,অপেক্ষার ফর ফাই দি ভাই অনর ভিডিও অস্থির অইয়্যি ভাই,
অপমান করে,অফমান গরিয়ে,
অফিস রুমের পাশে এমন কক্ষ পৃথিবীর কয়টি দেশের আমলা পায়। চুদার জন্য ব্রিটিশরা এসব করেছিল এবং এ ধারা এখনও আছে।,অফস রুমের ডাগে এন কক্ষ পৃথিবীর কও দেশোত পাইবে। চুদিবার লাই ব্রিটিশ অক্কল এল্লে গরজিল এবং এ খারা আইযু আছে।,
