Sentence #,Standard_Bangla,Chittagong,Sylhet,Noakhali,Mymensingh,Barishal
13,আম্মু ঐদিন ঠিক কথাই বলেছিলও,আম্মু অইদিন টিক হতাই হইল,আম্মায় হেদিন ঠিক কথাউ কইছলা,মা যেদিন ঠিক কথা যে কৈসিলো,আম্মা অইদিন ঠিক কথাই কইসিল,মাএ অইদিন হাস্সইঅ কথাই কইসেলে
14,আম্মু সব সময় আমার মনের কথা বুঝে,আম্মু এগাযা আঁর মনোর হতা বুজে,আম্মায় হখল সময় অউ আমার মনর কথা বুজইন,আম্মা   বেক সময় আর মনের কথা বুঝে,আম্মা সব সময় আমার মনের কথা বুঝে,মাএ শব্কালে মর কইল্যার কথাউগ্গা বঝে
15,আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,আঁর বাসার হাজর মাইফোয়া ইবা ইয়া গম গরি হাজ গরিত ন ফারে,আমার বাসার কামর ফুড়িটায় এখন ভালা মত কাম করে না,আনগো বাসার কামের মাইয়া ইগা ওন আর ভালা  কাম করে না,আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,ঘরের কামের সেম্রি আহন থিক্কইর্রা কাম হরে না
16,আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,আঁর বাসার হাজর মাইফোয়া ইবা দুইদিন অর দাই গিয়্যুয়,আমার বাসাার কামর ফুড়িটায় দুইদিন ধরি ভাগন্তিত,আনগো বাসার কামের মাইয়া ইগা দুইদিন ধরি পলাইরৈসে,আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,মর ঘরের কামের সেম্রি দুই দিন ধইর্রা পলাইন্না
17,আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,আঁর বাসার দারোয়ান এহন ইতার গেরামত বেরাইত গেয়্যে,আমার বাসার দারোয়ান এখন তার গ্রামো পাখানিত গেছে,আনগো বাড়ির দারোয়ান হেতের গ্রামের বাড়ি গেচে গুরবার লাই,আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,মর ঘরের দারআন আহন অই সেম্রির গেরামে ঘর্তে গেসে
18,তোমাকে আমি কল দিবো না,তোঁয়ারে আঁই কল ন দিয়ুম,আমি তুমারে কল দিতাম নায়,আন্নেরে আই কল দিমু না,তোমারে আমি কল দিতাম না,তমারে মুই কল্ দিমুনা
19,এই জিনিষটা খুবই বিরক্তিকর ছিল,এই জিনিসসান কুব বিরক্তিকর আচিল,অউ জিনিসটা খুবঅই  বিরক্তিকর আছিল,ইয়ান বেশি অসইজ্যো আসিল,এই জিনিসটা অনেক বিরক্তিকর আছিল,এই জিনিশ খান আক্কালে অনেক গা জলুইন্না আসেল
20,সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,ইতে সিলেটত্তুন আঁর ফোয়ারে দেহা গইরতো আইস্যে,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,হেয় শীলোট তুন আর লগে দেয়া কইত্তে আইছিল,সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,হে শ্যলেত দিআ মর লগে দেহা কর্তে আইসেলে
21,সে এখন রাজশাহী চলে গেছে,ইতে এহন রাজশাহী গেইয়্যুই,হে এখন রাজশাহীত গেছে গিয়া,হেয় অন রাসসায়ী চলি গেছে,সে এহন রাজশাহী চইলা গেসে,হে আহন রাজ্শাহি গেসিগ্গা
22,সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,ইতে এহন তার বন্দুওক্কলর ফোয়ারে সিগেট হায়,হে এখন তার বন্ধুবান্ধবর লগে সিগারেট খায়,হেতে অন হেতের দোস্তের লগে বিড়ি টানে,সে এহন তার বন্ধুরার সাথে সিগারেট খায়,উনি আহন হেয়ার দস্গ গ লগে বিরি খায়
23,সে একদমই হাসে না,এতে এব্বেরেও ন আসে,হে এখেবারেউ হাসে না,হেতে এক্কারেই আশেনা,সে এক্কেরেই হাসেনা,হে আক্কালেই ভেত্কায় না
24,সে আমাকে অপমান করে,এতে আঁরে অফমান গইরগে,হে আমারে অপমান করে,হিগা আরে বেইজ্জুদি করে,সে আমারে অপমান করে,হে মরে আক্সের অপমান হিরে
25,তাঁর বই পরতে একদমই ভাল লাগে না,ইতাত্তুন বই ফইরতো এফফোডাও গম ন লাগে,তার বই পড়তে একদম অউ ভালা লাগে না,হিগার বই হইটটে এককারে বালা লাগে না,তার বই পড়তে এক্কেরেই ভালালাগেনা,হ্যার বই পড়তে এক্কালেই ভালো লাগে না
26,আপনার কি বই পড়ার অভ্যাস আছে,অনর কি বই ফরার অব্বাস আচে নে,আফনার কিতা বই পড়ার অভ্যাস আছে নি?,আন্নের কি বই হড়ার ঐববাস আছে?,আফনের কি বই পড়ার অভ্যাস আসে?,আমনের কি বই পড়ার অভ্যাস আছে?
27,তুমি কি আমাকে চিনো,তুঁই কি আঁরে চিনো নে,তুমি আমারে চিনো নি?,তুই য়ারে চিনো?,তুমি কি আমারে চিনো?,তুমি কি মোরে চেনো?
28,আমি তোমাকে চিনতে পারলাম না,আঁই তোয়াঁরে চিনিত ন ফাইরলাম,মুই তুুমারে চিনতাম পারিয়ার না,আই তোরে আগে কোনোসুমে দেই ন,আমি তোমারে চিনতে পারলাম না,মুই তোমারে চেনতে পারলাম না
29,আমি তোমাকে আগে কখনো দেখি নাই,আঁই তোয়াঁরে আগে হনো অত্তে ন দেহি,মুই তুমারে এর আগে কুনোদিন দেখছি না,আই  তোরে চিনতে হাইরলাম না,আমি তোমারে আগে কখনো দেখি নাই,মুই তোমারে আগে কহনো দেহি নাই
30,আমার পড়ালেখা করতে একদমই ভাল লাগে না,আঁত্তুন ফরালেহা গইরতো এফফোডাও গম ন লাগে,পড়ালেখা করতে আমার এখদম ভালা লাগে না,আর হরালেয়া কইত্তে একছের ভালা লাগে না,আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,মোর পড়াল্যাহা করতে এক্কালেই ভালো লাগে না
31,আপনার পড়ালেখা করা উচিত,অনর ফরালেহা গরা উচিত,আফনার পড়ালেখা করা উচিত,আন্নের হরালেয়া করন দরকার,আপনের পড়ালেহা করা দরকার,আমনের পড়াল্যাহা করা দরকার
32,আপনাকে পড়ালেখা করতে হবে,অনোত্তুন ফরালেহা গরা ফরিবো,আফনার পড়ালেখা খরা লাগবো,আন্নেরে হরালেয়া কইত্তে অইবো,আপনের পড়ালেহা করতে হইব,আমনের পড়াল্যাহা করতে হইবে
33,আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,আফনার কিতা পড়ালেখা করতে এখদম ভালা লাগে নানি?,আন্নের কি হরালেয়া কইত্তে একছের ভালা লাগে না,আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,আমনের কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?
34,তোর পড়ালেখা কোরতে হবে,তোত্তুন ফরালেহা গরা ফরিবো,তর পড়ালেখা করা লাগবো,তোর হরালেয়া কইরতো অইবো,তর পড়ালেহা করতে হইব,তোর পড়াল্যাহা করতে হইবে
35,তুই কি আর পড়ালেখা করবি নাহ,তুই কি আর ফরালেহা ন গরিবি,তুই কিতা আর পড়ালেখা করতে নানি,তুই কি আর হরালেয়া কইত্তি নও,তুই কি আর পড়ালেহা করতি নাহ?,তুই কি আর পড়াল্যাহা করবি না?
36,তুই কি পড়ালেখা ছেড়ে দিতে চাস,তুই কি ফরালেহা চারি দিতো চস নিকি,তুই কিতা পড়ালেখা ছাড়িত্তে নি?,তুই কি হরালেয়া ছাড়দিয়া লাইতো চাস ?,তুই কি পড়ালেহা ছাইরা দিতে চাস?,তুই কি পড়াল্যাহা ছাইড়া দেতে চাও?
37,তোর কি পড়ালেখা করতে একদমই ভাল লাগে নাহ,তোর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,তর কিতা পড়ালেখা করতে এখদম অউ ভালা লাগে নানি,তোর কি হরালেয়া কইত্তে একছের ভালা লাগে না?,তর কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,তোর কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?
38,তুমি কি এখন খেতে বসবা,তুঁই কি এহন হাইতো বইবা নে,তুমি কিতা এখন খানিত বইবায় নি?,তুই কি অন খাইতো বইবি?,তুমি কি এহন খাইতে বইবা,তুমি কি এহন খাইতে ববা?
39,আজকে আমার খেতে ভালো লাগছে না,আযিয়া আঁর হাইতো মনো ন হর,আইজকু আমার খাইতে ভালা লাগের না,আইজগা আর খাইতে ভালা লগের না,আইজকা আমার খাইতে ভালা লাগতাসেনা,আইজগো মোর খাইতে ভালো লাগতেয়াছে না
40,আমার বিদ্যালয়ে অনেক বন্ধু আছে,আঁর বিদ্যালয়ে বউত বন্দু আচে,ইস্কুলো আমার বাক্কা বন্ধু আছে,আর স্কুলে মেলা বনদু আছে,আমার ইস্কুলে অনেক বন্ধু আসে,মোর ইসকুলে ম্যালা দোস্তো আছে
41,আমার ছোট বোন বিদ্যালয়ে যেতে চায় না,আঁর চোড বইন বিদ্যালয়অত যাইত ন চাই,আমার ছুটো বইন ইস্কুলো যাইতে চায় না,আর ছোড বইন স্কুলে যাইতো চায় না,আমার ছোট বইন ইস্কুলে যাইতে চায় না,মোর ছোডো বুইন ইসকুলে যাইতে চায় না
42,আমার বিদ্যালয়ে যেতে অনেক ভাল লাগে,আত্তুন বিদ্যালয়অত যাইত বউত বালা লাগে,আমার ইস্কু্ল যাইতে অনেক ভালা লাগে,আর স্কুলো যাইতো মেলা ভালা লাগে,আমার ইস্কুলে যাইতে অনেক ভালা লাগে,মোর ইসকুলে যাইতে বেমালা ভালো লাগে
43,সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,ইবা তার গেরামর এক্কান বিদ্যালয় অত ফরালেহা গরে,হে তার গাউর এখটা ইস্কুলো পড়ে,হেতে  হেতেগো গ্রামে এককান স্কুলে হড়ালেয়া করে,হেয় তার গেরামের একটা ইস্কুলে পড়ালেহা করে,হ্যায় হ্যার গেরামের এউক্কা ইসকুলে পড়াল্যাহা করে
44,সে বিদ্যালয়ে যেতে চায় না,ইবা বিদ্যালয়অত যাইত ন চায়,হে ইস্কুলো যাইতো চায় না,হেতে স্কুলো যাইতো চায় না,হেয় ইস্কুলে যাইতে চায় না,হ্যায় ইসকুলে যাইতে চায় না
45,তার বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,ইতাত্তুন বিদ্যালয় অত যাই ফরালেহা গইরতো গম ন লাগে,তার ইস্কুলো গিয়া পড়ালেখা খরতো ভালা লাগে না,হেতের স্কুলে যাই হড়ালেয়া কইরতো ভালা লাগে না,হের ইস্কুলে যায়া পড়ালেহা করতে ভালা লাগে না,হ্যার ইসকুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না
46,সে বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,ইতে বিদ্যালয় অত যাই বন্দু অক্কলর ফোয়ারে গল্ফ গরে,হে ইস্কুলো গিয়া বন্ধুরার লগে গফ করে,হেতে স্কুলো যাই বনদুগোর লগে গল্ফ করে,হেয় ইস্কুলে যায়া বন্ধুরার সাথে গল্প করে,হ্যায় ইসকুলে যাইয়া দোস্তোগো লগে কেচ্ছা করে
47,সে বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,ইতে বিদ্যালয় অর মাডঅত ফত্তিন ক্রিকেট কেলে,হে ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়,হেতে স্কুলের মাডো হইত্তোদিন ক্রিকেট খেলে,হেয় ইস্কুলের মাঠে প্রত্যেকদিন ক্রিকেট খেলে,হ্যায় ইস্কুলের মাডে পেরতেকদিন ক্রিকেট খেলে
48,সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,ইবা বিদ্যালয় অর মাডঅত মায়া গুরি ফরি গেইয়্যুই,হে ইস্কুলর মাাঠো মাথা গুরাইয়া পরি গেছিল,হেতি স্কুলের মাডো মাতা ঘুরি হড়ি গেছেগই,হেয় ইস্কুলের মাঠে মাথা ঘুরায়া পইড়া গেসিল,হ্যায় ইশকুলের মাডে মাথা ঘুরাইয়া পইড়া গ্যাল্লেহ
49,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,ইতে বউত দিন আগে তার বিদ্যালয় অর ওজ্ঞা মাইফোয়ারে বালবাসিতো,হে বাক্কা আগে তার ইস্কুলর একটা ফুড়িরে ভালা পাইতো,হেতে মেলা দিন আগে স্কুলের অগগা বইতালিরে ভালোবাইসতো,হেয় অনেকদিন আগে হের ইস্কুলের একটা ছেড়িরে ভালবাসতো,হ্যায় ম্যালা দিন আগে হ্যার ইশকুলের এউক্কা মাইয়ারে ভালোবাসতো
50,ছেলেটি তাঁর গ্রামের ছোটো একটি বিদ্যালয় থেকে পড়ালেখা করে এসএসসি পাশ করেছে,ফোয়াইবা তার গেরামর গুরা এক্কান বিদ্যালয় অত্তুন ফরালেহা গরি এসএসসি ফাশ গইরগে,ফুয়াাটায় তার গাউর ছুটো এখটা ইস্কুল থাকি পড়িয়া এসএসসি পাশ খরছে,হোলাগা হেতাগো গ্রামের ছোট্ট এককান স্কুলতুন হড়ালেয়া করি  এসএসসি হাস কইচ্ছে,ছেড়াটা হের গ্রামের ছোট একটা ইস্কুল থাইক্কা পড়ালেহা কইরা এসএসসি পাশ করসে,পোলাডা হ্যার গেরামের ছোডো এউক্কা ইসকুল হইতে পড়াল্যাহা কইররা মেটটিক পাশ করছে
51,তোমাদের বাসা কোথায়,তোঁয়ারার বাসা হডে,তুমার বাসা খই?,তোংগো বাসা কোনাই,তোমরার বাসা কই?,তোমাগো বাড়ি কোম্মে?
52,ঢাকা বাংলাদেশের রাজধানী,ডাহা বাংলাদেশঅর রাযদানি,ঢাকা বাংলাদেশর রাজধানী,ঢাকা বাংলাদেশ এর রাইজধানী,ঢাকা বাংলাদেশের রাজধানী।,ঢাহা বাংলাদেশের রাজধানী
53,তুমি কি আমার সাথে প্রেম করবা,তুঁই কি আঁর ফোয়ারে ফেম গরিবা নে,তুমি কিতা আমার লগে পিরিত করবায় নি?,তুই কি আর লগে হেম কইরবা,তুমি কিতা আমার সাথে প্রেম করবা?,তুমি কি মোর লগে পেরেম করবা?
54,আমি আজকে সকালে ফুটবল খেলেছি,আঁই আযিয়া বেইন্না ফুটবল কেলা হাইয়্যি,মুই আইজ বিয়ানে ফুটবল খেলাইছি,আই আইজগা সকালে ফুলবল খেইলছি,আমি আজকে সকালে ফুটবল খেলছি,মুই আইজগো বেইননা কালে ফুটবল খেলছি
55,আমি তোমার মনের কথা বুঝি না,আঁই তোয়াঁর মন অর হতা বুজি,মুই তুমার মনর খতা বুজি না,আই তোওর মনে কতা বুজি,আমি তোমার মনের কথা বুঝি না।,মুই তোমার মনের কথা বোঝতে পারি না
56,তোমার জন্য আমার খুব কষ্ট হয়,তোঁয়ার লাই আঁর কুব হস্ট অই,তুমার লাগি আমার খুব খষ্ট অয়,তোওর লাই আর মেলা কষ্ট লাগে,তোমার লাইজ্ঞা আমার মেলা কষ্ট হয়,তোমার লইজ্ঞা মোর বেমালা কষ্ট হয়
57,আমাদের স্বপ্ন অনেক বড়,আঁরার সফ্ন বউত ডঅর,আমরার সফনো বহুত বড়,আংগোর স্বপ্ফন মেলা বড্ডা,আমরার স্বপ্ন মেলা বড়,মোগো হপোন ম্যালা বড়
58,অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,আল্ফবয়স্যা ফোয়া অজ্ঞা বাইরে ফুটফাতত দুরের,অল্প বয়সর এখটা ফুয়া বারে ফুটপাতো দৌড়ার,কম বয়সি অগগা হোলা বাআরা রাস্তার অচে ফুটপাতে দৌড়ার,কম বয়স্ক একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,‍কমবয়সী এউক্কা পোলা বায়রায় ফুডপাতে দৌড়াইতেয়াছে
59,একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,ওজ্ঞা গুরা ফোয়া বিচানাতা ফালমারি উডের,এখটা ছুটো মনা বিছনাত লাফাইয়া উটের,লেদা বাইচ্চা বিছনাত লাফাই উডের,একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে
60,একটি ছেলে বিছানায় লাফাচ্ছে,ওজ্ঞা ফোয়া বিচানাত ফালার,এখটা ফুয়া বিছনাত ফালার,এগগা হোলা বিছনাত লাফাআর,একটা ছেড়া বিছানাত লাফাইতাসে,এউক্কা পোলা বিছনায় লাফাইতেয়াছে
61,একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,ওজ্ঞা ফোয়া এক বিচানাত্তুন আরেক বিচানাত ফাল মারে,এখটা ফুুয়া এক বিছনা থাকি আরোখ বিছনাত ফাল দের,অগগা হোলা এক বিছনাত তুন আরোক বিছানাত লাফ দেএর,একটা ছেড়া এক বিছানাততন আরেকটা বিছানাত লাফ দিতাসে,এউক্কা পোলা এউক্কা বিছনা গোনে আর এউক্কা বিছানায় লাপ দেতেয়াছে
62,একটি ছোট শিশু ফুটপাতে হাঁটছে,ওজ্ঞা গুরা ফোয়া ফুটফাতোত আডের,এখটা হুরু মনা ফুটপাতো আটের,লেদা বাইচ্চা ফুটপাতে আডেএর,একটা ছুটো আবু ফুটপাতে হাটতাসে,এউক্কা ছোডো গেদু ফুডপাতে হাটতেয়াছে
63,আমি একজন ছেলে,আঁই ওজ্ঞা ফোয়া,মুই এখটা ফুয়া,আই অগগা হোলা,আমি একটা ছেড়া,মুই এউক্কা পোলা
64,আমি একজন মেয়ে,আঁই ওজ্ঞা মাইফোয়া,মুই এখটা ফুড়ি,আই অগগা বইতালি,আমি একটা ছেড়ি,মুই এউক্কা মাইয়া
65,আমার স্বামী আমাকে খুব ভালোবাসে,আঁর জামাই আঁরে কুব বালবাসে,আমার জামাই আমারে খুব ভালা পায়,আর জামাই আরে অনেক ভালোবাসে,আমার জামাই আমারে মেলা ভালবাসে,মোর জামাই মোরে বেমালা ভালোবাসে
66,স্কুল জীবন থেকে তাদের প্রেম ছিলো,স্কুল যিবন অইতে তারার ফ্রেম আচিল,ইস্কুল জীবন থাকি তারার পিরিত আছিল,স্কুল জীবনতুন হেতাগো পেম আছিলো,ইস্কুল জীবনতে তারার প্রেম আসিল,ইসকুল সময় হইতে হ্যাগো পেরেম আল্লেহ
67,আমি বিবাহ করেছি দশ বছর হয়,আঁই বিয়া গইরগি দশ বচর অর,আমার বিয়ার দশ বছর অর,আই বিয়া কইচ্ছি দশ বছর অর,আমি বিয়া করসি দশ বছর হইসে,মুই বিয়া করছি ১০ বছর হইছে
68,অসম্ভব ভাল ছবি,"এব্বারে গম চবি 
",বহুত ভালা ছবি,অসম্ভব ভালা ছবি,অসম্ভব ভালা ছবি,বেমালা ভালো ছবি
69,বহুদিন পরে একটা ভাল ছবি দেখলাম,বউদ্দিন ফর এক্কান বালা চবি দেইলাম,বাক্কাদিন বাদে এখটা ভালা ছবি দেখলাম,মেলা দিন হরে এককান ভালা ছবি দেইকছি,মেলাদিন পরে একটা ভালা ছবি দেখলাম,ম্যালাদিন পরে এউক্কা ভালো ছবি দেখলাম
70,অসম্ভব ভালো লিখেছেন,বেশি গম লিকখো,বহুুত ভালা লেখছইন,অসম্ভব ভালা লেইকছে,অসম্ভব ভালা লিখসেন,বেমালা ভালো ল্যাখছেন
71,বহুদিন পরে একটা ভালো লেখা পড়লাম,বউদ্দিন বাদে এক্কান বালা লেহা ফইরলাম,বাক্কাদিন বাদে এখটা ভালা লেখা পড়লাম,বহুতদিন হরে এককান ভালো লেয়া হইড়লাম,মেলাদিন বাদে একটা ভালা লেহা পড়লাম,ম্যালাদিন পরে এউক্কা ভালো ল্যাহা পড়লাম
72,প্রচণ্ড মাথা ব্যথা করছিলো,মাতা হঁরাইলদি এএন ন,যে মাথাত বেদনা ধরছিল,প্রচন্ড মাথাব্যথা কইত্তাছিলো,বহুত মাথা ব্যথা করতাসিলো,বেমালা মাথা ব্যাথা করতেয়াছেলে
73,কিছুই বুঝতে পারলাম না,কিচুই ন বুযিলাম,কুনতা বুঝতাম ফারলাম না,কিছুই বুইঝদাম হারিনো,কিনুতাই বুঝতে পারলাম না,কিছুই বোঝতে পারলাম না
74,তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,ইবা ইয়ান দেহি বিয়ুশ অই গেইয়্যুয়,তাইন অখটা দেখিয়া গিয়ান আরাই লাইছইন,হেতন এটা দেই অজ্ঞান হই গেছে,হেয় এইডা দেইক্ষা জ্ঞান হারায়া ফালাইসে,হ্যায় এইডা দেইখ্যা গেয়ান হারাইয়া ফালাইছে
75,এক কথায় অনেক সুন্দর লাগছে আপনাকে,এক হতায় বউত সুন্দর লাগের অনেরে,এক খতায় আফনারে বাক্কা সুন্দর লাগের,এককতাত আন্নেরে অনেক সুন্দর লাগের,এক কথায় মেলা সুন্দর লাগতাসে আফনেরে,এক কথায় ম্যালা সুন্দর লাগতেয়াছে আমনেরে
76,আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর,আফনার ছবি থাকি আফনে বাস্তবে অনেখ বেশি সুন্দর,আন্নের ছবির তুন বাস্তবে আন্নে বেশি সুন্দর,আফনের ছবিরতন আফনে বাস্তবে বেশি সুন্দর,আমনের ছবির চাইতে আমনে বাস্তবে বেমালা সুন্দর
77,আপনার হাশির কাছে সব কিছু হার মেনে যায়,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই,আফনার হাসির কাছে সব কিছু হার মানি যায়,আন্নের হাসির কাছে বেক কিছু হার মানি যায়,আফনের হাসির কাসে বেক কিসু হার মানে,আমনের হাসির সামনে বেবাক কিছু হার মাইন্না যায়
78,আপনার চোখ অনেক সুন্দর,অনর চোক বউত সুন্দর,আফনার চউক অনেখ সুন্দর,আন্নের চোকগুন অনেক সোন্দর,আফনের চোখ মেলা সুন্দর,আমনের চউখ বেমালা সুন্দর
79,আপনার সাথে পরিচিত হয়ে ভালো লাগলো,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে,আফনার লগেে পরিচিত অইয়া ভালা লাগলো,আন্নের লগে পরিচয় অই ভালা লাইগছে,আফনের লগে পরিচিত হয়া ভালা লাগলো,আমনের লগে পরিচিত হইয়া ভালো লাগছে
80,অনেক সময় পর আপনাকে দেখছি,বউত দিন ফর অন অরে দেহির,বাক্কা সময় পর আফনারে দেখলাম,মেলাদিন হরে আন্নেরে দেইকলাম,মেলা সময় বাদে আফনেরে দেখতাসি,ম্যালাদিন পর আমনেরে দেখলাম
