Standard_Bangla,dialect_speech,English_translation
আমি খুব অসহায় বোধ করছি,আমি বাক্কা অসহায় বোধ কোরিয়ার,I feel so helpless
খুব অসহায় বোধ করছি,বাক্কা অসহায় বোধ কোরিয়ার,I feel very helpless
অসহায় বোধ করছি,অসহায় বোধ কোরিয়ার,I feel helpless
আমি সত্যি খুব অসহায়,আমি হাচাউ বাক্কা অসহায় ,I am really very helpless
ভিডিও বানানোর কি দরকার ছিল?,ভিডিও বনানীর কিতা দরকার আছিল?,What was the need to make the video?
বানানোর কি দরকার ছিল?,বনানীর কিতা দরকার আছিল?,What was the need to make?
আমাকে ডাক,মোরে বোলা,Call me
সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,সিলেট থাকি আমার লগে দেখা করাত আইছিল,He came to meet me from Sylhet
আমার সাথে দেখা করতে এসেছিল,আমার লগে দেখা করাত আইছিল,Came to meet me
দেখা করতে এসেছিল,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,Came to meet
সিলেট থেকে ঢাকায় এসেছে,সিলেট থাকি ঢাকাত আইছে,Came from Sylhet to Dhaka
স্পর্শ করবেন না,ছইবায় না ,Do not touch
হয়ে গিয়েছি,হই গেছি,I have become
আসল কথায় আসা,মূল কথাত আও,Coming to the point
আমি ভাত খাবো না রাগ করছি ,আমি ভাত খাইতাম নায় ঘুষা করছি ,I will not eat rice because I am angry
আপনি আমাকে ছেড়ে চলে যাবেন,আফনে আমারে ছাড়িয়া চইলা যাবা,You will leave me
বিয়ে হয় অনেক বছর আগে,বিয়া হইছিল বাক্কা বছর আগে,The marriage was many years ago.
যাওয়ার কথা নেই,যাওনারে মাথ নাই,There is no reason for going.
চিন্তা করছি কিছু একটা করবো,চিন্তা করতাছি কিচ্ছু একটা করমু,I'll think and do something.
সেটি ভাল হবে তোর জন্য,ইটা ভালা অইবো তল্লাইজ্ঞা,It will be good for you
বাড়িতে আসার সময় হয়ে গেছে,বাইত আওনের সময় হই গেছে,It's time to come home
সে খাওয়া থেমে বলল,সে খাওন থামাইয়া কইলো,He stopped eating and said
খাবার খেতে গেল,খাওন খাইতে গেছিল,Went to eat
কথা না বলে খাওয়াতে মনযোগ দেয়,মাথ না মাতিয়া খাওনও মন দে,He concentrates on feeding without talking
খাওয়া শেষ করে তখন তার দিকে গেল,খাওয়ন শেষ কইরা তার দিক্কা গেল,"After finishing eating, he went towards her."
দেখে চোখ গেল,দেইক্ষা ছোক গেছিল,His eyes were drawn upon seeing it.
সুন্দর কিছু হতে পারে,হুন্দর কিচ্ছু হইতা পারে,It might be something beautiful.
বিয়ে করেছে আমার ছোট ভাই,আমার ছোডভাই বিয়া করি লাইসে,My younger brother has gotten married.
মাথায় বুদ্ধি হয় না,মাথাত ঘিলু নাই,I can’t come up with any ideas.
ডিম দেওয়া বন্ধ করে দেয়,ডিম দেওয়ন বন্ধ করি লইছে,Stopped laying eggs.
সবাইকে বলা হয়েছে,হগলরে কইছি,Everyone has been informed.
বলা হয়েছে,কইছি,It has been said.
আপনার এটা করা লাগবে,আমার ইতা করন লাগব,You need to do this.
করা লাগবে,করন লাগব,It needs to be done.
চলে আসবি,আইয়ুস,I will come
"আমি তাকে বললাম, এটা করোনা",আমি তারে কইলাম ইতা কইরো না,"I told him, don't do this."
আমি তাকে বললাম,আমি তারে কইলাম ,I told him.
এটা করোনা,ওটা করিও না ,Don't do this.
কি দরকার ছিল?,কিতা দরকার আছিল?,What was the need?
দরকার ছিল?,দরকার আছিল?,Was there a need?
বানানোর কি দরকার,বনানীর কিতা দরকার ?,What’s the need to make it?
এমন করতেছে কেন বসে বসে?,ইতা করের কিতার লাগি বিয়া বইয়া?,Why is he just sitting there doing this?
কেন বসে বসে?,কিতার লাগি বিয়া বইয়া?,Why are you just sitting there?
এমন করতেছে,ইতা করের ,Doing this like that.
এ কি করে সম্ভব?,ইগু কিলা ওই ,How is this possible?
কি করে সম্ভব?,ইগু কিলা ওই ,How is it possible?
তুমি এত ঘুমাও কেন?,তুমিতাইন ওর অত ঘুম আয় কিওর লাগি,Why do you sleep so much?
তুমি ঘুমাও কেন?,তুমিতাইন ওর ঘুম আয় কিওর লাগি,Why do you sleep?
ঘুমাও কেন?,ঘুম আয় কিওর লাগি,Why are you sleeping?
এত ঘুমাও কেন?,অত ঘুম আয় কিওর লাগি,Why do you sleep so much?
তুমি ঘুমাও,তুমিতাইন ঘুম আয় ,You sleep.
তোমার কাজ নেই?,তোমার কাজ-খাম নাই ,Don’t you have any work?
কথা ঠিক আছে ?,মাথ ঠিক আছেনি,Is the statement correct?
কান টান লাল করে ফেলবো আমি তোর,কান লাল করিয়া পালাইমু তর ,I’ll pull your ear and make it red.
আমি কষ্টে আছি,আমি সমস্যায় আছি,I am in pain.
কষ্টে আছি,সমস্যায় আছি,I’m in pain.
 তোমার সাথে আমার জরুরি কথা আছে,তুমিতাইন ওর লগে আমার জরুরি মাত আছে,I have something urgent to discuss with you.
 তোমার সাথে আমার কথা আছে,তুমিতাইন ওর লগে আমার মাত আছে,I have something to discuss with you.
আমার জরুরি কথা আছে,আমার জরুরি মাত আছে,I have something urgent to say.
জরুরি কথা আছে,জরুরি মাত আছে,There’s something urgent.
কথা আছে,মাত আছে,I have something to say.
আমার সকালে উঠেই চা খাওয়ার অভ্যাস,আমার সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,I have a habit of drinking tea right after waking up in the morning.
সকালে উঠেই চা খাওয়ার অভ্যাস,সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,The habit of drinking tea right after waking up in the morning.
চা খাওয়ার অভ্যাস,চা খাওয়ায় অভ্যাস,The habit of drinking tea.
তুমি দুপুরে কি খেয়েছ?,তুমিতাইন দুপুরবেলাত কিতা খাইলায়?,What did you eat for lunch?
দুপুরে কি খেয়েছ?,দুপুরবেলাত কিতা খাইলায়?,What did you eat for lunch?
তুমি কি রাতের বেলা বাইরে বের হবে?,তুমিতাইন কিতা রাত্রে বারইবায় নি?,Will you go out at night?
রাতের বেলা বাইরে বের হবে?,রাত্রে বারইবায় নি?,Will you go out at night?
বাইরে বের হবে?,বারইবায় নি?,Will you go out?
তুমি কি বাইরে বের হবে?,তুমিতাইন কিতা বারইবায় নি?,Will you go out?
বের হবে?,ইবায় নি?,Go out?
আপনার সাথে কথা বলতে আমার অনেক ভালো লাগে,আফনার লগে মাত্তে বাক্কা ভালা লাগে আমার,I really enjoy talking to you.
কথা বলতে আমার অনেক ভালো লাগে,মাত্তে বাক্কা ভালা লাগে আমার,I really enjoy talking.
আমার অনেক ভালো লাগে,ভালা লাগে আমার,I really enjoy it.
রঙ করতে পারবি নাকি রে,রং করাইতে পারবে নি রে ,Can you do the coloring?
কাজ করতাম কিভাবে?,কাজ করতাম কিলাখান ,How did I work?
আমি অনেক কষ্টে আছি,আমি বাউট সমস্যায় আছি,I am in a lot of pain.
কথা বলতে ভালো লাগে,মাত্তে বাক্কা ভালা লাগে,I enjoy talking.
কথা ভালো লাগে,বাক্কা ভালা লাগে,I like the conversation.
আপনার সাথে কথা,আফনার লগে মাত্তে বাক্কা ,Talking with you.
খেলবি নাকি আমার মেয়ের সাথে,খেলবে নি আমার পুড়ির লগে ,Will you play with my daughter?
আমার এখন তোমাকে ভাল লাগে,আমার ওখন তোমারে ভালা লাগে ,I like you now.
আমার কথা বুঝিস তুই?,আমরার মাত বুঝরে তুই ,Do you understand what I’m saying?
কসম আমার গায়ে জ্বর,হাছারে বা আমার গাও জ্বর,I swear I have a fever.
তোমাকে আমরা দেখে নেবো,তোমরারে আমরা দেইখা নিমু ,We will deal with you.
তুমি দুপুরে কি দিয়ে ভাত খেয়েছ?,তুমিতাইন দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,What did you eat with rice for lunch?
দুপুরে কি দিয়ে ভাত খেয়েছ?,দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,What did you eat with rice for lunch?
দুপুরে কি খেয়েছ?,দুপুরবেলাত কিতা খাইলায়?,What did you eat for lunch?
কি দিয়ে ভাত,কিতা দিয়া ভাত ?,With what did you have rice?
সব থেকে কাছের মানুষ,সব তাকি কাছ ওর মানুষ,The closest person.
অনেক ভালো লাগে,বাক্কা ভালা লাগে,Like it a lot.
ভালো লাগে,ভালা লাগে,Like it.
কথা বলতে অনেক ভালো লাগে,মাত্তে বাক্কা ভালা লাগে ,I really enjoy talking.
আমি তোমাকে ডাকব না,আমি তুমারে চাল্ল দিতাম নায়,I won’t call you.
তোমাকে ডাকব না,তুমারে চাল্ল দিতাম নায়,I won’t call you.
আমি তোমাকে ডাকব,আমি তুমারে চাল্ল দিতাম ,I will call you.
তোমাকে ডাকব,তুমারে চাল্ল দিতাম ,I will call you.
ডাকব না,চাল্ল নায়,Won’t call.
তোমার এত ঘুম আসে কেন?,তুমিতাইন অত ঘুমাও কিতার লাগি?,Why do you feel so sleepy?
তোমার ঘুম আসে কেন?,তুমিতাইন ঘুমাও কিতার লাগি?,Why do you feel sleepy?
এত ঘুম আসে কেন?,অত ঘুমাও কিতার লাগি?,Why do you feel so sleepy?
ঘুম আসে কেন?,ঘুমাও কিতার লাগি?,Why do you feel sleepy?
তোমার এত ঘুম কেন?,তুমিতাইন অত ঘুমাও কিতার লাগি?,Why are you so sleepy?
ছেলেটি সাদা রঙের একটি শার্ট পরে এসেছিল,ফুয়াটায় এখটা সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,The boy came wearing a white shirt.
সে এখন রাজশাহী চলে গেছে,হে এখন রাজশাহীত গেছে গিয়া,He has now gone to Rajshahi.
সে একদমই হাসে না,হে এখেবারেও হাসে না,He doesn’t laugh at all.
সে হাসে না,হে হাসে না,He doesn’t laugh.
সে হাসে ,হে হাসে,He laughs.
হাসে না,হাসে না,Doesn’t laugh.
একদমই হাসে না,এখেবারেও ,Doesn’t laugh at all.
সে রাজশাহী চলে গেছে,হে রাজশাহীত গেছে গিয়া,He has gone to Rajshahi.
রাজশাহী চলে গেছে,রাজশাহীত গেছে গিয়া,Has gone to Rajshahi.
চলে গেছে,গেছে গিয়া,Has gone.
সে এখন রাজশাহী ,হে এখন রাজশাহীত ,He is now in Rajshahi.
আপনার সব থেকে কাছের মানুষটি কে?,আফনার সব তাকি কাছ ওর মানুষ কে?,Who is your closest person?
আপনার কাছের মানুষটি কে?,আফনার কাছ ওর মানুষ কে?,Who is your close person?
কাছের মানুষটি কে?,কাছ ওর মানুষ কে?,Who is the close person?
মানুষটি কে?,মানুষ কে?,Who is the person?
ঢাকায় এসেছে,ঢাকাত আইছে,Has come to Dhaka.
ছেলেটি ঢাকায় এসেছে,ফুয়াটায় ঢাকাত আইছে,The boy has come to Dhaka.
সিলেট থেকে ঢাকায় ,ফুয়াটায় ঢাকাত আইছে,From Sylhet to Dhaka.
সাদা রঙের একটি শার্ট পরে এসেছিল,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Came wearing a white shirt.
সাদা রঙের একটি শার্ট , এখটা সাদা রঙ্গের শার্ট ,A white shirt.
সাদা রঙের শার্ট পরে এসেছিল,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,Came wearing a white shirt.
সাদা রঙের শার্ট,সাদা রঙ্গের শার্ট ,White shirt.
শার্ট পরে এসেছিল,শার্ট পিন্দিয়া আইছিল,Came wearing a shirt.
পরে এসেছিল,পিন্দিয়া আইছিল,Came wearing.
আমার অনেক খারাপ লাগছে,আমার বউত খারাপ লাগের,I feel very bad.
আমার খারাপ লাগছে,আমার খারাপ লাগের,I feel bad.
অনেক খারাপ লাগছে,বউত খারাপ লাগের,Feeling very bad.
খারাপ লাগছে,খারাপ লাগের,Feeling bad.
তুমি কোন স্কুলে পড়,তুমি কোন স্কুলো পড়ো ,Which school do you study in?
কোন স্কুলে পড়,কোন স্কুলো পড়ো,Which school do you study?
আমাদের বাড়ি চাঁদপুর,আমরার বাড়ি চাঁদপুর ,Our home is in Chandpur.
আমাদের বাড়ি যশোর ,আমরার বাড়ি যশোর ,Our home is in Jessore.
তুমি কোথায় যাও,তুমি কই যাও ,Where are you going?
কোথায় যাও,কই যাও,Where are you going?
তার বই পর্তে এক্দমি ভাল লাগে না,তার বই পর্তে এক্দম অউ ভালা লাগে না,He doesn’t like studying at all.
তোমার কি পড়াশুনা একদমই ভালো লাগে না?,আফ্নার কিতা পরালেখা কর্তে এখদম ভালা লাগে নানি?,Do you not like studying at all?
পড়াশুনা একদমই ভালো লাগে না?,পরালেখা কর্তে এখদম ভালা লাগে নানি?,Don’t like studying at all?
তোমার কি পড়াশুনা ভালো লাগে না?,আফ্নার কিতা পরালেখা ভালা লাগে নানি?,Don’t you like studying?
তোমার কি পড়াশুনা ভালো লাগে ?,আফ্নার কিতা পরালেখা ভালা লাগে?,Do you like studying?
ভালো লাগে না?,ভালা লাগে নানি?,Don’t like?
আমি কাজে যেতে চাই,আমি কামো যাইতাম চায়,I want to go to work.
কাজে যেতে চাই না,কামো যাইতাম চায়না,Don’t want to go to work.
যেতে চাই না,যাইতাম চায়না,Don’t want to go.
চাই না, চায়না,Don’t want.
কাজে যেতে চাই,কামো যাইতাম চায়,Want to go to work.
যেতে চাই,যাইতাম চায়,Want to go.
আপনি  এই কলম টি নিন,আফনে ওউ কলম ওগু লৌকা,Take this pen.
এই কলম টি নিন,ওউ কলম ওগু লৌকা,Take this pen.
কলম টি নিন,কলম ওগু লৌকা,Take the pen.
আপনি কলম টি নিন,আফনে কলম ওগু লৌকা,Take the pen.
তুমি যাবে,তুমি যাইবায়,Will you go?
"বাচ্চা কাঁদছে, খাবার খাওয়াও","ফুরুত্তা কান্দের, খানি খাওয়াও ","The baby is crying, feed him."
নিজের থাকার জায়গা নেই আবার আরেকজনের ভরণপোষণের দায়িত্ব নিয়েছে,নিজর থাখার জাগা নাই আবার আরকজনরে ফালার দায়িত্ব নিসে,"Has no place of his own, yet took responsibility for someone else."
আমাকে সত্যি কথা বলুন,আমারে হাছা কথা কৌকা,Tell me the truth.
সত্যি কথা বলুন,হাছা কথা কৌকা,Tell the truth.
কথা বলুন,কথা কৌকা,Speak.
আমাকে সত্যি বলুন,আমারে হাছা কৌকা,Tell me the truth.
সত্যি বলুন,হাছা কৌকা,Tell the truth.
বাচ্চা কাঁদছে,ফুরুত্তা কান্দের,The baby is crying.
খাবার খাওয়াও,খানি খাওয়াও,Feed him.
তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও ,তুমিতাইন ঘুম তনে জলদি উঠি যাইও ,You get up early in the morning.
ঘুম থেকে তাড়াতাড়ি উঠে যাও ,ঘুম তনে জলদি উঠি যাইও ,Get up early in the morning.
তাড়াতাড়ি উঠে যাও ,জলদি উঠি যাইও ,Get up early.
উঠে যাও ,উঠি যাইও ,Get up.
তুমি তাড়াতাড়ি উঠে যাও ,তুমিতাইন জলদি উঠি যাইও ,You get up early.
আমি সকালে নাস্তা করে স্কুলে যাই ,আমি সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,I have breakfast and go to school in the morning.
সকালে নাস্তা করে স্কুলে যাই ,সোকাইলকু নাস্তা খাইয়া বাদে স্কুল ও যাই ,I have breakfast and go to school in the morning.
নাস্তা করে স্কুলে যাই ,নাস্তা খাইয়া বাদে স্কুল ও যাই ,Have breakfast and go to school.
স্কুলে যাই ,স্কুল ও যাই ,Go to school.
আমি নাস্তা করে স্কুলে যাই ,আমি নাস্তা খাইয়া বাদে স্কুল ও যাই ,I have breakfast and go to school.
আমার সকালে কিছু খেতে ভালো লাগে না,আমার সকালকু কুন্টা খাইতে ভালা লাগে না,I don’t feel like eating anything in the morning.
সকালে কিছু খেতে ভালো লাগে না,সকালকু কুন্টা খাইতে ভালা লাগে না,I don’t feel like eating anything in the morning.
কিছু খেতে ভালো লাগে না,কুন্টা খাইতে ভালা লাগে না,Don’t feel like eating anything.
খেতে ভালো লাগে না,খাইতে ভালা লাগে না,Don’t feel like eating.
ভালো লাগে না,ভালা লাগে না,Don’t feel like it.
লাগে না,লাগে না,Don’t like it.
আমার কিছু খেতে ভালো লাগে না,আমার কুন্টা খাইতে ভালা লাগে ,I don’t feel like eating anything.
আমার খেতে ভালো লাগে না,আমার কুন্টা খাইতে ভালা লাগে ,I don’t feel like eating.
আমার কিছু ভালো লাগে না,আমার কুন্টা ভালা লাগে ,I don’t like anything.
আমার ভালো লাগে না,আমার খাইতে ভালা লাগে ,I don’t like it.
আমার সকালে কিছু খেতে ভালো লাগে ,আমার সকালকু কুন্টা খাইতে ভালা লাগে,I feel like eating something in the morning.
সকালে কিছু খেতে ভালো লাগে,সকালকু কুন্টা খাইতে ভালা লাগে ,I feel like eating something in the morning.
কিছু খেতে ভালো লাগে ,কুন্টা খাইতে ভালা লাগে ,Feel like eating something.
খেতে ভালো লাগে ,খাইতে ভালা লাগে ,Feel like eating.
ভালো লাগে ,ভালা লাগে ,Like it.
আমার কিছু খেতে ভালো লাগে ,আমার কুন্টা খাইতে ভালা লাগে ,I feel like eating something.
আমার খেতে ভালো লাগে ,আমার কুন্টা খাইতে ভালা লাগে,I feel like eating.
আমার কিছু ভালো লাগে ,আমার কুন্টা ভালা লাগে ,I like something.
আমার ভালো লাগে ,আমার খাইতে ভালা লাগে ,I like it.
আমরা হেরে গেছি,আমরা হারি গেছি,We lost.
আমি ভাল আছি,আমি ভালা আছি,I am fine.
ভাল আছি,ভালা আছি,Fine.
আমি ভাল নাই,আমি ভালা নাই,I am not fine.
তুমি কেমন আছ?,তুমি কিলাখান আছ,How are you?
ভাল লাগছে না,ভালা লাগের না,Not feeling good.
আমার ভাল লাগছে না,আমার ভালা লাগের না,I am not feeling good.
আমি ক্রিকেট খেলব,আমি ক্রিকেট খেলমু,I will play cricket.
ক্রিকেট খেলব,ক্রিকেট খেলুম ,Will play cricket.
তুমি কোথায়?,তুমি কই ,Where are you?
একটি বিড়াল দরজার সামনে বসে আছে,একগু বিলাই দরজার ধারো বৈ রিছে ,A cat is sitting in front of the door.
বিড়াল দরজার সামনে বসে আছে,বিলাই দরজার ধারো বৈ রিছে ,The cat is sitting in front of the door.
দরজার সামনে বসে আছে,দরজার ধারো বৈ রিছে ,Sitting in front of the door.
সামনে বসে আছে,ধারো বৈ রিছে ,Sitting in front.
বসে আছে,বৈ রিছে ,Sitting.
আমি কাজে যেতে চাই না,আমি কামো যাইতাম চায়না,I don’t want to go to work.
তুমি কোথা থেকে আসছ?,তুমি কই থাকি আইছো ,Where are you coming from?
কোথা থেকে আসছ?,কই থাকি আইছো ,Where are you coming from?
তুমি কোথায় থাক?,তুমি কই থাকো ,Where do you live?
কোথায় থাক?,কই থাক ,Where do you live?
আমি ভালো নাই,আমি ভালা নাই ,I am not well.
আপনি কেমন আছেন?,আফনে কিলাখান আছইন ,How are you?
তুমি কেমন আছো,তুমি কিলাখান আছো,How are you?
কোথাও যাও,কোনাখানো যাও ,Go somewhere.
তুমি কোথায় থেকে আসছো?,তুমি কই থাকি আইছো,Where are you coming from?
কোথায় থেকে আসছো?,কই থাকি আইছো ,Where are you coming from?
তুমি কি করো?,তুমি কিতা করো?,What do you do?
কেনো বলতেছেন?,কিতার লাগি কইরায় ,Why are you saying that?
কি করো?,কিতা করো ,What do you do?
আমার মন ভালো নেই,আমার মন ভালা নাই ,My mind is not well.
মন ভালো নেই,মন ভালা নাই ,Not feeling well.
আপনাদের বাড়ি কোথায়,আফনারার বাড়ি কই ,Where is your home?
আমি স্কুলে যাই না,আমি স্কুলো যাইতাম না,I don’t go to school.
আমি যাবো না,আমি যাইতাম না,I won’t go.
আমি স্কুলে যাই নি,আমি স্কুলো গেছি না ,I didn’t go to school.
তোমাকে এইখান থেকে যেতে বলেছি ,তোমারে ওখান থাকি যাইতে কইছি,I told you to leave from here.
এইখান থেকে যেতে বলেছি,ওখান থাকি যাইতে কইছি,Told to leave from here.
তুমি কি কাজ করো?,তুমি কিতা কাজ করো ?,What do you do?
 কি কাজ করো?,কিতা কাজ করো ?,What do you do?
কাজ করো?,কাজ করো?,Do you work?
কথা কম বলো?,মাত থোরা কইন?,Talk less?
এই কাজটা করো?,এই কাজটা করো?,Do this work?
কাজটা করো,কাজটা করো,Do the work.
সকালবেলা কাজ করো,বিয়ানবালা কাজ করো,Do work in the morning.
সন্ধ্যা কাজ করো,হাইঞ্জাবালা কাজ করো,Work in the evening.
এক গালে একটা থাপ্পর লাগিয়ে দিব ,এক গালো একটা ছড় লাগাইয়া দিমু,I will slap you on one cheek.
একটা থাপ্পর লাগিয়ে দিব ,একটা ছড় লাগাইয়া দিমু ,I will slap you.
আমি ভাত খাব,আমি ভাত খাইতাম ,I will eat rice.
ভাত খাব,ভাত খাইতাম ,Will eat rice.
আমার কাজ আছে,আমার কাম আছে ,I have work.
কাজ আছে,কাম আছে ,Have work.
আমরা যাইব,আমরা যাইমু ,We will go.
তোমার নাম কী?,তোমার নাম কিতা ,What is your name?
আমার নাম নয়ন।,আমার নাম নয়ন।,My name is Noyon.
আমি তোমাকে ভালবাসি,আমি তোমারে ভালাপাই ,I love you.
তোমাকে ভালবাসি,তোমারে ভালাপাই ,Love you.
তুমি কোথায় যাচ্ছ?,তুমি কই যাইরায়,Where are you going?
কোথায় যাচ্ছ?,কই যাইরায়,Where are you going?
কি আনব,কিতা আনতাম ,What should I bring?
"বাচ্চা কাঁদছে, খাবার খাওয়াও","ফুরুত্তা কান্দের, খানি খাওয়াও ","The baby is crying, feed him."
আমি খাই,আমি খাই,I eat.
আমি খেলি,আমি খেলি,I play.
আমি খাব,আমি খাইমু ,I will eat.
আমি পড়ি ,আমি পড়রাম ,I study.
আমি পড়বো ,আমি পড়মু ,I will study.
আমি স্কুলে যাব,আমি স্কুলো যাইমু ,I will go to school.
স্কুলে যাব,স্কুলো যাইমু ,Will go to school.
আমি ভাত খাবো না,আমি ভাত খাইতাম না ,I won’t eat rice.
খাবো না,খাইতাম না ,Won’t eat.
তুমি কি করো,তুমি কিতা করো,What do you do?
কি করো,কিতা করো ,What do you do?
আমি খেলা করি,আমি খেলা কররাম ,I play games.
খেলা করি,খেলা কররাম ,Play games.
তুমি ভাত খেয়েছো ,তুমি ভাত খাইছো ,Did you eat rice?
কি খবর তোমার,কিতা খবর তোমার ,How are you?
কি খবর,কিতা খবর ,What’s up?
তোমাদের বাড়ি কোথায় ,তোমরার বাড়ি কই ,Where is your home?
বাড়ি কোথায় ,বাড়ি কই ,Where is home?
কি করো সবাই,কিতা করো হ্ক্কলে ,What is everyone doing?
কি করো,কিতা করো,What do you do?
আমি রিক্সা করে আসবো ,আমি রিক্সা দিয়া আইমু,I will come by rickshaw.
রিক্সা করে আসবো ,রিক্সা দিয়া আইমু ,Will come by rickshaw.
আমার নাম আরিফ,আমার নাম আরিফ,My name is Arif.
তুমি কি কর,তুমি কিতা কর,What do you do?
কি কর,কিতা কর,What do you do?
তোমার বয়স কত,তোমার বয়স কত ,How old are you?
না ভাল নাই,না ভালা নাই,Not good.
আমি রাগ করেছি,আমি ঘুষা করছি ,I am angry.
আমি তোমার সাথে পরে কথা বলব,আমি তোমার লগে পরে কথা কইমু,I will talk to you later.
এই বাড়িটা আমাদের,ওউ বাড়ি আমরার ,This house is ours.
সুন্দর ভাবে বস,সুন্দর করিয়া বও ,Sit nicely.
আমাদের বাড়িতে কেউ আসে নাই,আমরা বাড়িত কেউ আইছে না ,No one came to our house.
কী করছেন,কিতা কররায়,What are you doing?
ভাই/ভাইয়া কী করছেন?,ভাই কিতা কররায়,"Brother, what are you doing?"
করতে পারতেছি না অনেক জর,করতাম পাররাম না বহুত জ্বর ,"Can’t do it, high fever."
আপেল আমার  পছন্দ,আপেল আমার পছন্দ ,I like apples.
আঙ্গুর  আমার  পছন্দ,আঙ্গুর আমার পছন্দ ,I like grapes.
সে অনেক খায় ,হে অনেক খায়,He eats a lot.
আমি কি করলাম?,আমি কিতা করছি ,What did I do?
আজকে বাহিরে যাব,আজকে বাইরে যাইমু,Will go out today.
আজকে বাহিরে যাব না,আজকে বাইরে যাইতাম নায়,Won’t go out today.
আমাকে সত্যি কথা বলুন,আমারে হাছা কথা কৌকা,Tell me the truth.
সত্যি কথা বলুন,হাছা কথা কৌকা,Tell the truth.
কথা বলুন,কথা কৌকা,Speak.
আমাকে সত্যি বলুন,আমারে হাছা কৌকা,Tell me the truth.
সত্যি বলুন,হাছা কৌকা,Tell the truth.
তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও ,তুমিতাইন ঘুম তনে জলদি উঠি যাইও ,You wake up early.
