Standard_Bangla,dialect_speech,English_translation
এই খানকির পোলা খেলা পারে নাহ। মাদারচোদ আবার টাকা বাড়াতে কয় শালা। সাকিব তামিম মুশফিক কাউরে আর দেখতে চাই নাহ।,এই খানকিরহুত খেলা পারে না। মাদারচোদ আবার টেঁয়া বাড়াইতো কয় হালা। সাকিব্বা তামিম্মা মুসফিক্কা কেউরে আর দেখতাম চাই না।,
এই খানকির পোলা রুবেল কই গান গাইছে শুনা মাগির বাচ্চা তর মায়রে তুর বাপের কান্দে ফালাই চুদি ভোদার পোলা....next time no sorry mind it,"এই খানকিরহুত রুবেইল্লা কই গান গাইছে, হুন মাগিরহুত তোর মারে তোর বাপের কাঁন্দে হালাই চুদি হেডালিরহুত। ",
এই খানকির পোলারে মাশরাফির অনুরোধে দলে নিছে আমার বাল ফালাইছে।।,"এই খানকির হুতেরে মাশরাফির অনুরোধে দলে লইসে, হেতে আঁর বাল হালাইসে।",
এই দোষ এত দিন কোথায় ছিল।পাপন হালার পোলা। আজ কেন এই কোথা উঠবে।পাপন সালা মানুষ এর চোদা না।।,"এই দোষ এতদিন কোনাই আসিলো, পাপইন্না হালারহুত । আইজ্জা কিল্লে এই কতা উঠসে। পাপইন্না হালা মানুষের চোদা না।",
এই বুড়া জাহিল জঙ্গী জানোয়ার কে সাক্ষাতকার নিল।সাংবাদিকদের খাইয়া কোন কাজ নাই। বেকার কি করব।,এই বুইড়া জাহিল জঙ্গি জানোয়ারের সাক্ষাৎকার লইসে। সাংবাদিক গোর খাই দাই কোনো কাম-কাইজ নাই। বেকার কি কইরবো।,
এই ময়ে একটা মাগি মেয়েরার কারন দেশের এই অবেছতা এই দরনের মেয়েরার প্রাসি ছাই নাসিরের কুনু দুস নাই সব মেয়ের দুস নাসিরকে দলে ছাই,"এই মাইয়া ইয়া  ইগ্গা মাগী। এই মাইয়ার কারণে দেশের এই অবস্থা। এই ধরনের মাইয়ার ফাঁসি চাই। নাসিরের কোনো দোষ নাই, বেক এই মাইয়ার দোষ। নাসিরেরে দলে চাই।",
এই মাগি ত বিয়ে করছে,এই মাগী তো বিয়া কইচ্ছে ।,
এই শালা একটা গ্রেট বানঞ্চুদ,এই হালা ইগ্গা গ্রেট বাইনচোদ।,
এই শালার পো শালা তোর কি না খাইয়া কাম নাই,এই হালারহুত হালা তোর কি খাই দাই কম নাই ?,
এই সমস্ত বান্দির পোলা দের জন্য খেলোয়াড়দের ইমেজ নষ্ট হয়,এই সমস্ত বান্দির হুতেরগো লাই খেলোয়াড় গো ইমেজ খারাপ ওয়।,
"এই সাব্বির, তোকে কি ছোট থাকতে মানুষের পোন্দাইছে ?? তুই তো একটা খাসা মাল তোরে তো পোন্দানো যায়। তোর পুটকিমারতে তো মেয়েদের চেয়ে আরো বেশি মজা লাগবে আমার।","এই সাব্বিররা, তোরে কি ছোট থাইকতে মানুষে হোন্দাইসে? তুই তো একটা খাসা মাল তোরে তো হোন্দানো যায়। তোর ফুটকি মাইরতে তো মাইয়াগো তুন আরো বেশি মজা।",
এই সালা <br /> জুতা মারো,"এই হালা, জোতা মারো।",
একটা লাইক মানে পাপনের গালে একটা করে জুতার বাড়ি ���,ইগ্গা লাইক মানে পাপইন্নার গালে ইগ্গা করি জুতার বাই।,
এখনো সময় আছে পাপন খানকির পড়ে ক্রিকেট বোর্ড থেকে সরিয়ে ফেলা হোক,অনো সময় আসে পাপইন্না খানকিরহুতেরে ক্রিকেট বোর্ডের তুন সরাই হালন।,
এবার ঠেলা সামলা পাপন সাহেব শালা তুই সব লুটেপুটে খাচ্ছে তাহলে কইয়া দিমু,"অন ঠেলা সামলা পাপন সাব। হালা তুই বেক লুডি খাওরি, তাইলে কই দিমু।",
এর জন্য দায়ি শেই পাপনতার ওইনইতিক রাজনিতির কারনেআজ সাকিবের এই হাল। পাপনের দুই গালে জুতা মার তালে তালে,"এটারলাই দাই হেতে নিজেই, পাপইন্না অনৈতিক রাজনীতির কারণে আইজ সাকিবের এই অবস্তা। পাপইন্নার দুই গালে জুতা মারো তালে তালে।",
এর মারে আর এর বেনেরে সবাই মিলি চোদেন জাতে এই মাগির পোলা ভাল ভাল নিউচ করে খান কি মাগির পোলা ভাল হয়ে জা,এতের মারে আর এতের বইনেরে বেকে মিলি হোন্দেন যাতে এই মাগিরহুত বালা বালা নিউজ করে। খানকিরহুত বালা ওই যা।,
এসব আচোদা হুজুরেরা আমাদের ধর্ম ইসলাম কে হাইজ্যাক করছে,এইসব আসোদা হুজুরেরা আঙ্গো ধর্ম ইসলাম এরে হাইজ্যাক কইচ্ছে ।,
ওই শালা ওই শালা বাইনচোদ তোর কি কুত্তা দিয়ে জন্মদিনে যারা বানায় মানুষের মরা লাশ,"ওই হালা ওই হালা বাইনচোদ তোরে কি কুত্তা দিয়া জন্ম দিসে, যেগুন বানায় মাইনষের মরা লাশ।",
"ওর ধন কেটে দিয়ে,খেলাতে দেওয়া দরকার।তানাহলে আবার মাগিগো নিয়া আবার মাগি খেলা করবে।",হেতের সোনা কাডি খেলাতে দি দন। তা নইলে আবার মাগী গোরে লই আবার মাগী খেলা খেলবো।,
ওরা জন মিলে তাসকিনের থাপ্রাইলে ভিডিওটি আরো ভাল হত।আবালের দলগুলো।,এগুন কয়জন মিলি তাসকিন্নারে সোবাইলে ভিডিওগা আরো বালা ওইতো। আবাইল্লার দল।,
ওরে এভাবে অত্যাচার করার অধিকার কে দিয়েছে আমার কাছে তুই আয় তোর নেতামি তোর হুগার মদ্ধে ধুকাবো সালারপুত ��,"হেতেরে এইভাবে অত্যাচার করার অধিকার কনে দিসে? আঁর কাছে আয় তুই, তোর নেতাগিরি তোর হোন্দের বিত্তে ঢুকাই দিমু হালারহুত।",
কথা একটাই এই আবাল পাপন রে ক্রিকেট থেকে আগে সরাতে হবেকারন এই খবর ও কোথায় থেকে শুনেছে সেটা বের করলেই সে ধরা,"কতা ইগ্গাই এই আবাল পাপইন্নারে ক্রিকেট তুন আগে সরাইতে অইবো কারণ এই খবর হেতে কোনান তুন হুইনছে, হেটা বার করলেই হেতে ধরা।",
কাংকির পোলার দরকার নেই,খানকীরহুতের দরকার নাই।,
কাংখির ফোলার রাস্তায় জন্ম হয়সে,খানকীরহুতের রোডে জন্ম ওইসে।,
কালা পাঠা তুই একটা মেয়েৱ জীবন নিয়ে খেলাটা ঠিক হয় নাই,"কালা হাঁডা তুই, ইগ্গা মাইয়ার জীবন লই খেলা ঠিক অয় নো।",
কুণ্ডার বাচ্চাকে আজীবন নিষিদ্ধ করা হোক।হালার পো কোন ভাল খেলা খেলতে পারেনি।মাঙ্গের পোরে বাদ দেওয়া হোক,কুত্তার বাইচ্ছারে আজীবনের লাই নিষিদ্ধ করন। হালারহুত কোনো বালা খেলা খেলতো হারে না। হেডালির হুতেরে বাদ দি দন।,
কুমিল্লায় দেশি কয়টা বলদ খেলে তারা কুমিল্লাকে ডুবাইছে।,কুমিল্লায় দেশী কোগা বলদ খেলে হেগুনেই কুমিল্লারে ডুবাইসে।,
কোন কুত্তার বাচ্চায় ভিডিওটা ছাড়ছে????,কোন কুত্তার বাইচ্ছা ভিডিও ইয়া ছাইরসে?,
কোন মাগির ছেলের জন্য সকলেই নিষেধাক্কা দুর্ঘটনা এখনকার মাধ্যমে প্রকাশ হলো সেটাই জানেন না এই ঘটনা আমাদের বাংলাদেশ অনেক বড় ক্ষতি হবে না থাকাতে,"কোন মাগীর হুতেরলাই বেকে নিষেধাজ্ঞা, কোন মাধ্যমে প্রকাশ করা ঐসে হেটাই জানেন না। এই ঘটনা আনগো বাংলাদেশের লাই অনেক ব ক্ষতি ওইবো না থাকনে।",
কোয়াব সভাপতি শালায় বলে পদত্যাগ করবে না��,কোয়াব সভাপতি হালায় বলে পদত্যাগ কইরতোনো।,
ক্রিকেটারদের আগে জনগনের কাছে চলে আসছে তুমি শালাবাবু চোর। তুমি এবং তোমার ছেলা পেলার পদত্যাগই বিসিবির উন্নতি। বাংলাদেশ ক্রিকেটের উন্নতি।,ক্রিকেটারগোর আগে পাবলিকের কাছে চলি আইসে তুই হালারহুত চোর।,
খানকি মাগি,খানকি মাগী।,
খানকিপোলা এতো গালি খাস তার পরও ভিডিও ছাড়স কেন মাগির পুত,খানকিরহুত এতো গালি খাস হেয়ার হরেও ভিডিও ছারস কেন মাগীর হুত?,
খানকির ছেলে পাপন।,খানকীরহুত পাপইন্না,
খানকির পােলা গানকই,খানকীর হুত গান কই,
খানকির পুত মালাউন তর বুন কে গাইর মারি মালাউন তুরা আর কি হবি কুকুর ও চুদে তর বুনকে আর গরু চুদে তর মা কে আর মহিশ চুদে তর বাবা কে কুকুর চুদে তকে মালাউন সুওরের বাচ্চা এই রকম মিত্যা নিউজ কেন দেস মালাউন,খানকীরহুত মালাউন তোর বইনেরে গাইল্লাই। মালাউন তোরা আর কিয়া ওইবি। কুত্তাও চুদে তোর বইনরে আর গরু চুদে তোর মারে। আর মহিষ চুদে তোর বাপরে। কুত্তা চুদে তোরে মালাউন। শুয়োরের বাইচ্ছা এইচ্ছা মিসা খবর দস কা মালাউন ,
খানকির পো তো বাট বাট চোদাস ক্যন বসি বাট বাট করলে তোর পাছায় দিমু পেপে গাচের ডাট,খানকীরহুত তো বাট বাট চোদাস কা বেশি বাট বাট কইরলে তোর হোন্দে দি পেঁপে গাছের ডাট ভরি দিমু।,
খানকির পোলা তোর মারে চোদি কৈ রুবেল গান কৌছে,খানকীরহুত তোর মারে চুদি। কত্তে রুবেইল্লা গান গাইছে!,
খানকির পোলা পাপুন্না,খানকীরহুত পাপইন্না ,
খানকির পোলারা একটা খেলা জিততে পারে না । জনগনের টাকায় বিদেশ ঘুরোস গাড়ি বাড়ি কিনোস । জার্সি খানকির পোলারে খুব শিগগিরই রাস্তায় পাঠানো হবে । কেন্টিনে কাজ করে হলায় ।,"খানকীর হুতেরা ইগ্গা খেলাও জিততো হারে না। মাইনষের টেঁয়ায় বিদেশ ঘুরোস, গাই - বাই কিনস। জার্সি খানকীর হুতেরে শিগগির রোডে হাডানো অইবো। ক্যান্টিনে কাম করে হালায়।",
খানকির পোলারা খেলা পারেনা আবার ফুটানি চোদায়!! বকা দিছে ভালো করছে। মুশফিক কি তোগো বাপ লাগে মাদারচোদ!! শাকিবার পাল্লায় পইরা সবগুলা খেলোয়ার বস্তি হইয়া গেছে।,খানকীর হুতে খেলা হারে না আবার হুডানি চোদায়। বইকসে বালা কইচ্ছে । মাশফিক্কা কি তোরগো আব্বা লাগে নি মাদারচোদ। শাকিব্বার হাল্লায় হড়ি বেগগুন খেলোয়াড় বস্তি ওই গেসে।,
খালি সব কিছু নতুন করে শুরু করতে হবে।।।পুরান আর হয় না।।সালার,খালি বেক কিছু নোয়া করি শুরু করতে অইবো। হুরান আর ওয় না। হালার ,
খুলনা এই চুতিয়া শান্ত রে দলে রাখে কেন বুঝিনা,খুলনাইয়া এগুণ এই চুতমারানি শান্তরে দলে রাখে কে বুঝিনা।,
খেলোয়ারদের ডিমান্ড কুত্তার মতন,খেলোয়াড় গো ডিমান্ড কুত্তার নানি।,
খেলোয়ারা হারামি তার পাসে খেলোয়ার নেই,খেলোয়াড়েরা হারামি। হেতেরে পাশে কোনো খেলোয়াড় নাই।,
গাজা খাইছো না কি,গাঞ্জা খাইসত নিকি!,
গালি আমি দেই ওনেকে দেই তাে কি হইছে বাল ফালাবি গাজাখোর,"গালি আঁই দি, বহুতজনে দে তো কিরবি! বাল হালাইবি গাঞ্জাখোর।",
গালি না ছুদে দেওয়া সালাদের।।,গালি না দি চুদি দেওন হালারগোরে।,
গেইল হালায় একটা কূপা,গেইল হালা এতে ওগ্গা কুফা।,
চামচা গুলা সব মাদারচোদ,চামচা এগুন বেক মাদারচোদ,
চোর চোর খালাতো ভাই,চোরে চোরে খালতোবাই,
চোরের কমিটি।,চোরের কমিটি,
চোরের নেতা জয়নাল এটি একটি নাটক সবাই দেখবেন প্লিজ,চোরের নেতা জয়নাল । ইয়া লই ওগ্গা নাটক বেকে দেখবেন পিলিজ।,
ছাগলের দল,ছাগলের দল।,
জনগনের পাছায় নাথি মারার দরকার বোকাচুদারা প্লেয়ারদের পিছনে লাগছে কেন এত মানুষ রেখে সালাকে কেউ পাঠায়ছে,জনগনের হোন্দে লাতি মারন দরকার বোকাচোদারা প্লেয়ারগোর হিছনে লাইগছে কা! এত মানষ রাখি হালারে কেও হাডাইছে।,
জাতিও পাগল,জাতিও ফাগল ,
জানোয়ার খানকির পোলা রোবেল৷ তোর বাবা মা আছে তোর বোন খানকি তোর মা খানকি নিজের পোলা আকাম কিছু কছনা হ্যপি তোমার মজা লাগছে তোমি খায়ছো৷ খাওর৷ সময় খেয়াল ছিলো না,জানোয়ার খানকীর হুত রুবেল। তোর বাপ - মা আছে তোর বইন খানকি তোর মা খানকি নিজের হুতের আকাম কিছু কস না । হ্যাপী তোয়ার মজা লাইগ্সে তুঁই খাইসো। খাইবার সমে খেয়াল আসিলো না।,
জারছি পড়া খানকির পোলা,জার্সি হরা খানকীরহুত ,
জার্রসি ওলা সালাটা ফেমাস হতে চায়ই,জার্সি আলা হালা এতে ফেমাস ওইতো চায়,
টা তো বাল মার্কা ছিলো। খালি খেলোয়ারদের দোষ দিয়ে লাভ নাই। যে অযোগ্য তাকে দলে ঠাই দিলে এরকমই হবে,হেটা তো বাল মার্কা আসিলো। হুদো খেলোয়াড় গোরে দোষ দি লাভ নাই। যেতে অযোগ্য হেতেরে দলে ঠাই দিলে এইচ্ছাই অইবো।,
টাকা টাকা চুদাও কাকা ভারত কোহলি কে একা যে বেতন দেয় বাংলাদেশের সব প্লেয়ারদের তো দেও না।,টেঁয়া টেঁয়া সোদাও কাগা ভারত কোহলিরে একলা যে বেতন দে বাংলাদেশের বেক প্লেয়াররে তো দে ও না।,
ঠিক পাপন সালা একটা মাদারচুত,এঁ ঠিক পাপইন্না হালা ইগ্গা মাদারচোদ।,
ডিসলাইক দেওয়া কুত্তার বাচ্চাগুলার ছবি আইডিসহ প্রকাশ চাই,ডিজলাইক দেয়া কুত্তার বাইচ্ছাগুনের ছবি আইডিসহ দেখাই দন ।,
তর মারে তোর বোন কে তোর চৌদ্দ গোষ্ঠী চুদি হানকির পোলা,তোর মারে তোর বইনরে তোর চৌদ্দ গুষ্টিরে চুদি খানকীরহুত ,
তরা হলে এক নম্বার মাূার চুদ খানখির পুলারা এতো দিন কয় আচিলে তরা,তোরা ওইলি এক নম্বর মাদারচোদ। খানকীর হোলারা এত দিন কই আসিলি তোরা,
তরে ঘোড়া দিয়ে চোদানো দরকার,তোরে ঘোড়া দি হোন্দাইবার দরকার,
তাসকীনের দাঁত ভাঙা কেনো? তাসকীনকে গে দের মত লাগে,তাসকিনের দাঁত ভাঙ্গা কা? তাসকিনরে গে গোর মতন লাগে ,
তুই গাঁজা খাইয়া আয়ছত সাকিব ইংলেন্ডে হয়ে খেলবে কুওার বাচ্চা ফেমাছ হতো চাছ ��������এটা তর ফুটকি দিয়া বরমু,তুই গাঞ্জা খাই আইসত সাকিব ইংল্যান্ডের ওই খেলবো কুত্তার বাইচ্ছা ফেমাস ওইতো চায়? এটা তোর হোন্দে দি ভরমু।,
তুই ডাডি মা রে ছুদি,তুই ডাডি মারে চুদি,
তুই তো মাল খোর তুই কি বুঝবি,তুই তো মালখোর তুই কিয়া বুইজবি,
তুই বাল জানছ,তুই বাল জানোস ,
তুই সালা তাড়াতাড়ি মরবি তুই যে কথা বলছোছ তর মা-বাবা মরার কথা বলতে তর মুখে একটু বাচবো না! সালা ব্যানচোদ,তুই হালা তাতাই মইরবি। তুই যে কতা কইসোস তোর বাপ-মা মরার কতা বইলতে তোর মুখে একটু ও বাইজলো না! হালা বাইনচোদ,
তুই হালা চোর তোরে চাটাই করতে হবে,তুই হালা চোর। তোরে ছাটাই করন লাইগবো ,
তুমি একটা নডির ছাওয়াল আশরাফুল তোর গুদে বাঁশ দিতে গেছে মাগীর পুর,তুই ইগ্গা নডির হুত। আশরাফুইল্লা তোর হেডায় বাঁশ দিতো গেসে মাগীর হুত ,
তুমি কোন বাল ফালাইছো দেশের জন্য।ভাইরাল ধান্দা সব। তোমার চ্যানেল যেন সবাই আন সাবস্ক্রাইব করে।পর নিন্দা না করে নিজে কিছু করে দেখান দেশের জন্য।,তুই কোন বাল ফালাইসোস দেশের লাই। ভাইরাল ওইবার মতলব বেক। তোর চ্যানেল যাতে বেক আন সাবস্ক্রাইব করে।  হরের দোষ না ধরি নিজে কিছু করি দেখা দেশের লাই।,
তুমি চুদির ভাইপদত্যাগ করা তাহলেই সব ঠিক হয়ে যাবে,তুই চুদির ভাই পদত্যাগ কর। তাইলে বেক ঠিক ওই যাইবো।,
তুমিকি রাস্তায় কুকুরের মত জন্ম গ্রহণ করেছ?তোমার মা ভালো জানবে,তুই কি রাস্তাত কুত্তার মতন জন্ম ঐসত নিকি? তোর মা বালা জাইনবো।,
তুর মারে কি চুদছিল নি আশরাফুল।সালার পুত,তোর মারে কি হোন্দাইসিল নি আশরাফুলে। হালারহুত ,
তোই৷ জানোয়ার,তুই জানোয়ার,
তোদের মতো ইউটিউবারদের চুদি,তোরগো মতন ইউটিউবারগোরে হোন্দাই ,
তোমাকে কুত্তা দিয়ে চুদানো উচিৎ বেশি কিছু বললাম না,তোরে কুত্তা দি চুদানো উচিত। বেশি কিছু কইলাম না,
তোর বাপ মার কবরে গিয়ে পিছা ঝাড়ু দিয়ে পিটিয়ে আসো কেন তোর মত একটা কালো কুত্তা জন্ম দিছে কেন।,তোর বাপ-মার কবরে যায় হিসা ঝাউ দি হিডি আয় কিল্লাই তোর মতন অগ্গা কালা কুত্তা জন্ম দিসে কিল্লাই,
"তোরা শালারা পতিতার মেয়ে নিয়া টানাটানি করস কেনো,,,,মেয়ে কি আর খুজে পাচ না","তোরা হালারা বেইশ্যা মাইয়ার লই টানাটানি করস কিল্লাই, মাইয়া কি আর খুঁজি হাস না",
তোরে জোতা মারুম সালা কাসিম টিভি খবর সালা,তোরে জুতা মারমু হালা। কাশেম টিভির খবর হালা,
দুই বছর আগে কি হয়েছে আজ তার প্রাকাশ নাটক চোদায় বান্দির বাচ্চারা।,দুই বছর আগে কিয়া ওইসে আইজ্জা তার প্রকাশ। নাটক সোদায় বান্দির বাইচ্ছারা ,
দুজন মিলে তাসকিন বুকা চোদারে মার বানচোদ তাসকিন।,দুইজন মিলি তাসকিন বোকাসোদারে মার। বাইনচোদ তাসকিন।,
দুরো সালার পুদ চুপথাক,ধুরো হালারহুত চুপ থাক,
নটির পোলা রুবেল তরা আসলে ব্যাশা মাগির পোলারা,নডির হুত রুবেল। তোরা আসলে বেইশ্যা মাগীর হুত ।,
নটির বাচ্চা পাপন সব কিছু করলোমাদার চোদ তুই পদ থেকে সরে যা,নডির বাইচ্ছা পাপইন্না বেক কিছু কইচ্ছে মাদারচোদ। তুই পদ তুন সরি যা,
নম্বর জার্সি পরা সে হলো একটা কুত্তার বাচ্চা। চামচার বাচ্চা বললে ভুল হবে,নম্বর জার্সি হড়া এতে ওইলো ইগ্গা কুত্তার বাইচ্ছা । চামচার বাইচ্ছা কইলেও ভুল অইবো।,
নাইচ্চারে বুদার পুলা পাগল হয়ে গেছে মাদার চুদে এই কারনে বাতিজার মুখ বুদার বিতরে গেছে,নাইচ্ছারে হেডালির হুত হাগল ওই গেসে মাদারচোদে হেটারলাই বাতিজার মুখ হেডার বিত্তে গেছে।,
নাসির একটা কারাপ ছেলে হে মাদারি বাছা,"নাছিররা ইগ্গা খারাপ হোলা, হেতে মাদারির বাইচ্ছা",
নাসির একটা মাগির বেটা,নাছির ইগ্গা মাগীরহুত ,
পা পোন্দা পুন্দি মাদারের চোদ�,পা হোন্দা হোন্দি মাদারের চোদ,
পাগল পরিচালক,হাগল পরিচালক,
পাপইন্না বেস্যা মাগীর পোলার হোগা দিয়া গরম ডিম দেওয়া উচিৎ।,পাপইন্না বেইশ্যা মাগীরহুতের হোন্দে দি গরম ডিম ঢুকাই দন উচিত।,
পাপইন্না মাদারচুদরে জুতাপেটা করে বিসিবি থেকে পদত্যাগ করা জরুরী,পাপইন্না মাদারচোদরে জুতাদি হিডি বিসিবি তুন পদত্যাগ করন জরুরি।,
পাপন এ গাজা এবং মদ খায় ।আমি নিজে দেখেছি ও আমার কাছে ভিডিও আছে ! কিন্তু আমি তা পাবলিক করলে আমার ফ্যামেলি সমস্যা করবে বলছে !!!হি ইজ মাদার ফাকার !!,পাপইন্না গাঞ্জা ও মদ খায়। আঁই নিজে দেখসি ও আঁর কাছে ভিডিও আছে। কিন্তু আঁই যদি পাবলিক করি আঁর ফ্যামিলির সমইস্যা কইরবো কইসে। হি ইজ মাদার ফাকার,
পাপন একটা কুত্তার বাচ্চা,পাপইন্না ইগ্গা কুত্তার বাইচ্ছা।,
পাপন একটা জুয়ারি জদি সাকিব কে ভাত দেয়া হয় তাহলে জিবনে কোনো দিন জদি সুজক পাই পাপনেরে দুই টা জুতার বারি দিমু,"পাপইন্না ইগ্গা জুয়াডি, যদি সাকিবরে বাদ দেয়া ওয় তাইলে জীবনে কোনোদিন যদি সুযোগ হাই পাপইন্নারে দু্গা জুতার বাই দিমু।",
পাপন একটা মাদার চোদ শালার পুটকি দিয়া গরম ডিম ঢুকানো দরকার সাকিবের কিরিয়ার নষ্ট করার পাইতারা��,পাপইন্না ইগ্গা মাদারচোদ। হালার হোন্দে দি গরম ডিম ভরি দিবার দরকার সাকিবের ক্যারিয়ার নষ্ট কইরবার পায়তারা।,
পাপন একটা মাদারছুদ।।। কুত্তার বাচ্ছা তর গোস্টি তে সাকিবের মতো একটা প্লেয়ার বের করে দেখাতো।।।।।।। তুই কি জানিস কুত্তার বাচ্চা একটা প্লেয়ার নিজেকে সেট করতে কতোটা পরিশ্রম করতে হয়।।।,পাপইন্না ওগ্গা মাদারচোদ। কুত্তার বাইচ্ছা তোর গুষ্টিরতে সাকিবের নানি ওগ্গা প্লেয়ার বার করি দেখ। তুই জানস নিকি কুত্তার বাইচ্ছা ওগ্গা প্লেয়ার নিজেরে সেট কইরতে কদ্দুরা পরিশ্রম করন লাগে ,
পাপন কুক্তার বাচ্চার মারে চুদি এই মাধারচুদের বাচ্চা পাপনের বহিস্কার চাই,"পাপন কুত্তার বাইচ্ছা মারে হোন্দাই, এই মাদারচোদের বাইচ্ছা পাপনের বহিষ্কার চাই।",
পাপন কুত্তার বাচ্চারে জুতা পিটা,পাপন কুত্তার বাইচ্ছারে জুতা দি হিড ।,
পাপন কে খেলব?কি বলেন আমি কিন্তু হেকার যে ছাইলে পাপনকে মাগির দলাল বানানো কোন বেপারনা,"পাপইন্নারে খেলুম? কিয়া কন আঁই কিন্তু হেকার, যেতে চাইলে পাপইন্নারে মাগীর দালাল বানোন কোনো বেফার নো।",
পাপন কে জুতা পিটা করা দরকার সাকিব এর মত অভিজ্ঞ খেলুরার কে বহিস কার করে,পাপইন্নারে জুতাদি হিডন দরকার। সাকিবের মতন অভিজ্ঞ খেলোয়াড়রে বহিষ্কার করে।,
পাপন কে জুতার মালা পরিয়ে দেওয়া হোক,পাপইন্নারে জুতার মালা হরাই দেয়া অক।,
পাপন কে সবাই জুতা মারেন,পাপইন্নারে  বেগ্গুন জুতা মারেন ।,
পাপন খানকির পোলা সহমত হইলে লাইক দিন,পাপইন্না খানকীরহুত একমত ওইলে লাইক দেন।,
পাপন চোর হালা,পাপইন্না চোর হালা,
