Standard_Bangla,dialect_speech,English_translation
অথচ ঘটনার সুত্রপাতে সি সি ক্যামেরায় কোন দলের ৩ জন কে যেন দেখা গেলো?,অথচ ঘটনার পইলাদি সিসি ক্যামেরাত হন দলর ৩জন অরে বলে দেখা গেইল?,
অথচ টিপ কান্ডে কাউকে বলতে শুনা গেলো না যে পুলিশকে ফাঁসানো হয়েছে,অথচ টিপ হান্ডোত কেউরে হইতে উনা ন গেইলু যে পুলিশ অরে ফাসাইয়ি,
অচছ বিনা দোষে আলেমরা বছরের পর বছর কারা ঘরে,অথচ বিনা দুষে আলেম অল বছর অর বছর হারা ঘর অত,
"অথচ যখন মামুনুল হক সাহেবদের ছেলেরা অশ্রুসিক্ত নয়নে বন্দী বাবার দিকে তাকিয়ে থাকে তখন এই নিয়ে তারা রিপোর্ট করে না
যত্তসব কাফির পক্ষ!",অথচ যেত্তে মামুনুল অওক সাহাব অর পোয়া অলে যেত্তে চোখ অর পানি লয় বন্দী বর মিক্কা চাই থাহে এত্তে এগিন লই ইতারা রিপোর্ট ন গরে। বেজ্ঞিন কাফির মিক্কা!,
আপনাকে দেখছি,অন রে দেহি,Seeing you
আপনার সাথে কথা,অনড় লই হোথা,
আপনার সাথে কথা,অনড় লই হোথা,Talking with you.
আপনার সাথে কথা বলতে আমার অনেক ভালো লাগে,অনড় লই হোথা খৈত বেশি গম লাগে,I really enjoy talking to you.
আপনাকে একটি দোকানে যেতে হবে,অনত তুন এক্কান দোয়ান ওত যা ফরিবো,You have to go to a shop
অনতিবিলম্বে কোটা ব্যবস্থা বাতিল করা হোক।,অনতিবিলম্বত হোটা বেবোস্তা বাতিল গরক,
আপনার এটা করা লাগবে,অনত্তুন ইয়েন গরন ফরিবু,
আপনার এটা করা লাগবে,অনত্তুন ইয়েন গরন ফরিবু,You need to do this.
আপনার হড়হড় করে বমি করা রোগটা কি এখনো আছে??? নাকি ভালো হইছে �??,অনত্তে বরত বরত গরি বমি গরিবের রোগ ইবে এজু আছে না ? নাকি গম অইয়্যি?,
আপনার হাশির কাছে সব কিছু হার মেনে যায়,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই,Everything succumbs to your laughter
আপনার এই পোস্টটি খুব উপকারী,অনর এই ফোস্ট ইয়ান কুব উফকারি,Your post is very helpful
আপনার কি আমার কথা মনে আছে এখনও,অনর কি আঁর হতা মনোত আচে আইযো,
আপনার কি কি লাগবে ডিটেইলস দিন স্থানীয় প্রশাসন চাল-ডাল না দিলে আবার এখানেই তা প্রকাশ করুন,অনর কি কি লাইবু ডিটেইলস দিউন স্থানীয় পশাসন চইল ডাইল ন দিলি আবার এন্ডেই ইন পকাশ গরন,
আপনার কি গরম লাগছে,অনর কি গরম লাগের নে,
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,Do you not like to study at all?
আপনার কি বই পড়ার অভ্যাস আছে ?,অনর কি বই ফরার অব্বাস আচে নে,Do you have a habit of reading books?
আপনার কি বিয়ে হয়ে গেছে?,অনর কি বিয়া ওই গেইয়ু নি?,Have you gotten married?
আপনার কি মন খারাপ ?,অনর কি মন হারাফ নে,Are you upset?
আপনার কোনো প্রশ্ন আছে?,অনর কি হনো ফ্রশ্ন আচে নে,Do you have any questions?
"আপনার গরুর রচনা পড়ে তো আর দাবি আদায় হবে না, একটা এডভাইস দেই, গাড়ি নিয়ে বের হওয়ার সময় লাইসেন্স নিয়ে বের হইয়েন।","অনর গরুর রচনা ফরি তো আর দাবী আদায় নো,অইবু এক্কান ডিভাইস দির গাড়ী লই বাইর অইবের সময় লই লাইসেন্স লই বাইর অইয়্যুন।",
আপনার ছবি দেখে খুব ভালো লেগছে,অনর চবি দেকি কুব গম লাইজ্ঞে,Nice to see your picture
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর,You are more beautiful in reality than in your picture
আপনার ছবিটি দেখে মন ভরে গেলো,অনর চবিয়ান দেহি মন বরি গেইয়্যুই,My heart was filled with your picture
আপনার চিন্তা ও চেতনা ভুল। আপনারা ভালো চিন্তা করবেন ভালো মুসলমান হবেন এই আশায়।,অনর চিন্তা আর চেতনা বুল। অনরা বালা চিন্তা গরিবেন বালা মুসুম্মান অইবান এ আশাত।,
আপনার চোখ অনেক সুন্দর,অনর চোক বউত সুন্দর,Your eyes are very beautiful
আপনার জন্মদিন কবে?,অনর জন্মদিন হত্তে?,When is your birthday?
আপনার মত পরজীবীদের কাজই হচ্ছে বাংলার জনগনের মধ্যে বিবেদ সৃষ্টি করে নিজের পকেট ভারী করা।,অনর ডোইল্লে ফরজীবীর হাম অইয়্যিদে বাংলার জনগণর মইদ্ধে বিপদ সৃষ্টী গরন।,
আপনার কুমিল্লার মন্দিরের কথা মনে নেই প্রমাণ থাকা স্বত্বেও হাজারো নিরীহ মানুষের বাড়ি ভাংচুর অগ্নি সংযোগ করেছিলো কিছু উগ্রবাদী,অনর তে কুমিল্লার মন্দির অর হথা মনত নাই পমান থাহন সত্ত্বেও আজারো নিরীহ মাইনষর বাড়িত ভাংচুর অইন জ্বালাই দিলু হট্টা উগ্রবাদী,
আপনাকে প্রশ্ন করতে শিখতে হবে,অনর তে প্রশ্ন গরন শিখন পরিবু,
আপনার নাম কি,অনর নাম কি?,
আপানার নামবার দেন,অনর নাম্বার গ দন।,
আপনার পড়ালেখা করা উচিত,অনর ফরালেহা গরা উচিত,You should study
আপনার সাথে দেখা হয়ে আসলেই খুব ভালো লাগলো,অনর ফোয়ারে দেহা অই আসলেই কুব গম লাইজ্ঞে,It was really nice to meet you
আপনার সংগে আছি,অনর ফয়ারে আছি,With you
আপনার বোনের কি বিয়ে হয়ে গেছে?,অনর বইনের কি বিয়া ওই গেইয়ু নি?,Has your sister gotten married?
আপনার বড় বোনের কি বিয়ে হয়ে গেছে ?,অনর বর বইনর কি বিয়া অই গেইয়্যুয় নে?,Is your elder sister married?
আপনার বাচ্চা যদি পরীক্ষা দিতো তবে আপনি ও ভাবতেন যা কিভাবে তাকে সাজেশন করাযাই আর 10 বছর বয়সে যে হারে PSC পরীক্ষা পড়ার চাপ থাকে তাতে বাচ্চা সরনা পুণ হওয়া খুব দর কার না এ নিয়ে মাথা ব্যাথা দরকার নেই এটা নতুন কিছু না যে আজ হচ্ছে,অনর বাইচ্চে যদি ফরিক্ষা দিতু তইলি অনেও ভাইবতেন যে কেনে এক্কানা সাজেশন গরা যায়। আর দশ বছর বয়সত যে হারে ফরিক্ষার ফরার চাপ থাগে। তাতে বাইচ্চে অক্কল সরণপন্য অইবের দরহার নাই। ইয়েন লই মাথা ব্যাথা গরিবের দরহার নাই ইবে নোয়া নয়।,
আপনার বাবা মার যেহেতু স্বপ্ন,অনর বাপ মার যেহেতু সফ্ন,
আপনার বাড়ি কি নিউক্যালি ভাউ �,অনর বারি কি নিউক্যালি নাকি ?,
আপনার ব্লগটি পড়ে অনেক কিছু শিখতে পেরেছি,অনর ব্লগকান ফরি বউত কিচু শিকিত ফাইরগি,I have learned a lot from reading your blog
আপনার বড় বোনের কি বিয়ে হয়ে গেছে?,অনর বড় বইনের কি বিয়া ওই গেইয়ু নি?,Has your elder sister gotten married?
আপনার ভাষার ব্যবহার দেখে বোঝা যাচ্ছে আপনি কোন ধরনের পরিবেশে অবস্থান করেন।,অনর ভাষার ব্যবোয়ার দেহি বুঝা যার অনে হোন ধরনর পরিবেশ অত অবস্থান গরন।,
আপনার মত দু চারটা আবাল মার্কেটে না গেলেই সমস্যা নাই।মাল আছে কাস্টমার ও আছে।,অনর মত দুয়া চাইরগোয়া আবাল মার্কেট অত ন গেইলি সমইস্যা নাই। মাল আছে কাস্টমার ও আছে,
"Naheed Parveen Mimi@আপনার মন্তব্য এবং স্যারের লেখা বুঝা readers আমাদের সমাজে খুব সিমিত। তাদের মনমত লেখা না হলে যে সব ভাসা ব্যাবহার করে that's are very painful, maximum are comments on radical approach.",অনর মন্তব্য এবং স্যারের লেহা বুঝা  আরার সমাজত খুব সিমিত।  ইতারার মনমত লেহা ন অইলে যে বেয়াক ভাষা বেবার গরে।,
আপনার মজার মজার কথা শুনলে সারা দিন মন ভালো থাকে,অনর মযার মযার হতা ফুনিলে আরাদিন মন বালা তাকে,Listening to your funny jokes makes me feel good all day long
আপনার জন্য কত সাইজ,অনর লা হত সাইজ।,
আপনার জন্য,অনর লাই,For you.
আপনার জন্য অনেক দোয়া আর ভালবাসা স্যার <3,অনর লাই অনেক দুয়া আর ভালোব্বাসা স্যার।,
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে,Nice to meet you
আপনার সাথে পরিচিত হয়ে ভালো লাগলো,অনর লাই ফরিচয় ওই বহুত বালা লাইগগে,Nice to meet you
আপনার জন্য রোডিজ স্যলুট।।।।।।।।।।।�����������������‍☠��,অনর লাই রোডিজ স্যালুট ।,
আপনার জন্য শুভকামনা রইল,অনর লাই শুভকামনা,Best wishes to you
আপনার সাথে কথা বলে অনেক ভালো লাগলো,অনর লাই হতা হই বউত গম লাইজ্ঞে,
আপনার লেখাগুলো বড় করে পড়লে কেমন জানি আম্বা আম্বা এর মত শোনাই,অনর লােহাইগিন ডর ডর গরি ফরিলি আত্তে আম্বা আম্বা লাগে।,
আপনার লেখা অসাধারণ,অনর লেহা অসাদারন,Your writing is amazing
আপনার লেখার ধরণ খুব সুন্দর,অনর লেহার দরন কুব সুন্দর,Your writing style is very nice
আপনার কত সাইজ,অনর সাইজ হত।,
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,অনর সুন্দর সুন্দর চবিগিন দেকি আনন্দ পাইয়্যি,I enjoyed seeing your beautiful pictures
আপনার কথা গুলো বালো,অনর হতা ইগিন ভালা,
আপনার কথা গুলো ভাল লাগছে,অনর হতা ইগিন ভালা লাইজ্ঞি।,
"আপনার কথা শুনার সাথে সাথে বিচারপতি পদত্যাগ নিছে।
আদালত বন্ধের পথে।
এর পর কোন সমস্যা হলে সমাধান হবে ফেসবুকের কমেন্ট বক্সে",অনর হথা উনিবার লগে লগে বিচারপতি পদ ছাড়ি দিয়ি। আদালত বন্দর পথ অত এয়ার পঅর হোনো সমইস্যা অইলি সমাদান অইবু ফেসবুক অর কমেন্ট বক্স অত,
"আপনার কথায় আমরা লজ্জিত, জনাব উপচার্য।","অনর হথাত আরা শরমিত,জনাব উপচার্য।",
আপনার কাজই কি চোদা দেওয়া,অনর হাম কি চোদা দন।,
আপনার সাথে আমার একটা জরুরি কথা আছে,অনর হাসে আরার এক্কান জরুরি হতা আসে,
আপনার হেয়ার কাটিং দেইক্ষা বোম মারছে।,অনর হেয়ার কাটিং দেহি বোম মাইরজে,
আপনার কি পরীক্ষা দিতে ভালো  লাগে ?,অনরতুন কি ফরিক্কা দিতে গম লাগে নে,Do you like to take exams?
আপনা আমাকে এখনো চিনেন না,অনরা  আরে এইযো ন চিনন,You don’t know me yet
আপনা এখনো চিনেন না,অনরা  এইযো ন চিনন,You don’t know yet
আপনারা আগে যান,অনরা আগে জো,You go first
আপনারা আছেন বলেই মানুষ বেঁচে আছে এখনো।,অনরা আচন বুলি মানুষ বাচি আচে এহনো,
