SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
40,আই সত্যি খুব অসহায় বদ গরীর,আমি হাচাউ বাক্কা অসহায় বোধ কোরিয়ার,মুই সত্যিই মেলা অসায় বোধ করতেআছি,আমি সত্যি খুব অসহায় বোধ করছি,I feel really helpless
41,আই খুব অসহায় বদ গরীর,আমি বাক্কা অসহায় বোধ কোরিয়ার,মুই মেলা অসায় বোধ করতেআছি,আমি খুব অসহায় বোধ করছি,I feel so helpless
42,খুব অসহায় বদ গরীর,বাক্কা অসহায় বোধ কোরিয়ার,মেলা অসায় বোধ করতেআছি,খুব অসহায় বোধ করছি,I feel very helpless
43,অসহায় বদ গরীর,অসহায় বোধ কোরিয়ার,অসায় বোধ করতেআছি,অসহায় বোধ করছি,I feel helpless
44,আই সত্যি খুব অসহায় ,আমি হাচাউ বাক্কা অসহায় ,মুই সত্যিই মেলা অসায় ,আমি সত্যি খুব অসহায়,I am really very helpless
45,ভিডিও বানাইবার কি দরকার আছিল?,ভিডিও বনানীর কিতা দরকার আছিল?,ভিডিও বানাইন্নার কি দরকার অ্যালেহ?,ভিডিও বানানোর কি দরকার ছিল?,What was the need to make the video?
46,বানাইবার কি দরকার আছিল?,বনানীর কিতা দরকার আছিল?,বানাইন্নার কি দরকার অ্যালেহ?,বানানোর কি দরকার ছিল?,What was the need to make?
47,তোয়ারে আরে ডাহ,মোরে বোলা,মোরে বোলা,আমাকে ডাক,Call me
48,ইতে সিলেট্টুন আর ফোয়ারে দেহা গরীরটো আইসে ,সিলেট থাকি আমার লগে দেখা করাত আইছিল,সে সিলেট দিয়া মোর লগে দেহা করতে আইসেলে,সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,He came to meet me from Sylhet
49,আর ফোয়ারে দেহা গরীরটো আইসে ,আমার লগে দেখা করাত আইছিল,মোর লগে দেহা করতে আইসেলে,আমার সাথে দেখা করতে এসেছিল,Came to meet me
50,দেহা গরীরটো আইসে ,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,দেহা করতে আইসেলে,দেখা করতে এসেছিল,Came to meet
51,ফোয়াইবা সিলেট্টুন ধাহা আইসে ,সিলেট থাকি ঢাকাত আইছে,ফোয়াইবা সিলেট্টুন ধাহা আইসে ,সিলেট থেকে ঢাকায় এসেছে,Came from Sylhet to Dhaka
52,নঅ চুইয়ো,ছইবায় না ,ছুইবেন না,স্পর্শ করবেন না,Do not touch
53,অইগেই,হই গেছি,অইয়া গেছি,হয়ে গিয়েছি,I have become
54,অ়দর হত়াত আইয়ু ,মূল কথাত আও,আসল কতায় আও,আসল কথায় আসা,Coming to the point
55,অ্যাঁই ভাত ন হাইয়্যুম গুসসা ওইয়্যুম ,আমি ভাত খাইতাম নায় ঘুষা করছি ,মুই ভাত খামু না রাগইছি,আমি ভাত খাবো না রাগ করছি ,I will not eat rice because I am angry
56,অনে অ্যাঁরে ছাড়ি চলি যাইবেন,আফনে আমারে ছাড়িয়া চইলা যাবা,হামনে মোরে হালাইয়া যাইবেন,আপনি আমাকে ছেড়ে চলে যাবেন,You will leave me
57,বিয়া অয় বহুত বছর আগে,বিয়া হইছিল বাক্কা বছর আগে,বিয়া হইছে অনেক বছর আগে ,বিয়ে হয় অনেক বছর আগে,The marriage was many years ago.
58,যনঅর হথা নাই,যাওনারে মাথ নাই,যাওয়ার কতা নাই।,যাওয়ার কথা নেই,There is no reason for going.
59,চিন্তা গইজ্জি  কিসু উজ্ঞো গইজ্জুম,চিন্তা করতাছি কিচ্ছু একটা করমু,চিন্তা হরছি কিছু এউক্কা হরমু,চিন্তা করছি কিছু একটা করবো,I'll think and do something.
60,ইয়ান গম অইব্যু তুঁর লাই,ইটা ভালা অইবো তল্লাইজ্ঞা,ওইডাই ভালো হইবে তোর লইগ্গা  ,সেটি ভাল হবে তোর জন্য,It will be good for you
61,বাড়িত আইসসিল সমত অই গেইয়্যে,বাইত আওনের সময় হই গেছে, বাড়ি আওয়ার সোমায় হইয়্যা গেছে,বাড়িতে আসার সময় হয়ে গেছে,It's time to come home
62,ইতে হাওন থেমে হইলো,সে খাওন থামাইয়া কইলো,সে খাওন থামাইয়্যা কইল ,সে খাওয়া থেমে বলল,He stopped eating and said
63,হানা হাইতে গিল,খাওন খাইতে গেছিল,খাওন খাইতে গেছে ,খাবার খেতে গেল,Went to eat
64,হথা ন কইয়্যরে হাবাইত মনযোগ দে,মাথ না মাতিয়া খাওনও মন দে,কতা কোম কইয়া খাইতে থাক,কথা না বলে খাওয়াতে মনযোগ দেয়,He concentrates on feeding without talking
65,হাওন শেষ গরে তহন ইতার মিক্কে গিল,খাওয়ন শেষ কইরা তার দিক্কা গেল,খাইয়া তার দিকে গ্যাছে,খাওয়া শেষ করে তখন তার দিকে গেল,"After finishing eating, he went towards her."
66,চ্যাঁই চুখ গিল,দেইক্ষা ছোক গেছিল,দেইখ্যা চক্কু গ্যালে,দেখে চোখ গেল,His eyes were drawn upon seeing it.
67,সুন্দর কিসু অইত ফারে,হুন্দর কিচ্ছু হইতা পারে,সুন্দর কিছু হইতে পারে,সুন্দর কিছু হতে পারে,It might be something beautiful.
68,বিয়া গইজ্জে অ্যাঁর ছোড বদ্দা,আমার ছোডভাই বিয়া করি লাইসে,বিয়া হরছে মোর ছোট ভাই,বিয়ে করেছে আমার ছোট ভাই,My younger brother has gotten married.
69,মাতাত বুদ্ধি ন অয়,মাথাত ঘিলু নাই,মাতায় বুদ্ধি হয় নাই,মাথায় বুদ্ধি হয় না,I can’t come up with any ideas.
70,দিম দিবে বন্ধ গরে দে,ডিম দেওয়ন বন্ধ করি লইছে,আন্ডা দেওয়া আটকাইয়া দে,ডিম দেওয়া বন্ধ করে দেয়,Stopped laying eggs.
71,বিয়াগুনোরে হোওয়া গেইয়্যে,হগলরে কইছি,হগোলডিরে কওয়া হইছে,সবাইকে বলা হয়েছে,Everyone has been informed.
72,হোওয়া গেইয়্যে,কইছি,কওয়া হইছে,বলা হয়েছে,It has been said.
73,অনত্তুন ইয়েন গরন ফরিবু ,আমার ইতা করন লাগব,হামনের এডা হরা লাগবে,আপনার এটা করা লাগবে,You need to do this.
74,গরন ফরিবু,করন লাগব,হরা লাগবে,করা লাগবে,It needs to be done.
75,আই যাবিগ়ই,আইয়ুস,চিল্যা আবি,চলে আসবি,I will come
76,"আঁই ইতারে হইলামদে, ইয়েন নগইজ্জু",আমি তারে কইলাম ইতা কইরো না,মুই তারে কইলাম এডা করিস না,"আমি তাকে বললাম, এটা করোনা","I told him, don't do this."
77,আঁই ইতারে হইলামদে,আমি তারে কইলাম ,মুই তারে কইলাম,আমি তাকে বললাম,I told him.
78,ইয়েন নগইজ্জু,ওটা করিও না ,এডা করিস না,এটা করোনা,Don't do this.
79,কি দরকার আছিল?,কিতা দরকার আছিল?, কি দরকার অ্যালেহ?,কি দরকার ছিল?,What was the need?
80,দরকার আছিল?,দরকার আছিল?,দরকার অ্যালেহ?,দরকার ছিল?,Was there a need?
81,বানাইবার কি দরকার ?,বনানীর কিতা দরকার ?,বানাইন্নার কি দরকার?,বানানোর কি দরকার,What’s the need to make it?
82,এরিমামা কিলায়ও গরের দ্দে বইয়ের,ইতা করের কিতার লাগি বিয়া বইয়া?,এইরহম করতেয়াছে কির লইগ্গা বইয়া বইয়া?,এমন করতেছে কেন বসে বসে?,Why is he just sitting there doing this?
83,কিলায়ও দ্দে বইয়ের,কিতার লাগি বিয়া বইয়া?,কির লইগ্গা বইয়া বইয়া?,কেন বসে বসে?,Why are you just sitting there?
84,এরিমামা কিলায়ও,ইতা করের ,এইরহম করতেয়াছে ,এমন করতেছে,Doing this like that.
85,ইবা কেরিম্মা গড়ি সম্ভব,ইগু কিলা ওই ,এইয়া কেমনে সম্ভব,এ কি করে সম্ভব?,How is this possible?
86,ইবা কেরিম্মা গড়ি সম্ভব,ইগু কিলা ওই ,এইয়া কেমনে সম্ভব,কি করে সম্ভব?,How is it possible?
87,তুই সুদানীর ফুয়া এত ঘুমোদ্দে কিল্লায় ,তুমিতাইন ওর অত ঘুম আয় কিওর লাগি,তুমি এত্ত ঘুমাও কির লইগ্গা?,তুমি এত ঘুমাও কেন?,Why do you sleep so much?
88,তুই সুদানীর ফুয়া ঘুমোদ্দে কিল্লায় ,তুমিতাইন ওর ঘুম আয় কিওর লাগি,তুমি ঘুমাও কির লইগ্গা?,তুমি ঘুমাও কেন?,Why do you sleep?
89,ঘুমোদ্দে কিল্লায় ,ঘুম আয় কিওর লাগি,ঘুমাও কির লইগ্গা?,ঘুমাও কেন?,Why are you sleeping?
90,এত ঘুমোদ্দে ,অত ঘুম আয় কিওর লাগি,এত্ত ঘুমাও কির লইগ্গা?,এত ঘুমাও কেন?,Why do you sleep so much?
91,তুই ঘুমোদ্দে,তুমিতাইন ঘুম আয় ,তুমি ঘুমাও,তুমি ঘুমাও,You sleep.
92,তোঁয়ার কাম নাই?,তোমার কাজ-খাম নাই ,তোর কাম নাই,তোমার কাজ নেই?,Don’t you have any work?
93,হথা ঠিক আছে?,মাথ ঠিক আছেনি,কতাডা ঠিক কি আছে,কথা ঠিক আছে ?,Is the statement correct?
94,হান টান লাল গরি ফেলাইয়্যুম অ্যাঁই তুঁর,কান লাল করিয়া পালাইমু তর ,তোর কানডামুই  লাল হইরা হালামু,কান টান লাল করে ফেলবো আমি তোর,I’ll pull your ear and make it red.
95,আই সমস্যার আছি,আমি সমস্যায় আছি,মুই সমস্যায় আছি,আমি কষ্টে আছি,I am in pain.
96,সমস্যার আছি,সমস্যায় আছি,সমস্যায় আছি,কষ্টে আছি,I’m in pain.
97,তুয়ার লয় আর জরুরি হতা আছে,তুমিতাইন ওর লগে আমার জরুরি মাত আছে,তোমার লগে মোর দরকারী কথা আছে, তোমার সাথে আমার জরুরি কথা আছে,I have something urgent to discuss with you.
98,তুয়ার লয় আর হতা আছে,তুমিতাইন ওর লগে আমার মাত আছে,তোমার লগে মোর কথা আছে, তোমার সাথে আমার কথা আছে,I have something to discuss with you.
99,আর জরুরি হতা আছে,আমার জরুরি মাত আছে,মোর দরকারী কথা আছে,আমার জরুরি কথা আছে,I have something urgent to say.
100,জরুরি হতা আছে,জরুরি মাত আছে,দরকারী কথা আছে,জরুরি কথা আছে,There’s something urgent.
101,হতা আছে,মাত আছে,কথা আছে,কথা আছে,I have something to say.
102, আর সকালোট উঠিয়েরে চা খাইবার অভ্যাস আছে,আমার সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,মোর বিন্নাহালে উইঠাই চা খাওনের অভ্যাস,আমার সকালে উঠেই চা খাওয়ার অভ্যাস,I have a habit of drinking tea right after waking up in the morning.
103,সকালোট উঠিয়েরে চা খাইবার অভ্যাস আছে,সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,বিন্নাহালে উইঠাই চা খাওনের অভ্যাস,সকালে উঠেই চা খাওয়ার অভ্যাস,The habit of drinking tea right after waking up in the morning.
104,চা খাইবার অভ্যাস আছে,চা খাওয়ায় অভ্যাস,চা খাওনের অভ্যাস,চা খাওয়ার অভ্যাস,The habit of drinking tea.
105,তুই দুইজ্জা হায়ও নে?,তুমিতাইন দুপুরবেলাত কিতা খাইলায়?,তুমি দুফুরে কিডা খাইছেলা?,তুমি দুপুরে কি খেয়েছ?,What did you eat for lunch?
106,দুইজ্জা হায়ও নে?,দুপুরবেলাত কিতা খাইলায়?,দুফুরে কিডা খাইছেলা?,দুপুরে কি খেয়েছ?,What did you eat for lunch?
107,তুই কি রতিয়াত বাইর হইবা নে?,তুমিতাইন কিতা রাত্রে বারইবায় নি?,তুমি কি রাইতের কালে বাইরাই বাইর হোবা?,তুমি কি রাতের বেলা বাইরে বের হবে?,Will you go out at night?
108,রতিয়াত বাইর হইবা নে?,রাত্রে বারইবায় নি?,রাইতের কালে বাইরাই বাইর হোবা?,রাতের বেলা বাইরে বের হবে?,Will you go out at night?
109,বাইর হইবা নে?,বারইবায় নি?,বাইরাই বাইর হোবা?,বাইরে বের হবে?,Will you go out?
110,তুই কি বাইর হইবা নে?,তুমিতাইন কিতা বারইবায় নি?,তুমি কি বাইরাই বাইর হোবা?,তুমি কি বাইরে বের হবে?,Will you go out?
111,হইবা নে?,ইবায় নি?,বাইর হোবা?,বের হবে?,Go out?
112,অনড় লই হোথা খৈত বেশি গম লাগে,আফনার লগে মাত্তে বাক্কা ভালা লাগে আমার,আমনের লগে কথা কইতে পাইরা ভালো লাগছে আমার,আপনার সাথে কথা বলতে আমার অনেক ভালো লাগে,I really enjoy talking to you.
113,হোথা খৈত বেশি গম লাগে,মাত্তে বাক্কা ভালা লাগে আমার,কথা কইতে পাইরা ভালো লাগছে আমার,কথা বলতে আমার অনেক ভালো লাগে,I really enjoy talking.
114,বেশি গম লাগে,ভালা লাগে আমার,ভালো লাগছে আমার,আমার অনেক ভালো লাগে,I really enjoy it.
115,রঙ গরিত ফারিবি নি রে,রং করাইতে পারবে নি রে ,রং হরতে পারবি তুই,রঙ করতে পারবি নাকি রে,Can you do the coloring?
116, কাম গইত্তাম কেনে?,কাজ করতাম কিলাখান ,কেমনে কাম করতাম,কাজ করতাম কিভাবে?,How did I work?
117,আই বেশি সমস্যার আছি,আমি বাউট সমস্যায় আছি,মুই মেলা সমস্যায় আছি,আমি অনেক কষ্টে আছি,I am in a lot of pain.
118,হোথা খৈত গম লাগে,মাত্তে বাক্কা ভালা লাগে,কথা কইতে পাইরা ভালো লাগছে,কথা বলতে ভালো লাগে,I enjoy talking.
119,হোথা গম লাগে,বাক্কা ভালা লাগে,কথা ভালো লাগছে,কথা ভালো লাগে,I like the conversation.
120,অনড় লই হোথা ,আফনার লগে মাত্তে বাক্কা ,আমনের লগে কথা ,আপনার সাথে কথা,Talking with you.
121,হেলবি নি অ্যাঁর মাইয়্যার লগে,খেলবে নি আমার পুড়ির লগে ,খেলবি নাহি মোর মাইয়ার লগে,খেলবি নাকি আমার মেয়ের সাথে,Will you play with my daughter?
122,অ্যাঁর এহন তোঁয়ারে গম লার,আমার ওখন তোমারে ভালা লাগে ,মোর এহন তোরে ভাললাগে,আমার এখন তোমাকে ভাল লাগে,I like you now.
123,অ্যাঁর হথা বুঝস তুঁই?,আমরার মাত বুঝরে তুই ,মোর কতা বোজোছ তুই,আমার কথা বুঝিস তুই?,Do you understand what I’m saying?
124,হচম অ্যাঁর গাত জ্বর,হাছারে বা আমার গাও জ্বর,খোদার কসম মোর গাও জ্বরে পুইড়া যাইতে আছে,কসম আমার গায়ে জ্বর,I swear I have a fever.
125,তোঁয়ারে অ্যাঁরা চ্যাঁই লইইয়্যুম,তোমরারে আমরা দেইখা নিমু ,তোরে মোরা দেকমু আনে,তোমাকে আমরা দেখে নেবো,We will deal with you.
126,তুই দুইজ্জা ভাত হায়ও নে?,তুমিতাইন দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,তুমি দুফুরে কিডা ভাত খাইছেলা?,তুমি দুপুরে কি দিয়ে ভাত খেয়েছ?,What did you eat with rice for lunch?
127,দুইজ্জা ভাত হায়ও নে?,দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,দুফুরে কিডা ভাত খাইছেলা?,দুপুরে কি দিয়ে ভাত খেয়েছ?,What did you eat with rice for lunch?
128,দুইজ্জা হায়ও নে?,দুপুরবেলাত কিতা খাইলায়?,দুফুরে কিডা খাইছেলা?,দুপুরে কি খেয়েছ?,What did you eat for lunch?
129,ভাত হায়ও নে?,কিতা দিয়া ভাত ?,কিডা ভাত,কি দিয়ে ভাত,With what did you have rice?
130,বেগুনের হাছে মানুষ হননা?,সব তাকি কাছ ওর মানুষ,সব চাইয়া ধারের মানুদা,সব থেকে কাছের মানুষ,The closest person.
131,বেশি গম লাগে,বাক্কা ভালা লাগে,ভালো লাগছে,অনেক ভালো লাগে,Like it a lot.
132,গম লাগে,ভালা লাগে,ভালো লাগছে,ভালো লাগে,Like it.
133,হোথা খৈত বেশি গম লাগে,মাত্তে বাক্কা ভালা লাগে ,কথা কইতে পাইরা ভালো লাগছে আমার,কথা বলতে অনেক ভালো লাগে,I really enjoy talking.
134,তোয়ারে আই কল নো দিয়ুম ,আমি তুমারে চাল্ল দিতাম নায়,তোমারে মুই কল দিমুনা,আমি তোমাকে ডাকব না,I won’t call you.
135,কল নো দিয়ুম ,তুমারে চাল্ল দিতাম নায়,কল দিমুনা,তোমাকে ডাকব না,I won’t call you.
136,তোয়ারে আই কল দিয়ুম ,আমি তুমারে চাল্ল দিতাম ,কল দিমু,আমি তোমাকে ডাকব,I will call you.
137,কল দিয়ুম,তুমারে চাল্ল দিতাম ,তোমারে কল দিমু,তোমাকে ডাকব,I will call you.
138,কল নো দিয়ুম ,চাল্ল নায়,কল দিমু না,ডাকব না,Won’t call.
139,তুয়ার এত ঘুম কিল্লায় আয়েদ্দে,তুমিতাইন অত ঘুমাও কিতার লাগি?,তোমার এত্ত ঘুম আয় কির লইগ্গা?,তোমার এত ঘুম আসে কেন?,Why do you feel so sleepy?
140,তুয়ার ঘুম কিল্লায় আয়েদ্দে,তুমিতাইন ঘুমাও কিতার লাগি?,তোমার ঘুম আয় কির লইগ্গা?,তোমার ঘুম আসে কেন?,Why do you feel sleepy?
141,এত ঘুম কিল্লায় আয়েদ্দে,অত ঘুমাও কিতার লাগি?,এত্ত ঘুম আয় কির লইগ্গা?,এত ঘুম আসে কেন?,Why do you feel so sleepy?
142,ঘুম কিল্লায় আয়েদ্দে,ঘুমাও কিতার লাগি?,ঘুম আয় কির লইগ্গা?,ঘুম আসে কেন?,Why do you feel sleepy?
143,তুয়ার এত ঘুম কিল্লায় ?,তুমিতাইন অত ঘুমাও কিতার লাগি?,তোমার এত্ত ঘুম কির লইগ্গা?,তোমার এত ঘুম কেন?,Why are you so sleepy?
144,ফোয়াইবা সাদা রঙের উগ্গা শার্ট ফরি আইসিল,ফুয়াটায় এখটা সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,পোলাউগা ইউকা ধোলা রঙের ইউক্কা গুঞ্জি পইড়া আইসেলো ,ছেলেটি সাদা রঙের একটি শার্ট পরে এসেছিল,The boy came wearing a white shirt.
145,ইতে এহন রাজশাহী গেইয়ুই,হে এখন রাজশাহীত গেছে গিয়া,সে এহন রাজশাহী গেসিগ্গা,সে এখন রাজশাহী চলে গেছে,He has now gone to Rajshahi.
146,ইতে এব্বেরেও না আসে,হে এখেবারেও হাসে না,সে এক্কালেই ভেটকাই না,সে একদমই হাসে না,He doesn’t laugh at all.
147,ইতে না আসে,হে হাসে না,সে ভেটকাই না,সে হাসে না,He doesn’t laugh.
148,ইতে না আসে,হে হাসে,সে ভেটকাই,সে হাসে ,He laughs.
149,না আসে,হাসে না,ভেটকাই না,হাসে না,Doesn’t laugh.
150,এব্বেরেও না আসে,এখেবারেও ,এক্কালেই ভেটকাই না,একদমই হাসে না,Doesn’t laugh at all.
151,ইতে রাজশাহী গেইয়ুই,হে রাজশাহীত গেছে গিয়া,সে রাজশাহী গেসিগ্গা,সে রাজশাহী চলে গেছে,He has gone to Rajshahi.
152,রাজশাহী গেইয়ুই,রাজশাহীত গেছে গিয়া,রাজশাহী গেসিগ্গা,রাজশাহী চলে গেছে,Has gone to Rajshahi.
153,গেইয়ুই,গেছে গিয়া,গেসিগ্গা,চলে গেছে,Has gone.
154,ইতে এহন রাজশাহী ,হে এখন রাজশাহীত ,সে এহন রাজশাহী,সে এখন রাজশাহী ,He is now in Rajshahi.
155,ওনোর বেগুনের হাছে মানুষ হননা?,আফনার সব তাকি কাছ ওর মানুষ কে?,আমনের সব চাইয়া ধারের মানুদা কেডা?,আপনার সব থেকে কাছের মানুষটি কে?,Who is your closest person?
156,ওনোর মানুষ হননা?,আফনার কাছ ওর মানুষ কে?,আমনের ধারের মানুদা কেডা?,আপনার কাছের মানুষটি কে?,Who is your close person?
157,হাছে মানুষ হননা?,কাছ ওর মানুষ কে?,ধারের মানুদা কেডা?,কাছের মানুষটি কে?,Who is the close person?
158,মানুষ হননা?,মানুষ কে?,সব চাইয়া ধারের মানুদা,মানুষটি কে?,Who is the person?
159,ধাহা আইসে,ঢাকাত আইছে,ধাহা আইসে ,ঢাকায় এসেছে,Has come to Dhaka.
160,ফোয়াইবা ধাহা আইসে ,ফুয়াটায় ঢাকাত আইছে,ফোয়াইবা সিলেট্টুন ,ছেলেটি ঢাকায় এসেছে,The boy has come to Dhaka.
161,ফোয়াইবা সিলেট্টুন,ফুয়াটায় ঢাকাত আইছে,ফোয়াইবা ধাহা আইসে ,সিলেট থেকে ঢাকায় ,From Sylhet to Dhaka.
162,সাদা রঙের উগ্গা শার্ট ফরি আইসিল,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,ইউকা ধোলা রঙের ইউক্কা গুঞ্জি পইড়া আইসেলো ,সাদা রঙের একটি শার্ট পরে এসেছিল,Came wearing a white shirt.
163,সাদা রঙের উগ্গা শার্ট, এখটা সাদা রঙ্গের শার্ট ,ধোলা রঙের ইউক্কা গুঞ্জি,সাদা রঙের একটি শার্ট ,A white shirt.
164,সাদা রঙের শার্ট ফরি আইসিল,সাদা রঙ্গের শার্ট পিন্দিয়া আইছিল,ইউকা ধোলা রঙের গুঞ্জি পইড়া আইসেলো ,সাদা রঙের শার্ট পরে এসেছিল,Came wearing a white shirt.
165,সাদা রঙের শার্ট,সাদা রঙ্গের শার্ট ,ধোলা রঙের গুঞ্জি,সাদা রঙের শার্ট,White shirt.
166,শার্ট ফরি আইসিল,শার্ট পিন্দিয়া আইছিল,গুঞ্জি পইড়া আইসেলো ,শার্ট পরে এসেছিল,Came wearing a shirt.
167,ফরি আইসিল,পিন্দিয়া আইছিল,পইড়া আইসেলো ,পরে এসেছিল,Came wearing.
