Standard_Bangla,dialect_speech,English_translation
আজ রাতে বাবা হঠাৎ করে অসুস্থ হয়ে পড়েছে খবর শুনে হাসপাতালে এলাম,আইজকু রাইত আব্বা আখতা বেমার পড়ায় খবর হুনিয়া হাসপাতাল আইলাম,I came to the hospital after hearing the news that my father has suddenly fallen ill tonight
আজকে রাতে গায়ে হাত তুলেছে,আইজকু রাইত গাত হাত তুলছে,"Tonight, he raised his hand"
আজকে যারা এই খবরে কমেন্ট করতে আসছেন তাদের অনেককেই দেখেছি কথিত ধর্মানুভূতির ধোঁয়া তুলে হৃদয় মন্ডল এর শাস্তি দাবি করতে...,আইজকে যারা ঔ খবরো কমেন্ট করতে আইসুইন তারার বহুত্রেই দেখসি কথিত ধর্মানুভূতির ধোঁয়া তুলিয়া হৃদয় মন্ডলওর শাস্তি দাবি করতে...,"Today, I've seen many people coming to comment on this news, raising the smokescreen of so-called religious sentiment and demanding punishment for Hridoy Mondol..."
"আইনস্টাইন, নিউটন বা এমন বড় বিজ্ঞানীদের ধর্মীও কুটুক্তি আছে? তারা কি বিজ্ঞান মানে ধর্মের নামে নোংরা কথা বলে বেড়াতো? যদি না হয় তাহলে যারা আজ তাদের বই থেকে তাদের থিউরি থেকে বিজ্ঞান পড়ায়, তাদের এই অবস্থা কেনো?","আইনস্টাইন, নিউটন বা ওলাখান বড় বিজ্ঞানীর ধর্মীও কুটুক্তি আসে? তারা কিতা বিজ্ঞান মানে ধর্মর নামে নোংরা মাত মাতিয়া বেড়ায়? যদি না ওয় তে যারা আইজ তারার বই থাকি তারার থিউরি থাকি বিজ্ঞান ফড়ায়, তারার ঔ অবস্থা কেনে?","Did Einstein, Newton, or other great scientists engage in religious sophistry? Did they use the name of religion to spread falsehoods while teaching science? If not, then why is this the situation with those who teach science today from their books and theories?"
আগে পরের হিসাব বাদ আজকে ঝগড়ার বিষয় আব্বু বিদেশে থাকে,আগর ফরর হিসাব বাদ আইজকু ঝগড়ার বিষয় আব্বা বিদেশ থাকইন,"Today, except for the first and second accounts, the subject of the quarrel is Abbu, who lives abroad"
"আজ গরিব বলে পৃথিবীতে থাকি,বড়লোক হলে মঙ্গল গ্রহে থাকতাম","আজকে গরীব দেকিয়া পৃথিবীত থাকিয়ার, ধনী অইলে মঙ্গল গ্রহত থাকতাম","Today I live on earth as a poor person, if I were rich I would live on Mars"
আপনার মা এবং স্বামী দুজনেই সতর্ক হবে আপনার প্রতি,আফনার আম্মা আর জামাই দুইজনেউ সতর্ক অইবা আফনার প্রতি,Both your mother and husband will be wary of you
আপনার ছবিটি দেখে মন ভরে গেলো,আফনার ছবিটা দেখিয়া মন ভরি গেছে,My heart was filled with your picture
আপনার লেখার ধরণ খুব সুন্দর,আফনার লেখার ধরন খুবই সুন্দর,Your writing style is very nice
আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,আফনার সুন্দর সুন্দর ছবিগুইন দেখিয়া মজা পাইছি,I enjoyed seeing your beautiful pictures
"আপনারা ইন্ডিয়া তে চলে আসুন, ওই দেশ ভয়ংকর","আফনারা ইন্ডিয়াত আয়ুক্কা, ঔ দেশ ভয়ংকর","Please come to India, that country is terrifying."
আপনার পরামর্শ দেন আমি কি করব,আফনারা যুক্তি দেইন মুই কিতা খরতাম,What do you advise me to do?
আপনাদের কি শুক্রবার সকালে সময় হবে?,আফনারার কিতা শুক্রবার সখালে সময় অইবো নি?,Do you have time on Friday morning?
আপনি একটা সাহায্য পাচ্ছেন পুলিশের কাছ থেকে,আফনে এখটা সাহায্য পাইড়া পুলিশর ধার থাকি,You are getting help from the police
আপনি কি আপনার হাত ধুতে জানেন?,আফনে কিতা আফনার হাত ধুয়া চিনইন নি?,Do you know how to wash your hands?
বাবার মুখের দিকে তাকিয়ে কেমন জানি একটা শূন্যতা অনুভব করলাম,আব্বার মুখর দিকে চাইয়া কিলান এখটা শূন্যতা অনুভব খরলাম,"Looking at my father's face, I felt an emptiness"
বাবা খুব করে চাচ্ছিল যেন আমি বাসায় যাই,আব্বায় খুব চাইছলা যাতে মুই বাসাত যাই,Dad wanted me to go home
আমরা সবাই ঢাকায় থাকি,আমরা হখলে ঢাকা থাকি,We all live in Dhaka
আমরা তিন ভাই বোন আমি সবার বড়,আমরা ৩ ভাই বইন মুই হখলর বড়,"We are three brothers and sisters, I am the eldest"
আমরাই কিছু বুঝতাম না,আমরাউ কুনতা বুঝতাম না,We did not understand anything
আমাদের খামারে ৫০০০টির বেশি মুরগি আছে,আমরার ছাদো ৫০০০ টার বেশি মুরগি আছে,We have more than 5000 chickens in our farm
আমাদের পরিবারে আনন্দের বাইরে কোন ঝগড়া নেই,আমরার পরিবারো আনন্দর বাইরে কুনো লাগালাগি নাই,In our family there is no quarrel but happiness
আমার বাসার কেউ আসলে উনি বাসায় ঝগড়াঝাটি শুরু করে দেন,আমরার বাসাত খেউ আইলে তাইন বাসাত ঝগড়াঝাটি লাগাই দেইন,Someone from my house actually started a fight in the house
আমাদের তিন বছরের সংসার বাচ্চা হয়নি,আমরার ৩ বৎসরর সংসার হুরুতা অইছে না,Our three-year family has no children
আমার স্বামী এসব নিয়ে কিছু বলতে গেলে উনি মনে করেন বউ ছেলের হয়ে গেছে,আমার জামাই ইতা লইয়া কিচ্ছু কওয়াত গেলে তাইন ভাবইন ফুয়া বউর অই গেছে,"When my husband says something about these things, he thinks that his wife has become his son"
আমার জীবনে কোন স্বপ্ন নেই তুমি ছাড়া,আমার জীবনো তুমি ছাড়া কোনো স্বপ্ন নাই,I have no dreams in my life without you
আমার তো একটা হাত খরচ লাগে তাও সে দেয়না,আমার তো এখান হাত খরচা লাগে তাও হে দেয় না,He doesn't even pay me a hand
আম্মু খালা লেখাপড়ার জন্য ঢাকায় ফিরতে বলবে আমি যেতে পারবো না,আম্মা খালা লেখাপড়ার লাগি ঢাকাত ফিরার লাগি কইবা মুই যাইতাম ফারতাম নায়,"My aunt will tell me to return to Dhaka for education, I can't go"
মা কেন আমি এই জাগায় গেলাম,আম্মা মুই খেনে অউ জাগাত গেলাম,"Mother, why did I go to this place?"
মা মরে যাওয়ার পর বাবা খুব একা হয়ে গিয়েছে,আম্মা মুরা ফরে আব্বা খুব এখলা অই গেছলা,"After the death of the mother, the father became very lonely"
আম্মু তখন উলটে বলছে আমি ও সারাদিন অনেক কাজ করি,আম্মা হেসময় উল্টাইয়া খইরা মুইও হারাদিন বাক্কা কাম খরি,Mom says that I do a lot of work all day
আম্মুর কথা কয়দিন আগে আমি তাকে একটা কষ্টের কথা বলছি,আম্মার খতা খয়দিন আগে মুই তানরে এখটা খষ্টর মাত কইছি,A few days ago I was telling her about a problem
আম্মুর সামনে উনারা যা তা ঝগড়া করেন,আম্মার সামনে তারা যা তা ঝগড়া করইন,They quarrel in front of mother
আর এবছর সে বিশাল করে সারপ্রাইজ দিয়েছে আমাকে,আর অউ বৎসর তাইন মোরে বাক্কা বড় খরি সারপ্রাইজ দিছইন,And this year he gave me a big surprise
আর কত ছুটি কাটাবো?,আর খত ছুটি কাটাইতাম,How much more vacation?
আলহামদুলিল্লাহ সে খুব ভালো একজন মানুষ,আলহামদুলিল্লাহ তাইন খুব ভালা এখজন মানুষ,Alhamdulillah he is a very good man
আশেপাশে কেউ থাকলে কল দিয়েন,আশেপাশে খেউ থাখলে কল দেইন যেন,Call if anyone is around
ধিরে ধিরে দুর্বল হয়ে পড়লাম তার প্রতি,আস্তে আস্তে দুর্বল অই গেলাম তার প্রতি,Slowly I became weak towards him
ঈদ গেছে দুইদিন পার হয়ে গেল,ইদ গেছে দুইদিন পারই গেলো,Eid has passed two days
শিমের তরকারী ডিয়ে ভাত খেতে আমার ভালো লাগে না,উরির তারকারি দিয়া ভাত খাইতে মোর ভালা লাগে না,I don't like rice with bean curd
একটা মেয়েও যদি তার বাবার দায়িত্ব পালন করে সেই ক্ষেত্রে সমস্যাটা কোথায় আমি জানিনা,এখটা ফুুড়িও যদি তাইর বাফর দায়িত্ব পালন খরে তে সমস্যাটা কুন জাগাত আমি বুজি না,I don't know where the problem is if a daughter also fulfills her father's duty
একটা ছেলে যেমন তার বাবা-মার দায়িত্ব পালন করে,এখটা ফুয়ায় যেমন তার বাফ মার দায়িত্ব পালন খরে,As a son fulfills the duties of his parents
একটা সময় পর বুঝলাম যে আমরা একে অপরকে চাই,এখটা সময় ফরে বুঝলাম আমরা এখজন আরোখজনরে চাই,After a while I realized that we want each other
সাদা রঙের একটি শার্ট,এখটা সাদা রঙ্গের শার্ট,A white shirt.
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,এখন বিয়ার পরে জানতাম ফারছি মোর জামাই আগে দুই বিয়া করছইন,Now after marriage I came to know that my husband had two marriages before
একবার ধরলে হাত ছাড়বেনা কখনো রোগা পাতলা মেয়ে গুলোকে দেখে মনে হয় ভিটামিনের বোতল কিনে দিই,এখবার ধরিলাইলে হাত ছাড়তা না কুনোসময় বেমারি হুকনা ফুড়িন্তরে দেকিয়া মনে কয় ভিটামিনর বুতল কিনিয়া দিলাই,"Once you get hold of it, you will never let go of it. Sometimes, looking at thin girls, I think I buy a bottle of vitamins"
এক বেলা খাওয়ার সময় পায় এসব আম্মু কে বলছে,এখবেলা খাওয়ার সময় পাইন ইতা আম্মারে কিগুয়ে কইছে,He is saying these things to his mother when he has time to eat
একটি বিড়াল ছানা পালার খুব ইচ্ছা আমার,এগুতা মেকুরর বাইচ্চা পালার খুব শখ মোর,I really want to get a kitten
তারপর থেকেই মেয়ের আচরনে পরিবর্তন দেখা যায়,এর বাদ থাকি ফুড়ির আচরণ বদলানি দেখা যায়,Since then the girl's behavior has changed
এরপর সে আরেকটা ফ্লাইটে করে বাসায় যাইত,এরবাদে তাইন আরোখটা ফ্লাইটো খরিয়া বাসাত যাইতা,Then he would take another flight home
এরপর সে আমার সাথে যোগাযোগ রাখেনি,এরবাদে তাইন মোর লগে আর যুগাযুগ রাখছইন না,After that he did not contact me
এলাকায় আগুন লেগেছে,এলাকাত আগুন লাগি গেছ,There is a fire in the area
গতকাল রাতে আমাকে বলে দিলো আমি নাকি বেইমান,কাইল রাইত মোরে কই দিলো মুই বুলে বেইমান,Last night he told me that I was dishonest
কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়,কিন্তুক ফুয়া আখতা ফুড়িরে কুনতা না জানাইয়া দেশর বাইরে গেছে গি,But the boy suddenly left the country without informing the young lady
"কিছু কিনে দিতে চাইলে,কোথায় ঘুরতে নিয়ে যেতে চাইলে উনি সেইটা ভালোভাবে নেন না","কুচ্চু কিনিয়া দিতো চাইলে, কুনো জাগাত পাখানিত লইয়া যাইতে চাইলে তাইন ইতা ভালাভাবে নেইন না","If you want to buy something, if you want to take it somewhere, he does not take it well"
কোনো এক ভাবে আমাদের কথা শুরু হয়,কুনো এখ প্রকারে আমরার মাত শুরু অইছিল,Somehow we started talking
কোনো আত্মীয় আমার বাসায় এলে তাদের সাথেও সম্পর্ক নষ্ট করতো,কুনো কুটুম মোর বাসাত আইলেও তারার লগে খাতির নষ্ট খরতা,"If any relative came to my house, he would destroy the relationship with them too"
কিন্তু সে তার মন মতোই,কুিন্তু তাই তাইর মন মতোউ,But he is like his mind
একমাত্র মেয়েরাই পারে অবলা ছেলেদের সহজ সরল মনটা কে ফুটবল ভেবে খেলা করতে,খালি ফুড়িন্তেউ পারইন বেচারা ফুয়াইন্তর সরল মনরে ফুটবল ভাবিয়া খেলতা,Only girls can fool the simple minds of boys and play football
কারো কথা উনি শুনেন না,খেউরো মাত তাইন হুনোইন না,He does not listen to anyone
কেক এর উপর লেখা ছিল শুভ জন্মদিন আমার বউ,খেগর উফরে লেখা আছিল শুভ জন্মদিন আমার বউ,Happy birthday my wife was written on the cake
গত কাল না খেয়ে রোজা ছিলাম,গতদিন আনা খাইয়া রুজা আছলাম,Yesterday I was fasting without eating
গানটি শুনে আমার অনেক ভালো লেগেছে,গানটা হুনিয়া মোর অনেখ বালা লাগছে,I really enjoyed listening to the song
চাই না,চায়না,Don’t want.
টুকটাক টিউশনি করে যেটুকু আয় হয় তা দিয়ে নিজের হাতখরচই ঠিকমতো চলে না,টুকিটাকি টিউশনি খরিয়া যেটুক আয় অয় ইতা দিয়া নিজোর হাত খরচা অউ ঠিকমতো চলে না,The amount of income earned from tutoring does not cover my own expenses
উনি শুধুমাত্র আমার সাথে দেখা করার জন্য দেশে আসছে,তাইন খালি মোর লগে দেখা খরার লাগি দেশো আইরা,He is coming to the country only to meet me
উনি নামাজ কালাম ও ঠিক মত পড়েন না,তাইন নামাজ কালামও ঠিকঠাক পড়ইন না,He does not recite prayers and kalam properly
সে সারাদিন কত কষ্ট করে কাজ করে,তাইন হারাদিন খতো খষ্ট খরি কাম করইন,How hard he works all day
তার জন্য পরিবার মানলে বিয়ে হবে না হলে সে পারবে না,তাইর লাগি পরিবার মানলে বিয়া অইবো নইলে তাই ফারতো নায়,"If the family agrees for him, the marriage will not happen, otherwise he will not be able to"
তাও মার অভিযোগ ও কিছু আনে না,তাও আম্মার অভিযোগ তাইন কুনতা আনইন না,Even the beating does not bring complaints and anything
তার ছোটো ছেলের কোন দোষ নেই,তান ছুটো ফুয়ার কুনো দুষ নাই,There is nothing wrong with his younger son
তার অফিসের বিবাহিত এক লোকের সাথে,তানর অফিসর এখ বিয়াতি বেটার লগে,With a married man from his office
তাকে দেখার মত তেমন কেউ নেই,তানরে দেখার মতো তেমন খেউ নাই,There is no one to watch him
এরা অপরাধ করলে মানবাধিকার সংগঠন সহ মিডিয়া তাদের নিয়ে প্রতিবাদ শুরু করে কিন্তু যদি মুসলিম কেউ হত তাইলে সবাই মিলে সেই মানুষকে দুষি বানিয়ে দিত।,তারা অফরাধ করলে মানবাধিকার সংগঠন সহ মিডিয়া তারারে লইয়া ফ্রতিবাদ শুরু করে কিন্তু যদি মুসলিম কেউ ওইতো তে সবে মিলিয়া হো মানুষরে দুষি বানাইয়া দিতা।,"When they commit crimes, human rights organizations and the media start protesting on their behalf, but if a Muslim were involved, everyone would collectively blame that person."
তোমার এক ফোটা হাসি দেখার জন্য বসে আছি,তুমার এখ জরা হাসি দেখার লাগি বই রইছি,I am sitting to see a drop of your smile
তোমার বন্ধুরা সত্যিই ভালো হৃদয়ের মানুষ,তুমার বন্ধুরা হাছাউ ভালা মনর মানুষ,Your friends are really good hearted people
তেতুল খেলে বুদ্ধি কমে যায়,তেতই খাইলে আখল কমি যায়,Consuming bitter gourd reduces intelligence
দাদা এইটাই বাংলাদেশ,দাদা ঔটাই বাংলাদেশ,"Grandpa, this is Bangladesh."
দেখা করা যাবে,দেখা খরা যাইবো,Can meet
নানা আমাকে দেখে খুব খুশি হলো,নানায় মোরে দেকিয়া বেতালা খুশ অইছইন,Nana was very happy to see me
নিজ বাড়িতে এসে শুনি পুরো এলাকাতে আমাদের নামে খারাপ কথা বলেছে,নিজর বাড়িত আইয়া হুনি পুরা এলাকাত আমরার নামে খারাফ খতা কইছে,"When I came to my home, I heard that the whole area spoke ill of us"
নিজেই নিজের জীবন পরিচালনা করতে পারেন,নিজেউ নিজর জীবন পরিচালনা খরতা পারইন,You can manage your own life
"নিজেকে কখনো বেকার ভাববেন না, মনে রাখবেন আপনার শরীরের রক্ত দিয়ে হাজারো মশার সংসার চলে","নিজোরে কুনোসময় বাওটা ভাববা না, মনো রাখবা আফনার শরীলর রখতো দিয়া হাজার মশার সংসার চলের","Never think of yourself as unemployed, remember that the blood of your body feeds thousands of mosquitoes"
নিজেকে যোগ্য করে গড়ে তুলতে পারেন,নিজোরে যোগ্য খরি তুলতা পারইন,You can make yourself qualified
নতুনরা অনেক কিছু শিখতে পারবে  আশা করি,নয়া এরা বহুততা হিকতা পারবা আশা খরি,Hope newbies can learn a lot
রান্নাঘরে কে দাড়িয়ে আছে ?,পাকগরো খে উবানি?,Who is standing in the kitchen?
ভালোবাসা অনেক কষ্টের,পিরিত বাক্কা খষ্টর,Love is very difficult
পুলিশকে এটাও বলেন যে আমি যদি আমার সমস্যার কোন সমাধান পাইনি,পুলিশরে অটাও খইন যে মুই যদি মোর সমস্যার কুনো সমাধান পাই না তে,Also told the police that if I did not get any solution to my problem
প্রথমে আপনাকে একটি দোকানে যেতে হবে,পয়লা আফনারে এখটা দুকানো যাওয়া লাগবো,First you need to go to a store
প্রথম দিকে আমি খারাপ ব্যবহার করতাম,পয়লা দিকে মুই বাদ ব্যবহার খরতাম,At first I used to misbehave
প্রথমবার ঠকার পর একটা ভয় ঢুকে গেছিলো ভিতরে,পয়লা বার ঠকার বাদে এখটা ডর হামাই গেছিল ভিতরে,"After the first time, a fear entered inside"
প্রথমে আমার স্বামীর কথায় আসি,পয়লা মোর জামাইর মাতো আই,First let's talk about my husband
প্রতিদিন অন্তত একটি পেয়ারা করে খেলে পেতে পারেন অনেক উপকার,ফত্তেখদিন নাওয় এখান খরি হফরি খাইলে বাক্কা উফকার পাইতা পারইন,You can get many benefits by eating at least one guava every day
পুরোটা দেখার অপেক্ষায় বসে আছি,ফুরাটা দেখার অপেক্ষাত বই রইছি,I am waiting to see the whole thing
মেয়ের মা আমার আম্মুকে বলছিল যে আপনাদের টিনের ঘড় দেখে বিয়ে দিছি,ফুুড়ির আম্মাত মোর আম্মারে কইছলা যে আফনারার টিনর ঘর দেকিয়া বিয়া দিসি,The girl's mother was telling my mother that she got married after seeing your tin wall
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,ফুড়িটায় লাল শাড়ি পিন্দিয়া উবানিত,The girl is standing in a red sari
মেয়ের মা এগুলো দেখেই বিয়ে দিছে,ফুড়ির আম্মায় অতা জানিয়াউ বিয়া দিছইন,The girl's mother got married after seeing them
ছেলে আর কেউ না আমারই খালাতো ভাই,ফুয়া আর খেউ না আমার অউ মইর ঘরর ভাই,The boy is none other than my cousin
ফ্লোর গুলি মার্বেল পাথর দিয়ে বানানো,ফ্লোর ইতা মার্বেল পাতথর দিয়া বানাইল,The floors are made of marble stone
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে,বাক্কা ছাত্রছাত্রী নয়া ভর্তি অইছইন,Many students are newly admitted
বহুদিন পরে একটা ভাল ছবি দেখলাম,বাক্কাদিন বাদে এখটা ভালা ছবি দেখলাম,I saw a good picture after a long time
"বিশেষ সুবিধাপ্রাপ্ত গোষ্ঠী, অন্যদিকে অন্যায় না করেও বহু আলেম জেলে বন্দী।","বিশেষ সুবিধাপ্রাপ্ত গোষ্ঠী, অন্য বাইদি অন্যায় না করিয়াও বহু আলেম জেলও বন্দী।","On the one hand, privileged groups enjoy special advantages, while on the other hand, many religious scholars are unjustly imprisoned."
বিয়ের প্রথম ৩ মাস ভালোই চলছে,বিয়ার পয়লা ৩ মাস ভালাউ চলছিল,The first 3 months of marriage are going well
মহিলার বয়স হবে ৮০ এর উপরে,বেটির বয়স অইবো আশির উফরে,The woman will be above 80 years of age
অতিরিক্ত পানি পেয়ে গাছগুলো মরে যাবে না তো?,বেশ পানি পাইয়া গাছ ইগইন মরি যাইতো নায়নি?,The plants will not die after receiving excess water?
"ভার্গীস, জাফর স্যার আপনার পাশে এসে দাড়িয়েছিল। যার কারনে আপনি মুক্তি পেয়েছেন। জাফর স্যার একজন যাদুর কাঠি যেখানে লাগাবেন সংগে সংগে কাজ হবে।","ভার্গীস, জাফর স্যার আফনার ফাসে আইয়া ডারাইসলা। যার কারনে আফনে মুক্তি ফাইসে। জাফর স্যার একজন যাদুর কাঠি যেনো লাগাইবা লগে লগে কাম ওইব।","Bhargi, Jaafar Sir stood by your side, which led to your release. Jaafar Sir is like a magic wand – whatever he touches, it works immediately."
ভালো ব্যবহার করেন না,ভালা ব্যবহার করইন না,Don't use it well
"মিথ্যার পক্ষ নেয়া কোন ধর্ম সাপোর্ট করে ? যদি কোনো ধর্ম না করে তাহলে, এই ব্যাক্তিকে নিয়া এত কথা হচ্ছে কেনো ? উনি মিথ্যা কি বলছেন?","মিসার ফক্ষ নেওয়া কুন ধর্ম সাপোর্ট করে ? যদি কুনো ধর্ম না করে তে, ঔ ব্যাক্তিরে লইয়্যা অত মাত হর কেনে ? তাইন মিসা কিতা কইলা?","Which religion supports taking the side of falsehood? And if no religion does, then why is there so much talk about this person? Is this person lying?"
আমি কিভাবে বুঝতাম যে মানুষগুলো সঠিক না,মুই  কিলান বুঝতাম যেন মানুষ ইতা সঠিক নায়,How do I know that people are not right?
আমি আমার স্বামীকে অনেক ভালোবাসি,মুই  মোর জামাইরে অনেখ ভালাপাই,I love my husband very much
আমি এখন এইগুলো মেনে নিতে পারছি না,মুই অখন অতা মানিয়া নিতাম ফারিয়ার না,I cannot accept these now
আমি আগে দেখিনি,মুই আগে দেখছি না,I haven't seen it before
আমি বিশ্বাস করি কাউকে যদি আমি নিজের মত চাই তাহলে নিজের মত বানিয়ে নিতে হবে,মুই ইখান বিশ্বাস করি খেউরে যদি মুই নিজর মন মতো চাই তাইলে নিজর মন মতো বানাইয়া নেওয়া লাগবো,"I believe that if someone wants to be like me, I have to make them like me"
আমি একটা কষ্টের কথা বললে সে নিজের কষ্টের কথা বলছে,মুই এখান খষ্টর মাত খইলে তাইন নিজর খষ্টর মাত মাতাত লাগি যাইতা,"When I talk about a problem, he talks about his own problem"
আমি তাকে কখনো তার কোনো কাজ নিয়ে খোটা দেই নি,মুই কুনোসময় তানর কুনো কাম লইয়া খুটা দেই না,I never scolded him for any of his work
আমি গ্রামের বাড়ীতে গেলে পুকুরে গোসল করি,মুই গাউত বাড়িত গেলে পুরকিত গুছল খরি,I went to the village house and bathed in the pond
আমি ওকে বলে দিয়েছি আমি আর তোমার সাথে সংসার করবো না,মুই তারে খই দিসি মুই আর তুমার লগে সংসার করিয়ার না,I told him I will not marry you anymore
আমি নিজে অনেক অসুস্থ,মুই নিজে বাক্কা বেমার,I myself am very sick
আমি নিজেই অনেক জনকে উপদেশ দিয়েছি,মুই নিজেউ বহুত জনরে জ্ঞান দিছি,I myself have advised many people
আমি আমার স্বামীর সাথে রাগ করি কেনো তাদের এরকম কথা কাটাকাটি হয়,মুই মোর জামাইর লগে গুসা খরি খেনে তারার অতা খতা কাটাকাটি অয়,I am angry with my husband why they are arguing like this
আমি আমার পরিবারের কথা বলতে চাই,মুই মোর পরিবারর খতা কইতাম চাই,I want to talk about my family
আমি সিলেট থাকি,মুই সিলেটো থাকি,I live in Sylhet
আমি সবসময় আমার গ্রামের মানুষদের পাশে থাকতে চাই,মুই হখল সময় মোর গাউর মানুষর পাশে থাকতাম চাই,I always want to be with my village people
আমি সাঁতার কাটবো না,মুই হাতার দিতাম নায়,I won't swim
আমি ২০১৬ থেকে তাহুরা কে ভালবাসি,মুই ২০১৬ থাকি তাহুরারে ভালাপাই,I love Tahura since 2016
মুক্তিযুদ্ধের ভাইয়েরা আমাদের জন্য কত কষ্ট করেছে,মুক্তিযুদ্ধর ভাইরা আমরার লাগি খতো খষ্ট করছইন,How much the brothers of the liberation war have suffered for us
আমি বার বার ভালোবেসে ঠকে গেছি,মুুই বার বার পিরিত খরি ঠকলাম,I have fallen in love again and again
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,মুুই মানসিকভাবে বাক্কা সমস্যার মাঝে আছি,I am in a lot of trouble mentally
আমি বুঝে গেছি ওই ছেলেকে ছাড়া আমি থাকতে পারব না,মুুইও বুঝিল্‌চি অউ ফুয়ারে ছাড়া মুই থাখতাম ফারতাম নায়,I realized that I can't live without that boy
